package,is_eol,eol_method,eol_reason,source,eol_checked_at
glibc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gcc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxcrypt,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
linux,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
rpcsvc-proto,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gettext,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
zlib,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
zstd,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gmp,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
xz,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
systemd,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
openssl,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
glib,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
tcp-wrappers,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
mpfr,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
lz4,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
usb.ids,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libunistring,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
ca-certificates,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
boehm-gc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
isl,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gnumpc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
binutils,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libx11,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
readline,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
json-c,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
python,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libpng,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libjpeg-turbo,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
sqlite,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
xorgproto,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
pkgconf,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
ncurses,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
xxhash,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
pcre,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
tiff,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
freetype,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
harfbuzz,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
m4,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
icu,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
nghttp2,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libselinux,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxau,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxcb,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
nodejs,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
gnutls,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxdmcp,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
fontconfig,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
util-linux,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
cairo-graphics-library,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libidn2,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libxext,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
lcms,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
bzip2,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
python3-defaults,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libgpg-error,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
brotli,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
krb5,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
expat,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
