"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"7zip","https://github.com/ip7z/7zip.git","https://salsa.debian.org/debian/7zip.git","","","","",""
"a52dec","","https://salsa.debian.org/multimedia-team/a52dec.git","","","","","git"
"aalib","","https://salsa.debian.org/debian/aalib.git","","","","","git"
"abseil-cpp","https://github.com/abseil/abseil-cpp.git","","","","","",""
"accounts-qml-module","","https://gitlab.com/accounts-sso/accounts-qml-module.git","","","","",""
"accountsservice","","https://salsa.debian.org/freedesktop-team/accountsservice.git","","","","","git"
"acl","","","","","","https://git.hadrons.org/cgit/debian/pkgs/acl.git","git"
"acpi-support","","https://salsa.debian.org/debian/acpi-support.git","","","","","git"
"acpid","","https://salsa.debian.org/debian/acpid.git","","","","","git"
"ada","https://github.com/ada-url/ada.git","","","","","",""
"adwaita-icon-theme","","https://salsa.debian.org/gnome-team/adwaita-icon-theme.git","","","","","git"
"aften","","","","","","",""
"akonadi","","","","","","https://invent.kde.org/pim/akonadi",""
"akonadi-calendar","","","","","","https://invent.kde.org/pim/akonadi-calendar",""
"akonadi-contacts","","","","","","https://invent.kde.org/pim/akonadi-contacts",""
"akonadi-mime","","","","","","https://invent.kde.org/pim/akonadi-mime",""
"akonadi-search","","","","","","https://invent.kde.org/pim/akonadi-search",""
"akregator","","https://salsa.debian.org/qt-kde-team/kde/akregator.git","","","","https://invent.kde.org/pim/akregator","git"
"alsa-lib","","","","","","",""
"alsa-plugins","","https://salsa.debian.org/alsa-team/alsa-plugins.git","","","","","git"
"alsa-topology-conf","","https://salsa.debian.org/alsa-team/alsa-topology-conf.git","","","","","git"
"alsa-ucm-conf","","https://salsa.debian.org/alsa-team/alsa-ucm-conf.git","","","","","git"
"alsa-utils","","https://salsa.debian.org/alsa-team/alsa-utils.git","","","","","git"
"anacron","","https://salsa.debian.org/debian/anacron.git","","","","","git"
"ann","","https://salsa.debian.org/science-team/ann.git","","","","","git"
"aom","","","","","","https://aomedia.googlesource.com/aom.git",""
"apache","https://github.com/apache/httpd.git","","","","","",""
"apache-arrow","","","","","","",""
"apache-serf","","","","","","",""
"apache-thrift","","","","","","",""
"apmod:dnssd","","","","","","",""
"apparmor","","","","","","",""
"appstream","https://github.com/ximion/appstream.git","","","","","",""
"appstream-glib","https://github.com/hughsie/appstream-glib.git","","","","","",""
"apr","","","","","","",""
"apr-util","","","","","","",""
"apt","https://github.com/debian/apt.git","https://salsa.debian.org/apt-team/apt.git","","","","",""
"aptitude","","https://salsa.debian.org/apt-team/aptitude.git","","","","","git"
"argon2","https://github.com/p-h-c/phc-winner-argon2.git","","","","","",""
"aria2","https://github.com/aria2/aria2.git","","","","","",""
"aribb24","https://github.com/nkoriyama/aribb24.git","","","","","",""
"ark","","https://salsa.debian.org/qt-kde-team/kde/ark.git","","","","","git"
"armadillo","","https://salsa.debian.org/science-team/armadillo.git","","","","","git"
"arpack","https://github.com/opencollab/arpack-ng.git","","","","","",""
"arpack-ng","https://github.com/opencollab/arpack-ng.git","","","","","",""
"aspell","https://github.com/gnuaspell/aspell.git","","","","","",""
"assimp","https://github.com/assimp/assimp.git","","","","","",""
"at","","https://salsa.debian.org/debian/at.git","","","","","git"
"at-spi2-core","","","","","","",""
"atkmm","","","","","","",""
"atril","","https://salsa.debian.org/debian-mate-team/atril.git","","","","","git"
"attica","","","","","","https://invent.kde.org/frameworks/attica",""
"attr","","","","","","",""
"audit","","","","","","",""
"augeas","https://github.com/hercules-team/augeas.git","","","","","",""
"autoconf","","","","","","",""
"autogen","","https://salsa.debian.org/debian/autogen.git","","","","","git"
"automake","","","","","","https://git.savannah.gnu.org/cgit/automake.git",""
"avahi","https://github.com/avahi/avahi.git","","","","","",""
"aws-c-auth","https://github.com/awslabs/aws-c-auth.git","","","","","",""
"aws-c-cal","https://github.com/awslabs/aws-c-cal.git","","","","","",""
"aws-c-common","https://github.com/awslabs/aws-c-common.git","","","","","",""
"aws-c-compression","https://github.com/awslabs/aws-c-compression.git","","","","","",""
"aws-c-event-stream","https://github.com/awslabs/aws-c-event-stream.git","","","","","",""
"aws-c-http","https://github.com/awslabs/aws-c-http.git","","","","","",""
"aws-c-io","https://github.com/awslabs/aws-c-io.git","","","","","",""
"aws-c-mqtt","https://github.com/awslabs/aws-c-mqtt.git","","","","","",""
"aws-c-s3","https://github.com/awslabs/aws-c-s3.git","","","","","",""
"aws-c-sdkutils","https://github.com/awslabs/aws-c-sdkutils.git","","","","","",""
"aws-checksums","https://github.com/awslabs/aws-checksums.git","","","","","",""
"aws-crt-cpp","https://github.com/awslabs/aws-crt-cpp.git","","","","","",""
"aws-sdk-cpp","https://github.com/aws/aws-sdk-cpp.git","","","","","",""
"awscli","https://github.com/aws/aws-cli.git","","","","","",""
"ayatana-ido","https://github.com/ayatanaindicators/ayatana-ido.git","","","","","",""
"babeltrace","","https://salsa.debian.org/debian/babeltrace.git","","","","","git"
"babl","","https://salsa.debian.org/gnome-team/babl.git","","","","","git"
"baloo","","","","","","https://invent.kde.org/frameworks/baloo",""
"baloo-widgets","","","","","","https://invent.kde.org/frameworks/baloo",""
"base-passwd","","https://salsa.debian.org/debian/base-passwd.git","","","","","git"
"bash","","","","","","https://git.savannah.gnu.org/cgit/bash.git",""
"bcg729","https://github.com/belledonnecommunications/bcg729.git","","","","","",""
"bind","","https://gitlab.isc.org/isc-projects/bind9.git","","","","",""
"binutils","https://github.com/bminor/binutils-gdb.git","","","","","",""
"bison","","","","","","",""
"blake3","https://github.com/blake3-team/blake3.git","","","","","",""
"blt","","https://salsa.debian.org/tcltk-team/blt.git","","","","","git"
"bluedevil","","","","","","https://invent.kde.org/plasma/bluedevil",""
"bluez","https://github.com/bluez/bluez.git","","","","","",""
