package,registry_hit,repository_url,homepage,fetched_at
7zip,debian-13,https://salsa.debian.org/debian/7zip,https://www.7-zip.org/,2026-04-27T20:49:35Z
a52dec,debian-13,https://salsa.debian.org/multimedia-team/a52dec,http://liba52.sourceforge.net/,2026-04-27T20:49:35Z
aalib,debian-13,https://salsa.debian.org/debian/aalib,http://aa-project.sourceforge.net/aalib/,2026-04-27T20:49:35Z
accountsservice,debian-13,https://salsa.debian.org/freedesktop-team/accountsservice,https://www.freedesktop.org/wiki/Software/AccountsService/,2026-04-27T20:49:35Z
acl,debian-13,https://git.hadrons.org/cgit/debian/pkgs/acl.git,https://savannah.nongnu.org/projects/acl/,2026-04-27T20:49:35Z
acpi-support,debian-13,https://salsa.debian.org/debian/acpi-support,,2026-04-27T20:49:35Z
acpid,debian-13,https://salsa.debian.org/debian/acpid,http://sourceforge.net/projects/acpid2/,2026-04-27T20:49:35Z
adwaita-icon-theme,debian-13,https://salsa.debian.org/gnome-team/adwaita-icon-theme,https://gitlab.gnome.org/GNOME/adwaita-icon-theme,2026-04-27T20:49:35Z
akregator,debian-13,https://salsa.debian.org/qt-kde-team/kde/akregator,https://invent.kde.org/pim/akregator,2026-04-27T20:49:35Z
alsa-plugins,debian-13,https://salsa.debian.org/alsa-team/alsa-plugins,https://www.alsa-project.org/,2026-04-27T20:49:35Z
alsa-topology-conf,debian-13,https://salsa.debian.org/alsa-team/alsa-topology-conf,https://www.alsa-project.org/,2026-04-27T20:49:35Z
alsa-ucm-conf,debian-13,https://salsa.debian.org/alsa-team/alsa-ucm-conf,https://www.alsa-project.org/,2026-04-27T20:49:35Z
alsa-utils,debian-13,https://salsa.debian.org/alsa-team/alsa-utils,https://www.alsa-project.org/,2026-04-27T20:49:35Z
anacron,debian-13,https://salsa.debian.org/debian/anacron,http://sourceforge.net/projects/anacron/,2026-04-27T20:49:35Z
android-tools-upstream,,,,2026-04-27T20:49:35Z
ann,debian-13,https://salsa.debian.org/science-team/ann,https://www.cs.umd.edu/~mount/ANN/,2026-04-27T20:49:35Z
apache-arrow,,,,2026-04-27T20:49:35Z
apache-serf,,,,2026-04-27T20:49:35Z
apache-thrift,,,,2026-04-27T20:49:35Z
apmod:dnssd,,,,2026-04-27T20:49:35Z
aptitude,debian-13,https://salsa.debian.org/apt-team/aptitude,https://wiki.debian.org/Aptitude,2026-04-27T20:49:35Z
ark,debian-13,https://salsa.debian.org/qt-kde-team/kde/ark,https://apps.kde.org/ark/,2026-04-27T20:49:35Z
armadillo,debian-13,https://salsa.debian.org/science-team/armadillo,https://arma.sourceforge.net/,2026-04-27T20:49:35Z
at,debian-13,https://salsa.debian.org/debian/at,http://blog.calhariz.com,2026-04-27T20:49:35Z
atkmm,vcpkg.io,,,2026-04-27T20:49:35Z
atril,debian-13,https://salsa.debian.org/debian-mate-team/atril,https://mate-desktop.org/,2026-04-27T20:49:35Z
audacious,debian-13,https://salsa.debian.org/multimedia-team/audacious,https://www.audacious-media-player.org/,2026-04-27T20:49:35Z
audacious-plugins,debian-13,https://salsa.debian.org/multimedia-team/audacious-plugins,https://www.audacious-media-player.org/,2026-04-27T20:49:35Z
autogen,debian-13,https://salsa.debian.org/debian/autogen,https://www.gnu.org/software/autogen/,2026-04-27T20:49:35Z
babeltrace,debian-13,https://salsa.debian.org/debian/babeltrace,https://www.efficios.com/babeltrace,2026-04-27T20:49:35Z
babl,debian-13,https://salsa.debian.org/gnome-team/babl,https://gegl.org/babl/,2026-04-27T20:49:35Z
base-passwd,debian-13,https://salsa.debian.org/debian/base-passwd,,2026-04-27T20:49:35Z
bison,debian-13,,https://www.gnu.org/software/bison/,2026-04-27T20:49:35Z
blt,debian-13,https://salsa.debian.org/tcltk-team/blt,http://blt.sourceforge.net/,2026-04-27T20:49:35Z
bogofilter,debian-13,,http://bogofilter.sourceforge.net/,2026-04-27T20:49:35Z
boost-defaults,debian-13,https://salsa.debian.org/debian/boost-defaults,https://www.boost.org/,2026-04-27T20:49:35Z
box2d,debian-13,https://salsa.debian.org/games-team/box2d,https://box2d.org/,2026-04-27T20:49:35Z
brasero,debian-13,https://salsa.debian.org/gnome-team/brasero,https://wiki.gnome.org/Apps/Brasero,2026-04-27T20:49:35Z
brltty,debian-13,https://salsa.debian.org/a11y-team/brltty,https://brltty.com,2026-04-27T20:49:35Z
bsdmainutils,debian-13,https://salsa.debian.org/meskes/bsdmainutils,,2026-04-27T20:49:35Z
btrfs-progs,debian-13,https://salsa.debian.org/debian/btrfs-progs,http://btrfs.wiki.kernel.org/,2026-04-27T20:49:35Z
busybox,debian-13,https://salsa.debian.org/installer-team/busybox,http://www.busybox.net,2026-04-27T20:49:35Z
cairomm,debian-13,https://salsa.debian.org/gnome-team/cairomm,https://cairographics.org/cairomm/,2026-04-27T20:49:35Z
caja,debian-13,https://salsa.debian.org/debian-mate-team/caja,https://mate-desktop.org/,2026-04-27T20:49:35Z
caribou,debian-13,https://salsa.debian.org/gnome-team/caribou,https://wiki.gnome.org/Projects/Caribou,2026-04-27T20:49:35Z
ccid,debian-13,https://salsa.debian.org/debian/ccid,https://ccid.apdu.fr/,2026-04-27T20:49:35Z
cdebconf,debian-13,https://salsa.debian.org/installer-team/cdebconf,,2026-04-27T20:49:35Z
cdparanoia,debian-13,https://salsa.debian.org/optical-media-team/cdparanoia,https://www.xiph.org/paranoia/,2026-04-27T20:49:35Z
cdrkit,debian-13,https://salsa.debian.org/debian/cdrkit,,2026-04-27T20:49:35Z
ceph,debian-13,https://salsa.debian.org/ceph-team/ceph,http://ceph.com/,2026-04-27T20:49:35Z
ceres-solver,debian-13,https://salsa.debian.org/science-team/ceres-solver,http://ceres-solver.org,2026-04-27T20:49:35Z
certbot,,,,2026-04-27T20:49:35Z
cfitsio,debian-13,https://salsa.debian.org/debian-astro-team/cfitsio,https://heasarc.gsfc.nasa.gov/fitsio/fitsio.html,2026-04-27T20:49:35Z
chafa,debian-13,https://salsa.debian.org/debian/chafa,https://hpjansson.org/chafa/,2026-04-27T20:49:35Z
cheese,debian-13,https://salsa.debian.org/gnome-team/cheese,https://wiki.gnome.org/Apps/Cheese,2026-04-27T20:49:35Z
chromaprint,debian-13,https://salsa.debian.org/multimedia-team/chromaprint,https://acoustid.org/chromaprint,2026-04-27T20:49:35Z
chromium,debian-13,https://salsa.debian.org/chromium-team/chromium,http://www.chromium.org/Home,2026-04-27T20:49:35Z
cifs-utils,debian-13,https://salsa.debian.org/samba-team/cifs-utils,https://wiki.samba.org/index.php/LinuxCIFS_utils,2026-04-27T20:49:35Z
cinnamon-control-center,debian-13,https://salsa.debian.org/cinnamon-team/cinnamon-control-center,http://cinnamon.linuxmint.com/,2026-04-27T20:49:35Z
cinnamon-desktop,debian-13,https://salsa.debian.org/cinnamon-team/cinnamon-desktop,http://cinnamon.linuxmint.com/,2026-04-27T20:49:35Z
cinnamon-menus,debian-13,https://salsa.debian.org/cinnamon-team/cinnamon-menus,http://cinnamon.linuxmint.com,2026-04-27T20:49:35Z
clisp,debian-13,https://salsa.debian.org/common-lisp-team/clisp,http://www.clisp.org/,2026-04-27T20:49:35Z
cln,debian-13,,http://www.ginac.de/CLN/,2026-04-27T20:49:35Z
clp,debian-13,https://salsa.debian.org/science-team/clp,https://projects.coin-or.org/Clp,2026-04-27T20:49:35Z
clucene,,,,2026-04-27T20:49:35Z
clutter,,,,2026-04-27T20:49:35Z
clutter-gst,,,,2026-04-27T20:49:35Z
clutter-gtk,debian-13,https://salsa.debian.org/gnome-team/clutter-gtk,,2026-04-27T20:49:35Z
cmocka,debian-13,https://salsa.debian.org/debian/cmocka,https://cmocka.org/,2026-04-27T20:49:35Z
codec2,debian-13,https://salsa.debian.org/bottoms/pkg-codec2,http://rowetel.com/codec2.html,2026-04-27T20:49:35Z
cogl,debian-13,https://salsa.debian.org/gnome-team/cogl,,2026-04-27T20:49:35Z
coin-or-cgl,vcpkg.io,,,2026-04-27T20:49:35Z
coinmp,debian-13,https://salsa.debian.org/science-team/coinmp,https://projects.coin-or.org/CoinMP,2026-04-27T20:49:35Z
colord,debian-13,https://salsa.debian.org/debian/colord,https://www.freedesktop.org/software/colord/,2026-04-27T20:49:35Z
colord-gtk,debian-13,https://salsa.debian.org/debian/colord-gtk,https://www.freedesktop.org/software/colord/,2026-04-27T20:49:35Z
cron,debian-13,https://salsa.debian.org/debian/cron,https://ftp.isc.org/isc/cron/,2026-04-27T20:49:35Z
crypto++,,,,2026-04-27T20:49:35Z
cunit,debian-13,https://salsa.debian.org/debian/cunit,http://cunit.sourceforge.net/,2026-04-27T20:49:35Z
cwidget,debian-13,https://salsa.debian.org/cwidget-team/cwidget,https://salsa.debian.org/cwidget-team/,2026-04-27T20:49:35Z
czmq,debian-13,https://salsa.debian.org/debian/czmq,http://czmq.zeromq.org/,2026-04-27T20:49:35Z
db-defaults,debian-13,https://salsa.debian.org/debian/db-defaults,,2026-04-27T20:49:35Z
dbus,debian-13,https://salsa.debian.org/utopia-team/dbus,https://dbus.freedesktop.org/,2026-04-27T20:49:35Z
dbus-glib,debian-13,https://salsa.debian.org/debian/dbus-glib,https://www.freedesktop.org/wiki/Software/DBusBindings,2026-04-27T20:49:35Z
ddcutil,debian-13,https://salsa.debian.org/debian/ddcutil,https://www.ddcutil.com,2026-04-27T20:49:35Z
debconf-kde,debian-13,https://salsa.debian.org/qt-kde-team/extras/debconf-kde,https://projects.kde.org/projects/extragear/sysadmin/libdebconf-kde,2026-04-27T20:49:35Z
debian:bind9utils,,,,2026-04-27T20:49:35Z
debian:cpufrequtils,,,,2026-04-27T20:49:35Z
debian:deborphan,,,,2026-04-27T20:49:35Z
debian:dnsutils,,,,2026-04-27T20:49:35Z
debian:freeglut3,,,,2026-04-27T20:49:35Z
debian:gconf2,,,,2026-04-27T20:49:35Z
debian:ghostscript-x,,,,2026-04-27T20:49:35Z
debian:gir1.2-mutter-11,,,,2026-04-27T20:49:35Z
debian:gir1.2-mutter-7,,,,2026-04-27T20:49:35Z
debian:gir1.2-tracker-2.0,,,,2026-04-27T20:49:35Z
debian:gvfs-bin,,,,2026-04-27T20:49:35Z
debian:imagemagick-6-common,,,,2026-04-27T20:49:35Z
debian:imagemagick-6.q16,,,,2026-04-27T20:49:35Z
debian:iproute,,,,2026-04-27T20:49:35Z
debian:kate5-data,,,,2026-04-27T20:49:35Z
debian:knotes,,,,2026-04-27T20:49:35Z
debian:ksysguard,,,,2026-04-27T20:49:35Z
debian:ksysguard-data,,,,2026-04-27T20:49:35Z
debian:ksysguardd,,,,2026-04-27T20:49:35Z
debian:libapt-pkg6.0,,,,2026-04-27T20:49:35Z
debian:libass5,,,,2026-04-27T20:49:35Z
debian:libavcodec58,,,,2026-04-27T20:49:35Z
debian:libavcodec59,,,,2026-04-27T20:49:35Z
debian:libavdevice58,,,,2026-04-27T20:49:35Z
debian:libavdevice59,,,,2026-04-27T20:49:35Z
debian:libavfilter7,,,,2026-04-27T20:49:35Z
