package,license,fetched_at
7zip,,2026-07-21T21:08:15Z
a52dec,,2026-07-21T21:08:15Z
aalib,,2026-07-21T21:08:15Z
abseil-cpp,,2026-07-21T21:08:15Z
accounts-qml-module,,2026-07-21T21:08:15Z
accountsservice,,2026-07-21T21:08:15Z
acl,gpl-2.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:15Z
acpi-support,,2026-07-21T21:08:15Z
acpid,,2026-07-21T21:08:15Z
ada,,2026-07-21T21:08:15Z
adwaita-icon-theme,lgpl-3.0-or-later or cc-by-sa-3.0,2026-07-21T21:08:15Z
aften,lgpl-2.1-or-later,2026-07-21T21:08:15Z
akonadi,,2026-07-21T21:08:15Z
akonadi-calendar,,2026-07-21T21:08:15Z
akonadi-contacts,,2026-07-21T21:08:15Z
akonadi-mime,,2026-07-21T21:08:15Z
akonadi-search,,2026-07-21T21:08:15Z
akregator,,2026-07-21T21:08:15Z
alsa-lib,lgpl-2.1-or-later and gpl-2.0-or-later,2026-07-21T21:08:15Z
alsa-plugins,,2026-07-21T21:08:15Z
alsa-topology-conf,,2026-07-21T21:08:15Z
alsa-ucm-conf,,2026-07-21T21:08:15Z
alsa-utils,,2026-07-21T21:08:15Z
anacron,,2026-07-21T21:08:15Z
ann,,2026-07-21T21:08:15Z
aom,bsd-2-clause,2026-07-21T21:08:15Z
apache,,2026-07-21T21:08:15Z
apache-arrow,apache-2.0,2026-07-21T21:08:15Z
apache-serf,apache-2.0,2026-07-21T21:08:15Z
apache-thrift,,2026-07-21T21:08:15Z
apmod:dnssd,,2026-07-21T21:08:15Z
apparmor,,2026-07-21T21:08:15Z
appstream,lgpl-2.1-or-later,2026-07-21T21:08:15Z
appstream-glib,,2026-07-21T21:08:15Z
apr,apache-2.0,2026-07-21T21:08:15Z
apr-util,apache-2.0,2026-07-21T21:08:15Z
apt,,2026-07-21T21:08:15Z
aptitude,,2026-07-21T21:08:15Z
argon2,cc0-1.0 or apache-2.0,2026-07-21T21:08:15Z
aria2,gpl-2.0-or-later,2026-07-21T21:08:15Z
aribb24,lgpl-3.0-only,2026-07-21T21:08:15Z
ark,,2026-07-21T21:08:15Z
armadillo,,2026-07-21T21:08:15Z
arpack,bsd-3-clause,2026-07-21T21:08:15Z
arpack-ng,,2026-07-21T21:08:15Z
aspell,lgpl-2.1-only,2026-07-21T21:08:15Z
assimp,bsd-3-clause and cc-pddc and mit and bsl-1.0 and unlicense and zlib,2026-07-21T21:08:15Z
at,,2026-07-21T21:08:15Z
at-spi2-core,lgpl-2.1-or-later,2026-07-21T21:08:15Z
