"project","github_repo","debian_sources","homebrew_formulas","debian_avg_downloads","homebrew_avg_downloads","downloads_score","is_cpp","is_oss_fuzz"
"ca-certificates","","ca-certificates","ca-certificates","0","4731609","4731609","True","False"
"xz","tukaani-project/xz","xz-utils","xz","227645","3855986","4172412","True","True"
"sqlite","","sqlite3","sqlite","229489","3691987","4010976","True","False"
"openssl","openssl/openssl","openssl","openssl@3|openssl@3.5|openssl@4","229107","3498788","3817246","True","True"
"glib","","glib2.0","glib","216841","3003625","3305033","True","False"
"nodejs","","nodejs","node|node@18|node@20|node@22|node@24","32670","2773602","2819013","True","False"
"readline","","readline","readline","131686","2631392","2814435","True","False"
"nghttp2","nghttp2/nghttp2","nghttp2","libnghttp2|nghttp2","210664","2517924","2810746","True","True"
"harfbuzz","harfbuzz/harfbuzz","harfbuzz","harfbuzz","165196","2501400","2731022","True","True"
"gettext","","gettext","gettext","14127","2480985","2500621","True","False"
"pcre","PCRE2Project/pcre2","","pcre|pcre2","0","2306580","2306580","True","True"
"python","","python3.13","python@3.10|python@3.11|python@3.12|python@3.13|python@3.14|python@3.9","35815","2224521","2274303","True","False"
"zstd","facebook/zstd","libzstd","zstd","195196","1911802","2183124","True","True"
"libpng","","libpng1.6","libpng","192792","1910764","2178744","True","False"
"libx11","","libx11","libx11","227797","1837738","2154375","True","False"
"lz4","lz4/lz4","lz4","lz4","212800","1828779","2124571","True","True"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo","libjpeg-turbo","jpeg-turbo","189260","1803821","2066892","True","True"
"git","","git","git|git-gui","125366","1832306","2006564","True","False"
"libidn2","","libidn2","libidn2","212517","1650326","1945724","True","False"
"fontconfig","","fontconfig","fontconfig","195595","1634403","1906280","True","False"
"freetype","","freetype","freetype","229438","1502390","1821308","True","False"
"gnutls","","gnutls28","gnutls","193022","1550257","1818557","True","False"
"awscli","aws/aws-cli","","awscli","0","1751886","1751886","True","False"
"tiff","","tiff","libtiff","72450","1648669","1749374","True","False"
"unbound","","unbound","unbound","64087","1640424","1729504","True","False"
"lcms","","lcms2","little-cms2","165742","1458510","1688891","True","False"
"gmp","","gmp","gmp","226842","1358823","1674133","True","False"
