"package","github_repo","git","eco_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","repo_id","canonical_url","license"
"glibc","gnutools/glibc","https://github.com/gnutools/glibc.git","override","230082","354990","674803","0.21583344","A","gh/1178881118","https://sourceware.org/git/glibc.git","gpl-2.0-or-later and lgpl-2.1-or-later"
"gcc","gcc-mirror/gcc","https://github.com/gcc-mirror/gcc.git","override","230118","1109102","1428966","0.05613343","A","gh/22711503","git://gcc.gnu.org/git/gcc.git","gpl-3.0-or-later with gcc-exception-3.1"
"libxcrypt","besser82/libxcrypt","https://github.com/besser82/libxcrypt.git","native","151303","191454","401765","0.03208689","A","gh/35503965","","lgpl-2.1-or-later"
"linux","torvalds/linux","https://github.com/torvalds/linux.git","override","133723","215600","401474","0.03100201","A","gh/2325298","",""
"rpcsvc-proto","thkukuk/rpcsvc-proto","https://github.com/thkukuk/rpcsvc-proto.git","native","49971","0","69459","0.03061227","A","gh/55140533","",""
"gettext","autotools-mirror/gettext","https://github.com/autotools-mirror/gettext.git","override","14127","2480985","2500621","0.01929923","A","gh/47662595","https://git.savannah.gnu.org/git/gettext.git","gpl-3.0-or-later and lgpl-2.1-or-later"
"zlib","madler/zlib","https://github.com/madler/zlib.git","native","230123","890331","1210201","0.01585554","A","gh/2359378","","zlib"
"zstd","facebook/zstd","https://github.com/facebook/zstd.git","native","195196","1911802","2183124","0.01484179","A","gh/29759715","","(bsd-3-clause or gpl-2.0-only) and bsd-2-clause and mit"
"gmp","gmp-mirror/gmp","https://github.com/gmp-mirror/gmp.git","override","226842","1358823","1674133","0.01413627","A","gh/681340775","","lgpl-3.0-or-later or gpl-2.0-or-later"
"xz","tukaani-project/xz","https://github.com/tukaani-project/xz.git","native","227645","3855986","4172412","0.00950834","A","gh/553665726","","0bsd and gpl-2.0-or-later"
"systemd","systemd/systemd","https://github.com/systemd/systemd.git","native","229282","72406","391107","0.00895038","A","gh/32873313","","lgpl-2.1-or-later and gpl-2.0-or-later and cc0-1.0 and lgpl-2.0-or-later and mit and mit-0 and licenseref-homebrew-public-domain and (lgpl-2.0-or-later with linux-syscall-note) and (gpl-1.0-or-later with linux-syscall-note) and (gpl-2.0-or-later with linux-syscall-note) and (gpl-2.0-only with linux-syscall-note) and (bsd-3-clause or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-or-later with linux-syscall-note)) and (gpl-2.0-only or bsd-2-clause)"
"openssl","openssl/openssl","https://github.com/openssl/openssl.git","native","229107","3498788","3817246","0.00883193","A","gh/7634677","",""
"glib","","https://gitlab.gnome.org/gnome/glib.git","native","216841","3003625","3305033","0.00726794","A","gl/gnome-658","","lgpl-2.1-or-later"
"tcp-wrappers","","https://salsa.debian.org/md/tcp-wrappers.git","native","229025","0","318344","0.00697954","A","gl/debian-28852","",""
"mpfr","","https://gitlab.inria.fr/mpfr/mpfr.git","override","156814","638726","856697","0.00695618","A","gl/inria-33626","","lgpl-3.0-or-later"
"lz4","lz4/lz4","https://github.com/lz4/lz4.git","native","212800","1828779","2124571","0.00669815","A","gh/18106269","","bsd-2-clause"
"usb.ids","","","","0","11244","11244","0.00664891","A","","","gpl-2.0-or-later or bsd-3-clause"
"libunistring","1g4-mirror/libunistring","https://github.com/1g4-mirror/libunistring.git","override","20077","1618694","1646601","0.00635083","A","gh/1165671691","https://git.savannah.gnu.org/git/libunistring.git","gpl-2.0-or-later or lgpl-3.0-or-later"
"ca-certificates","","https://salsa.debian.org/debian/ca-certificates.git","override","0","4731609","4731609","0.00611729","A","gl/debian-2995","","mpl-2.0"
"boehm-gc","bdwgc/bdwgc","https://github.com/bdwgc/bdwgc.git","native","85435","541194","659948","0.00535899","A","gh/2109456","",""
"isl","meinersbur/isl","https://github.com/meinersbur/isl.git","override","114600","583165","742459","0.00532760","A","gh/37677854","","mit"
"gnumpc","","https://gitlab.inria.fr/mpc/mpc.git","override","164699","435028","663959","0.00526902","A","gl/inria-22470","",""
"binutils","gnutools/binutils-gdb","https://github.com/gnutools/binutils-gdb.git","override","147480","306369","511366","0.00519855","A","gh/1178912368","https://sourceware.org/git/binutils-gdb.git","gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.0-or-later and lgpl-3.0-only"
"libx11","","https://gitlab.freedesktop.org/xorg/lib/libx11.git","override","227797","1837738","2154375","0.00467816","A","gl/freedesktop-701","","mit"
"readline","sailfishos-mirror/readline","https://github.com/sailfishos-mirror/readline.git","override","131686","2631392","2814435","0.00450115","A","gh/251362875","https://git.savannah.gnu.org/git/readline.git","gpl-3.0-or-later"
"json-c","json-c/json-c","https://github.com/json-c/json-c.git","native","150500","72181","281376","0.00442918","A","gh/1139119","","mit"
"python","python/cpython","https://github.com/python/cpython.git","override","35815","2224521","2274303","0.00437441","A","gh/81598961","",""
"libpng","pnggroup/libpng","https://github.com/pnggroup/libpng.git","native","192792","1910764","2178744","0.00426065","A","gh/3768025","","libpng-2.0"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo","https://github.com/libjpeg-turbo/libjpeg-turbo.git","native","189260","1803821","2066892","0.00424826","A","gh/39760454","",""
"sqlite","sqlite/sqlite","https://github.com/sqlite/sqlite.git","override","229489","3691987","4010976","0.00397549","A","gh/176278485","","blessing"
"xorgproto","","https://gitlab.freedesktop.org/xorg/proto/xorgproto.git","override","0","1206438","1206438","0.00397036","A","gl/freedesktop-788","","mit"
"pkgconf","pkgconf/pkgconf","https://github.com/pkgconf/pkgconf.git","native","22205","612084","642948","0.00373328","A","gh/4180110","","isc"
"ncurses","mirror/ncurses","https://github.com/mirror/ncurses.git","override","230113","964676","1284533","0.00370346","A","gh/22324756","","x11-distribute-modifications-variant"
"xxhash","cyan4973/xxhash","https://github.com/cyan4973/xxhash.git","native","154762","120135","335254","0.00318431","A","gh/19330466","","bsd-2-clause and gpl-2.0-or-later"
"pcre","pcre2project/pcre2","https://github.com/pcre2project/pcre2.git","native","0","2306580","2306580","0.00304656","A","gh/398251321","","bsd-3-clause"
"tiff","","https://gitlab.com/libtiff/libtiff.git","override","72450","1648669","1749374","0.00270524","A","gl/4720790","",""
"freetype","freetype/freetype","https://github.com/freetype/freetype.git","override","229438","1502390","1821308","0.00266889","A","gh/187000659","","ftl"
"harfbuzz","harfbuzz/harfbuzz","https://github.com/harfbuzz/harfbuzz.git","native","165196","2501400","2731022","0.00258131","A","gh/5050525","","mit"
"m4","autotools-mirror/m4","https://github.com/autotools-mirror/m4.git","override","77602","926897","1034763","0.00251741","A","gh/66880383","","gpl-3.0-or-later"
"icu","unicode-org/icu","https://github.com/unicode-org/icu.git","native","40372","1587966","1644083","0.00251014","A","gh/49244766","",""
"nghttp2","nghttp2/nghttp2","https://github.com/nghttp2/nghttp2.git","native","210664","2517924","2810746","0.00247775","A","gh/11452676","","mit"
"libselinux","selinuxproject/selinux","https://github.com/selinuxproject/selinux.git","override","230109","0","319851","0.00242165","A","gh/20648799","",""
"libxau","","https://gitlab.freedesktop.org/xorg/lib/libxau.git","override","227983","1129290","1446186","0.00233570","A","gl/freedesktop-706","","mit"
"libxcb","gitlab-freedesktop-mirrors/libxcb","https://github.com/gitlab-freedesktop-mirrors/libxcb.git","override","227837","1227499","1544192","0.00229087","A","gh/444023705","","mit"
"nodejs","nodejs/node","https://github.com/nodejs/node.git","native","32670","2773602","2819013","0.00221080","A","gh/27193779","",""
"gnutls","","https://gitlab.com/gnutls/gnutls.git","native","193022","1550257","1818557","0.00215691","A","gl/179611","","lgpl-2.1-or-later and gpl-3.0-only"
"libxdmcp","","https://gitlab.freedesktop.org/xorg/lib/libxdmcp.git","override","227996","978297","1295211","0.00214584","A","gl/freedesktop-712","","mit"
"fontconfig","","https://gitlab.freedesktop.org/fontconfig/fontconfig.git","native","195595","1634403","1906280","0.00212200","A","gl/freedesktop-890","","hpnd-sell-variant and unicode-3.0 and mit-modern-variant and mit and licenseref-homebrew-public-domain"
