"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"dpkg","230133","0.2113","19853","0.0100"
"acl","230130","0.2113","78861","0.0395"
"pam","230129","0.2113","13151","0.0066"
"coreutils","230128","0.2113","687007","0.3445"
"bzip2","230128","0.2113","383645","0.1924"
"tar","230127","0.2113","234511","0.1176"
"shadow","230127","0.2113","0",""
"util-linux","230126","0.2113","239271","0.1200"
"perl","230126","0.2113","214762","0.1077"
"zlib","230123","0.2113","890331","0.4465"
"ca-certificates","0","","4731609","2.3728"
"sed","230119","0.2113","135455","0.0679"
"apt","230119","0.2113","0",""
"gcc","230118","0.2113","1109102","0.5562"
"attr","230118","0.2113","56712","0.0284"
"base-passwd","230115","0.2113","0",""
"findutils","230114","0.2113","33890","0.0170"
"ncurses","230113","0.2113","964676","0.4838"
"grep","230112","0.2112","91840","0.0461"
"gzip","230111","0.2112","16483","0.0083"
"hostname","230111","0.2112","0",""
"xz","227645","0.2090","3855986","1.9337"
"libselinux","230109","0.2112","0",""
"sysvinit","230102","0.2112","0",""
"glibc","230082","0.2112","354990","0.1780"
"bash","230075","0.2112","313461","0.1572"
"popt","230060","0.2112","85837","0.0430"
"libedit","230020","0.2112","235861","0.1183"
"e2fsprogs","229993","0.2111","0",""
"procps","229971","0.2111","0",""
"cpio","229930","0.2111","4888","0.0025"
"sqlite","229489","0.2107","3691987","1.8514"
"debianutils","229908","0.2111","0",""
"s-lang","229888","0.2110","35811","0.0180"
"logrotate","229888","0.2110","0",""
"keyutils","229877","0.2110","26873","0.0135"
"expat","229837","0.2110","425033","0.2131"
"libcap","229822","0.2110","55416","0.0278"
"lvm2","229772","0.2109","0",""
"mawk","229643","0.2108","0",""
"openssl","229107","0.2103","3498788","1.7545"
"newt-tui","229580","0.2108","0",""
"iputils","229537","0.2107","0",""
"openssh","229442","0.2106","72811","0.0365"
"freetype","229438","0.2106","1502390","0.7534"
"cron","229394","0.2106","0",""
"dash-shell","229387","0.2106","0",""
"glib","216841","0.1991","3003625","1.5062"
"diffutils","229327","0.2105","27023","0.0136"
"systemd","229282","0.2105","72406","0.0363"
"libbsd","229267","0.2105","0",""
"klibc","229162","0.2104","0",""
"krb5","229140","0.2104","1056264","0.5297"
"readline","131686","0.1209","2631392","1.3196"
"tcp-wrappers","229025","0.2103","0",""
"libgpg-error","228979","0.2102","603556","0.3027"
"vim","228765","0.2100","366637","0.1839"
"less","228662","0.2099","0",""
"linux-base","228622","0.2099","0",""
"pciutils","228559","0.2098","0",""
"nghttp2","210664","0.1934","2517924","1.2627"
"gnupg","228528","0.2098","759991","0.3811"
"cyrus-sasl","228407","0.2097","32697","0.0164"
"libxml2","228070","0.2094","520962","0.2612"
"libxdmcp","227996","0.2093","978297","0.4906"
"libxau","227983","0.2093","1129290","0.5663"
"libxcb","227837","0.2092","1227499","0.6156"
"harfbuzz","165196","0.1517","2501400","1.2544"
"libx11","227797","0.2091","1837738","0.9216"
"dbus","227606","0.2089","318864","0.1599"
"libsemanage","227595","0.2089","0",""
"p11-kit","227578","0.2089","965128","0.4840"
"kmod","227466","0.2088","0",""
"gettext","14127","0.0130","2480985","1.2441"
"grub","227233","0.2086","0",""
"libxext","227097","0.2085","1047804","0.5254"
"gmp","226842","0.2082","1358823","0.6814"
"file","226452","0.2079","71507","0.0359"
"wget","226288","0.2077","939560","0.4712"
"ifupdown","225715","0.2072","0",""
"pcre","0","","2306580","1.1567"
"nano","225439","0.2070","39881","0.0200"
"libcap-ng","225066","0.2066","0",""
"console-setup","224099","0.2057","0",""
"kbd","223811","0.2055","0",""
"libtasn1","222853","0.2046","796456","0.3994"
"python","35815","0.0329","2224521","1.1155"
"audit","222766","0.2045","0",""
"cdebconf","222627","0.2044","0",""
"libxmu","222094","0.2039","23376","0.0117"
"libgcrypt","221677","0.2035","374095","0.1876"
"libmnl","221417","0.2033","0",""
"zstd","195196","0.1792","1911802","0.9587"
"xauth","221023","0.2029","6857","0.0034"
"groff","220542","0.2025","17499","0.0088"
"rtmpdump","220113","0.2021","338635","0.1698"
"libpipeline","218719","0.2008","0",""
"lsof","217759","0.1999","0",""
"libpng","192792","0.1770","1910764","0.9582"
"python3-defaults","217534","0.1997","0",""
"man-db","217497","0.1997","0",""
"bind","217032","0.1992","15549","0.0078"
"iptables","216656","0.1989","0",""
"dhcp","214832","0.1972","0",""
"apparmor","214358","0.1968","0",""
"libseccomp","213288","0.1958","9614","0.0048"
"lz4","212800","0.1954","1828779","0.9171"
"git","125366","0.1151","1832306","0.9188"
"libidn2","212517","0.1951","1650326","0.8276"
"traceroute-for-linux","212243","0.1948","0",""
"liblockfile","210447","0.1932","0",""
"libusb","208980","0.1918","512095","0.2568"
"discover-data","208875","0.1918","0",""
"discover-unclassified","208818","0.1917","0",""
"netcat-unclassified","208311","0.1912","0",""
"libfuse","208234","0.1912","0",""
"openldap","207896","0.1909","697337","0.3497"
"libjpeg-turbo","189260","0.1737","1803821","0.9046"
"libssh2","206863","0.1899","621327","0.3116"
"libnfnetlink","204930","0.1881","0",""
"db","203462","0.1868","291419","0.1461"
"curl","202088","0.1855","1060193","0.5317"
"awscli","0","","1751886","0.8785"
"libksba","200721","0.1843","402629","0.2019"
"pcre2","200436","0.1840","0",""
"elfutils","199964","0.1836","64564","0.0324"
"usbutils","199870","0.1835","0",""
"gpm","198964","0.1827","0",""
"fontconfig","195595","0.1796","1634403","0.8196"
"libnftnl","193733","0.1779","0",""
"sudo","193216","0.1774","0",""
"tiff","72450","0.0665","1648669","0.8268"
