"package","dependency","type"
"Inflector","lazy_static","normal"
"Inflector","regex","normal"
"aarch32-cpu","arbitrary-int","normal"
"aarch32-cpu","arm-targets","build"
"aarch32-cpu","bitbybit","normal"
"aarch32-cpu","critical-section","normal"
"aarch32-cpu","defmt","normal"
"aarch32-cpu","num_enum","normal"
"aarch32-cpu","serde","normal"
"aarch32-cpu","thiserror","normal"
"ab_glyph","ab_glyph_rasterizer","normal"
"ab_glyph","libm","normal"
"ab_glyph","owned_ttf_parser","normal"
"ab_glyph_rasterizer","libm","normal"
"abi_stable","abi_stable_derive","normal"
"abi_stable","abi_stable_shared","normal"
"abi_stable","bincode","dev"
"abi_stable","const_panic","normal"
"abi_stable","core_extensions","normal"
"abi_stable","crossbeam-channel","normal"
"abi_stable","crossbeam-utils","dev"
"abi_stable","fnv","dev"
"abi_stable","generational-arena","normal"
"abi_stable","hashbrown","dev"
"abi_stable","libloading","normal"
"abi_stable","lock_api","normal"
"abi_stable","parking_lot","normal"
"abi_stable","paste","normal"
"abi_stable","rand","dev"
"abi_stable","repr_offset","normal"
"abi_stable","rustc_version","build"
"abi_stable","serde","normal"
"abi_stable","serde_derive","normal"
"abi_stable","serde_json","dev"
"abi_stable","serde_json","normal"
"abi_stable","trybuild","dev"
"abi_stable_derive","abi_stable_shared","normal"
"abi_stable_derive","as_derive_utils","dev"
"abi_stable_derive","as_derive_utils","normal"
"abi_stable_derive","core_extensions","normal"
"abi_stable_derive","proc-macro2","normal"
"abi_stable_derive","quote","normal"
"abi_stable_derive","rustc_version","build"
"abi_stable_derive","syn","normal"
"abi_stable_derive","typed-arena","normal"
"abi_stable_shared","core_extensions","normal"
"abnf","abnf-core","normal"
"abnf","nom","normal"
"abnf","quickcheck","dev"
"abnf","quickcheck_macros","dev"
"abnf","rand","dev"
"abnf","rand_distr","dev"
"abnf-core","nom","normal"
"abomonation","recycler","dev"
"abscissa_core","abscissa_derive","normal"
"abscissa_core","arc-swap","normal"
"abscissa_core","backtrace","normal"
"abscissa_core","canonical-path","normal"
"abscissa_core","clap","normal"
"abscissa_core","color-eyre","normal"
"abscissa_core","fs-err","normal"
"abscissa_core","once_cell","normal"
"abscissa_core","regex","normal"
"abscissa_core","secrecy","normal"
"abscissa_core","semver","normal"
"abscissa_core","serde","normal"
"abscissa_core","termcolor","normal"
"abscissa_core","toml","normal"
"abscissa_core","tracing","normal"
"abscissa_core","tracing-log","normal"
"abscissa_core","tracing-subscriber","normal"
"abscissa_core","wait-timeout","normal"
"abscissa_derive","ident_case","normal"
"abscissa_derive","proc-macro2","normal"
"abscissa_derive","quote","normal"
"abscissa_derive","syn","normal"
"abscissa_derive","synstructure","normal"
"accelerate-src","libc","dev"
"accesskit","enumn","normal"
"accesskit","pyo3","normal"
"accesskit","schemars","normal"
"accesskit","serde","normal"
"accesskit","serde_json","normal"
"accesskit","uuid","normal"
"accesskit_android","accesskit","normal"
"accesskit_android","accesskit_consumer","normal"
"accesskit_android","jni","normal"
"accesskit_android","log","normal"
"accesskit_atspi_common","accesskit","normal"
"accesskit_atspi_common","accesskit_consumer","normal"
"accesskit_atspi_common","atspi-common","normal"
"accesskit_atspi_common","phf","normal"
"accesskit_atspi_common","serde","normal"
"accesskit_atspi_common","zvariant","normal"
"accesskit_consumer","accesskit","normal"
