package,is_eol,eol_method,eol_reason,source,eol_checked_at
serde,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
serde_derive,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
trybuild,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
proc-macro2,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
serde_core,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
quote,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
rustc-std-workspace-core,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
rustversion,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
syn,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
rand,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
serde_json,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
criterion,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
libc,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
windows-sys,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
windows-link,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
rayon,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
quickcheck,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
log,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
doc-comment,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
rand_core,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
unicode-ident,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
cfg-if,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
automod,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
portable-atomic,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
flate2,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
getrandom,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
winapi-util,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
tar,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
tempfile,False,crates_yanked,,db-dump,2026-07-06T19:35:31+00:00
