package,license,fetched_at
Inflector,bsd-2-clause,2026-07-21T21:07:52Z
RustyXML,mit/apache-2.0,2026-07-21T21:07:52Z
aarch32-cpu,mit or apache-2.0,2026-07-21T21:07:52Z
ab_glyph,apache-2.0,2026-07-21T21:07:52Z
ab_glyph_rasterizer,apache-2.0,2026-07-21T21:07:52Z
abi_stable,mit/apache-2.0,2026-07-21T21:07:52Z
abi_stable_derive,mit/apache-2.0,2026-07-21T21:07:52Z
abi_stable_shared,mit/apache-2.0,2026-07-21T21:07:52Z
abnf,mit or apache-2.0,2026-07-21T21:07:52Z
abnf-core,mit or apache-2.0,2026-07-21T21:07:52Z
abomonation,mit,2026-07-21T21:07:52Z
abscissa_core,apache-2.0,2026-07-21T21:07:52Z
abscissa_derive,apache-2.0,2026-07-21T21:07:52Z
accelerate-src,apache-2.0/mit,2026-07-21T21:07:52Z
accesskit,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_android,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_atspi_common,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_consumer,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_ios,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_macos,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_unix,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_windows,mit or apache-2.0,2026-07-21T21:07:52Z
accesskit_winit,apache-2.0,2026-07-21T21:07:52Z
accurate,mit or apache-2.0,2026-07-21T21:07:52Z
actix,mit or apache-2.0,2026-07-21T21:07:52Z
actix-codec,mit or apache-2.0,2026-07-21T21:07:52Z
actix-connect,mit or apache-2.0,2026-07-21T21:07:52Z
actix-cors,mit or apache-2.0,2026-07-21T21:07:52Z
actix-files,mit or apache-2.0,2026-07-21T21:07:52Z
actix-http,mit or apache-2.0,2026-07-21T21:07:52Z
actix-http-test,mit or apache-2.0,2026-07-21T21:07:52Z
actix-macros,mit or apache-2.0,2026-07-21T21:07:52Z
actix-multipart,mit or apache-2.0,2026-07-21T21:07:52Z
actix-multipart-derive,mit or apache-2.0,2026-07-21T21:07:52Z
actix-multipart-rfc7578,mit or apache-2.0,2026-07-21T21:07:52Z
actix-router,mit or apache-2.0,2026-07-21T21:07:52Z
actix-rt,mit or apache-2.0,2026-07-21T21:07:52Z
actix-server,mit or apache-2.0,2026-07-21T21:07:52Z
actix-service,mit or apache-2.0,2026-07-21T21:07:52Z
actix-test,mit or apache-2.0,2026-07-21T21:07:52Z
actix-testing,mit/apache-2.0,2026-07-21T21:07:52Z
actix-threadpool,mit or apache-2.0,2026-07-21T21:07:52Z
actix-tls,mit or apache-2.0,2026-07-21T21:07:52Z
actix-utils,mit or apache-2.0,2026-07-21T21:07:52Z
actix-web,mit or apache-2.0,2026-07-21T21:07:52Z
actix-web-actors,mit or apache-2.0,2026-07-21T21:07:52Z
actix-web-codegen,mit or apache-2.0,2026-07-21T21:07:52Z
actix-web-httpauth,mit or apache-2.0,2026-07-21T21:07:52Z
actix-ws,mit or apache-2.0,2026-07-21T21:07:52Z
actix_derive,mit or apache-2.0,2026-07-21T21:07:52Z
adaptive-barrier,apache-2.0/mit,2026-07-21T21:07:52Z
addchain,mit or apache-2.0,2026-07-21T21:07:52Z
addr,mit/apache-2.0,2026-07-21T21:07:52Z
addr2line,apache-2.0 or mit,2026-07-21T21:07:52Z
adler,0bsd or mit or apache-2.0,2026-07-21T21:07:52Z
adler2,0bsd or mit or apache-2.0,2026-07-21T21:07:52Z
adler32,zlib,2026-07-21T21:07:52Z
aead,mit or apache-2.0,2026-07-21T21:07:52Z
aegis,mit,2026-07-21T21:07:52Z
aegis-password-generator,mit or apache-2.0,2026-07-21T21:07:52Z
aes,mit or apache-2.0,2026-07-21T21:07:52Z
aes-gcm,apache-2.0 or mit,2026-07-21T21:07:52Z
aes-gcm-siv,mit or apache-2.0,2026-07-21T21:07:52Z
aes-keywrap,mit,2026-07-21T21:07:52Z
aes-siv,apache-2.0 or mit,2026-07-21T21:07:52Z
aes-soft,apache-2.0 or mit,2026-07-21T21:07:52Z
aesni,apache-2.0 or mit,2026-07-21T21:07:52Z
affinitypool,mit/apache-2.0,2026-07-21T21:07:52Z
afl,apache-2.0,2026-07-21T21:07:52Z
again,mit,2026-07-21T21:07:52Z
agave-bls12-381,apache-2.0,2026-07-21T21:07:52Z
agave-feature-set,apache-2.0,2026-07-21T21:07:52Z
agave-logger,apache-2.0,2026-07-21T21:07:52Z
agave-precompiles,apache-2.0,2026-07-21T21:07:52Z
agave-reserved-account-keys,apache-2.0,2026-07-21T21:07:52Z
agave-syscalls,apache-2.0,2026-07-21T21:07:52Z
agave-transaction-view,apache-2.0,2026-07-21T21:07:52Z
agave-xdp,apache-2.0,2026-07-21T21:07:52Z
agave-xdp-ebpf,apache-2.0,2026-07-21T21:07:52Z
ahash,mit or apache-2.0,2026-07-21T21:07:52Z
aho-corasick,unlicense or mit,2026-07-21T21:07:52Z
al-sys,mit/apache-2.0,2026-07-21T21:07:52Z
alga,apache-2.0,2026-07-21T21:07:52Z
alga_derive,apache-2.0,2026-07-21T21:07:52Z
aliasable,mit,2026-07-21T21:07:52Z
aliasable_deref_trait,mit,2026-07-21T21:07:52Z
align-data,mit,2026-07-21T21:07:52Z
aligned,mit or apache-2.0,2026-07-21T21:07:52Z
aligned-vec,mit,2026-07-21T21:07:52Z
allo-isolate,non-standard,2026-07-21T21:07:52Z
alloc-no-stdlib,bsd-3-clause,2026-07-21T21:07:52Z
alloc-stdlib,bsd-3-clause,2026-07-21T21:07:52Z
alloc-traits,mit,2026-07-21T21:07:52Z
alloc_cat,non-standard,2026-07-21T21:07:52Z
alloc_counter,mit or apache-2.0,2026-07-21T21:07:52Z
alloc_counter_macro,mit or apache-2.0,2026-07-21T21:07:52Z
alloca,mit,2026-07-21T21:07:52Z
allocative,apache-2.0,2026-07-21T21:07:52Z
allocative_derive,apache-2.0,2026-07-21T21:07:52Z
allocator-api2,mit or apache-2.0,2026-07-21T21:07:52Z
alloy,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-chains,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-consensus,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-consensus-any,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-contract,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-core,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-dyn-abi,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-eip2124,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-eip2930,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-eip7702,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-eip7928,mit or apache-2.0,2026-07-21T21:07:52Z
alloy-eips,mit or apache-2.0,2026-07-21T21:07:52Z
