"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"serde","serde-rs/serde","144991169","34991551","65562547","109357962","182076207","332967578","True","0.04518845","A","https://github.com/serde-rs/serde.git","eco","gh/14367737","","mit or apache-2.0"
"serde_derive","serde-rs/serde","135029540","30242111","58490250","100004615","173246414","313164313","True","0.03751685","A","https://github.com/serde-rs/serde.git","eco","gh/14367737","","mit or apache-2.0"
"trybuild","dtolnay/trybuild","6421607","1275709","2285451","3983510","6888856","17674513","True","0.03128494","A","https://github.com/dtolnay/trybuild.git","eco","gh/184941159","","mit or apache-2.0"
"proc-macro2","dtolnay/proc-macro2","167070671","43042491","75560252","126177039","208951357","381622220","True","0.02725065","A","https://github.com/dtolnay/proc-macro2.git","eco","gh/91860126","","mit or apache-2.0"
"serde_core","serde-rs/serde","12491795","0","0","0","0","62458976","True","0.02443621","A","https://github.com/serde-rs/serde.git","eco","gh/14367737","","mit or apache-2.0"
"quote","dtolnay/quote","162618532","42658055","75197474","122818732","198373537","374044862","True","0.02386009","A","https://github.com/dtolnay/quote.git","eco","gh/67273122","","mit or apache-2.0"
"rustc-std-workspace-core","rust-lang/rust","351458","155020","306166","484408","413442","398257","False","0.02184145","A","https://github.com/rust-lang/rust.git","eco","gh/724712","","mit/apache-2.0"
"rustversion","dtolnay/rustversion","67027638","4809684","18521028","41335301","81100352","189371827","True","0.02045334","A","https://github.com/dtolnay/rustversion.git","eco","gh/183990447","","mit or apache-2.0"
"syn","dtolnay/syn","243988489","46769798","79600993","183382578","337993130","572195949","True","0.01968401","A","https://github.com/dtolnay/syn.git","eco","gh/67305738","","mit or apache-2.0"
"rand","rust-random/rand","151946926","48153320","70113239","96883340","155643783","388940950","True","0.01808382","A","https://github.com/rust-random/rand.git","eco","gh/30227790","","mit or apache-2.0"
"serde_json","serde-rs/json","128363670","29114497","56903669","94135115","163307071","298357999","True","0.01455303","A","https://github.com/serde-rs/json.git","eco","gh/35894511","","mit or apache-2.0"
"criterion","criterion-rs/criterion.rs","28582699","4647658","8973117","16400531","35108583","77783607","True","0.0139766","A","https://github.com/criterion-rs/criterion.rs.git","override","gh/1081104682","","apache-2.0 or mit"
"libc","rust-lang/libc","162153079","43122350","74496649","117935941","197458183","377752276","True","0.01337344","A","https://github.com/rust-lang/libc.git","eco","gh/29197565","","mit or apache-2.0"
"windows-sys","microsoft/windows-rs","117711135","51502","15184337","61218626","143755749","368345465","True","0.01010979","A","https://github.com/microsoft/windows-rs.git","eco","gh/208102250","","mit or apache-2.0"
