"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"syn","243988489","0.00584099","46769798","79600993","183382578","337993130","572195949"
"hashbrown","209603958","0.00501784","25670194","55325008","122881406","264738612","579404573"
"bitflags","183000730","0.00438096","32915137","54997348","121818091","256790194","448482880"
"proc-macro2","167070671","0.00399961","43042491","75560252","126177039","208951357","381622220"
"base64","164971234","0.00394935","33600404","50702961","113492336","224066091","402994380"
"getrandom","163104776","0.00390466","39247562","65716582","98191138","159117506","453251093"
"quote","162618532","0.00389302","42658055","75197474","122818732","198373537","374044862"
"libc","162153079","0.00388188","43122350","74496649","117935941","197458183","377752276"
"rand_core","157594870","0.00377276","49518235","73000888","101949595","163551846","399953786"
"regex-syntax","155715346","0.00372776","28900859","48538203","111580278","216444266","373113126"
"rand","151946926","0.00363755","48153320","70113239","96883340","155643783","388940950"
"itertools","151228188","0.00362034","23647853","38317637","71885218","190079842","432210394"
"indexmap","151140288","0.00361824","22577552","43615544","90824265","204573849","394110234"
"cfg-if","146597768","0.00350949","51136401","75282227","105482717","166791772","334295726"
"serde","144991169","0.00347103","34991551","65562547","109357962","182076207","332967578"
"serde_derive","135029540","0.00323255","30242111","58490250","100004615","173246414","313164313"
"unicode-ident","134841825","0.00322806","21","33551508","108912516","178819846","352925235"
"thiserror-impl","134773446","0.00322642","21018988","42697071","79332612","151855404","378963158"
"thiserror","134760914","0.00322612","21021818","42699115","79346547","151823593","378913500"
"autocfg","134710283","0.00322491","35996769","64249658","92903046","165669091","314732851"
"rand_chacha","134604149","0.00322237","39086331","59319433","85778375","136408944","352427666"
"memchr","134040337","0.00320887","31547966","52834095","92013234","173348058","320458335"
"itoa","132458767","0.00317101","28921191","70810547","101298146","161065214","300198739"
"regex-automata","131455663","0.00314700","12381063","22216381","68637930","203021143","351021802"
"heck","130616134","0.00312690","18927401","44605181","78814080","176626632","334107377"
"once_cell","130001230","0.00311218","25817875","58771362","96899067","162295560","306222289"
"serde_json","128363670","0.00307298","29114497","56903669","94135115","163307071","298357999"
"log","125550590","0.00300563","31016316","55535841","91116342","149082505","301001946"
"cc","121318048","0.00290431","28300630","51744399","85272044","148800182","292472985"
"ryu","121117497","0.00289950","25690982","53788403","89301190","152122012","284684902"
"clap","119275001","0.00285540","21186210","54096904","87479932","149223985","284387977"
"regex","118746849","0.00284275","29049777","49822249","92567574","157946667","264347980"
"windows-sys","117711135","0.00281796","51502","15184337","61218626","143755749","368345465"
"smallvec","117110570","0.00280358","29088408","52491007","80852888","145406335","277714212"
"aho-corasick","116840608","0.00279712","26788881","43530903","91510655","162916842","259455761"
"parking_lot_core","115944691","0.00277567","27224686","57847275","90916916","145737270","257997310"
"strsim","112894000","0.00270264","26318934","51680117","69691232","146631297","270148420"
"parking_lot","112025237","0.00268184","26764037","56851459","82443972","140628857","253437860"
"socket2","111448194","0.00266803","20667901","35280734","77197239","137454360","286640739"
"rustix","108458700","0.00259646","10348","5520264","81793332","153251784","301717772"
"lazy_static","105692614","0.00253024","30736578","53258288","79489266","134999394","229979545"
"num-traits","105318573","0.00252128","28425472","49670269","79240454","131970455","237286219"
"either","102566514","0.00245540","21140064","41210474","74669303","138549435","237263294"
"version_check","102096703","0.00244415","28757461","53771621","75487620","120830970","231635846"
"semver","101417721","0.00242790","26386940","48503661","74776019","128600721","228821267"
"idna","100705855","0.00241086","22961411","37466528","72488505","137972820","232640011"
"windows_x86_64_msvc","100277162","0.00240060","121121","17295922","58943591","144956135","280069042"
"linux-raw-sys","100178219","0.00239823","149954","5016871","73733901","139845176","282145193"
"bytes","100125516","0.00239697","29694452","45583361","68879679","120619338","235850753"
"lock_api","100007113","0.00239413","26471729","47705864","72598184","128471223","224788569"
"pin-project-lite","99391013","0.00237938","27465364","44853400","70738626","119932910","233964769"
"digest","98881358","0.00236718","23681921","55320664","77285877","119223025","218895303"
"anyhow","98318924","0.00235372","20054925","40904851","68674665","125743752","236216430"
"mio","98126443","0.00234911","24180928","42194247","64800574","113941274","245515193"
"time","96375684","0.00230720","28248194","61344267","88057610","108460759","195767594"
"miniz_oxide","96260202","0.00230443","20462250","38047682","67481514","118763677","236545891"
"block-buffer","96183870","0.00230260","22918720","54162407","74817203","115772796","213248224"
"http","96138844","0.00230153","18544235","30458172","49740353","122835864","259115600"
"scopeguard","95884574","0.00229544","25060314","44766819","74261943","125399228","209934566"
"windows_x86_64_gnu","95781460","0.00229297","93936","15390428","54220927","138640651","270561358"
"windows_aarch64_msvc","94878524","0.00227135","86535","15088348","53946377","136833271","268438090"
"windows_i686_msvc","94823149","0.00227003","97749","15314290","53698570","136931833","268073303"
"windows_i686_gnu","94525685","0.00226291","93749","15237666","53228473","136549132","267519409"
"ppv-lite86","93368580","0.00223521","23959665","43186734","65327993","111797877","222570633"
"tokio","92825897","0.00222222","24677708","38761024","64964596","111097171","224628986"
"fastrand","92536846","0.00221530","5504411","27179393","67388977","133845277","228766173"
"crossbeam-utils","91940217","0.00220101","26437682","44496099","68319765","115199531","205248008"
"windows-targets","91573573","0.00219223","0","39","44844153","138934553","274089120"
"hyper","90779533","0.00217323","20264055","31198901","50486049","114408773","237539891"
"rustls","89304142","0.00213791","9683864","22886751","50314083","122728423","240907591"
"percent-encoding","88735479","0.00212429","23193123","38247015","65680524","109302830","207253904"
