version_id,downloads
6,36
7,36
8,38
9,211
10,63
11,96
12,2
13,89
14,78
15,65
16,208
17,80
18,1
19,4
20,41
21,1
22,34
23,2
24,2
25,2
26,1
27,1
28,33
29,1
30,1
31,5
32,34
33,1
34,1
35,2
36,38
37,124
38,66
39,38
40,37
42,35
43,36
44,41
45,35
46,1
47,2
48,2
49,2
50,1
51,7
52,3
53,1
54,35
55,1
56,2
57,1
58,35
59,1
60,2
61,68
62,1
63,2
64,2
65,35
66,1
67,43
68,44
69,44
82,3
83,1
84,40
85,35
86,40
87,1
88,1
89,1
90,1
91,1
92,39
93,67
94,1
95,1
96,1
97,1
98,33
99,1
100,1
101,1
102,41
103,2
104,7
105,1
106,1
107,3
108,36
109,1
110,1
111,2
112,1
113,2
114,47
115,51
116,48
117,48
118,49
119,49
120,48
121,74
122,34
123,1
124,1
125,33
126,41
127,35
128,1
129,10
130,1
131,1
132,8
133,1
134,13
135,37
136,35
137,1
138,6
139,33
140,33
141,1
142,33
143,6
144,29
145,39
146,35
147,34
148,36
149,37
150,34
151,33
152,1
153,37
154,35
155,35
156,9
157,1
158,37
159,35
160,34
161,36
162,37
167,40
168,64
169,37
170,37
171,1
172,41
173,2
174,36
175,19
176,2
177,35
179,1
180,35
181,1
182,8
183,1
184,1
185,2
186,38
187,1
188,39
189,36
190,1
191,35
192,1
193,1
194,35
195,1
196,1
197,3
198,1
199,12
200,37
201,2
202,36
203,1
204,1
205,1
206,2
207,1
208,46
209,3
210,1
211,1
212,1
213,1
214,1
216,2
217,1
219,1
222,1
223,2
224,4
225,1
226,4
227,37
228,2
229,3
230,1
231,1
232,1
233,1
234,2
235,2
236,1
237,1
238,1
239,70
240,1
241,1
242,33
243,2
244,1
245,1
246,40
247,1
248,2
249,1
250,2
251,34
252,1
253,35
254,37
255,37
256,1
257,40
258,1
259,1508
260,2
261,32
262,36
263,18
264,35
265,49
266,39
267,36
268,36
269,2
270,36
271,36
272,36
273,33
274,1
275,1
276,2
277,1
279,41
280,35
281,33
282,2
283,5
285,2
286,18
287,19
288,9
289,1
290,14
291,1
292,2
293,1
294,4
295,1
296,1
297,1
298,30
299,9
300,44
301,3
302,1
303,35
304,1
305,3
306,1
307,1
308,35
309,35
310,35
311,36
312,1
313,60
314,35
315,37
316,38
317,1
318,36
319,2
320,1
321,39
322,36
323,37
324,37
325,40
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,33
338,2
339,1
340,1
341,1
342,1
343,1
346,11
350,2
352,1
353,2
354,1
357,2
358,95
363,2
364,19
365,1
366,1
371,1
372,2
374,1
376,1
377,1
379,1
380,1
381,63
382,1
388,1
389,24
390,1
391,1
392,1
397,1
400,2
403,42
404,34
405,2
406,1
407,218
408,1
409,1
410,1
411,1
412,1
413,1
414,35
415,39
416,39
417,1
418,2
419,51
420,35
421,36
422,1
423,35
424,35
425,1
426,2
427,1
428,1
429,1
430,33
431,3
432,47
433,35
434,1
435,2
436,1
438,36
439,1
440,79
441,1
442,37
443,3
446,36
447,1
450,2
451,4
452,1
455,37
456,1
457,1
458,1
459,36
460,2
461,33
462,49
463,60
464,31
465,34
466,3
467,34
468,34
469,1
470,2
471,2
472,2
473,40
474,1
475,11
476,1
477,45
478,1
479,1
480,1
481,1
482,1
483,2
484,1
485,1
486,2
487,1
488,1
489,1
490,1
491,35
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,2
500,5
501,2
502,2
503,2
504,2
505,2
506,33
507,33
508,49
509,33
510,1
511,2
514,37
515,1
516,35
517,2
518,35
519,35
520,2
521,35
522,59
523,35
524,2
525,1
526,1
527,64
528,68
529,56
530,63
531,1
532,1
533,1
534,1
535,7
536,37
537,1
538,37
539,9
540,263
541,62
542,41
543,31
544,2
545,2
546,1
547,1
548,35
549,1
550,1
551,1
552,2
553,1
554,1
555,1
556,1
557,36
558,1
559,1
560,2
561,1
562,35
563,35
564,35
565,43
566,38
567,2
568,1
569,1
570,1
571,31
572,1
573,1
574,35
575,4
576,2
577,1
578,10
579,31
580,2
581,63
582,42
583,38
584,42
585,35
586,40
587,45
588,38
589,37
590,1
591,35
592,35
593,37
594,37
595,2
596,6
597,2
599,2
600,1
601,1
602,4
603,1
604,9
605,1
606,1
607,2
608,1
609,8
610,38
611,34
612,38
613,34
614,34
615,33
616,33
617,1
618,1
619,1
620,35
622,1
623,2
624,1
625,1
626,15
627,37
628,37
629,1
630,38
631,39
632,36
633,33
634,36
635,1
636,1
637,1
638,35
639,1
640,1
641,1
642,1
643,1
644,10
645,1
646,1
648,1
649,44
650,45
651,3
652,2
653,1
654,1
655,1
656,6
657,2
658,4
659,1
660,1
661,8
662,1
663,1
664,2
665,2
666,2
667,31
668,1
669,2
670,35
671,35
672,2
673,1
674,35
675,39
676,37
677,36
678,33
679,31
680,247
681,88
682,56
683,205
684,35
685,34
686,34
687,224
688,36
689,37
690,37
691,37
692,31
693,36
694,2
695,2
696,37
697,38
698,2
699,34
700,108
701,44
702,2
703,33
704,35
705,34
706,62
707,1
708,208
709,1
710,1
711,1
712,2
713,9
714,15
715,33
716,1
717,1
718,1
719,1
720,2
721,35
722,34
723,42
724,33
725,1
726,38
727,39
728,33
729,33
730,33
731,33
732,6
733,33
734,1
735,2
736,2
737,1
738,35
739,2
740,2
741,1
742,235
743,24
744,35
745,1
746,11
747,1
748,6
749,2
750,2
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,2
760,35
761,1
762,2
763,38
764,39
765,2
766,2
767,33
768,33
769,1
770,39
771,38
772,1
773,1
774,1
775,1
776,2
777,221
778,9
779,39
780,1
781,1
782,1
783,2
784,35
785,33
786,33
787,1
788,2
789,4
790,1
791,1
792,3
793,1
794,37
795,37
796,33
797,1
798,1
799,2
800,35
801,35
802,35
803,1
804,1
805,1
806,1
807,41
808,34
809,33
810,38
811,34
812,36
813,33
814,41
815,2
816,1
817,3
818,2
819,37
820,37
821,37
822,2
823,35
824,2
825,37
826,1
827,1
828,37
829,41
830,35
831,1
832,1
833,1
834,1
835,1
836,1
837,10
838,1
839,1
840,47
841,2
842,1
843,39
844,1
845,8
846,1
847,39
848,1
849,2
850,1
851,1
852,1
853,1
854,2
855,2
856,2
857,67
858,37
859,1
860,31
861,39
862,38
863,39
864,38
865,38
866,2
867,38
868,61
869,1
870,35
871,1
872,1
873,1
874,37
875,35
876,32
877,35
878,1
879,2
880,36
881,2
882,2
883,2
884,36
885,1
886,49
887,13
888,1
890,2
891,36
892,1
893,1
894,1
895,1
896,1
897,38
898,34
899,33
900,1
901,40
902,1
903,4
904,1
905,1
906,35
907,1
908,32
909,31
910,41
911,35
912,1
913,2
915,1
916,32
917,33
918,1
919,40
920,38
921,33
922,1
923,9
924,1
925,36
926,33
927,1
928,1
929,2
930,1
931,1
932,1
933,2
934,2
935,1
936,1
937,1
938,1
939,2
940,1
941,24
942,64
943,7
944,2
945,1
946,37
947,37
948,37
949,35
950,36
951,1
952,2
953,59
954,2
955,1
956,1
957,1
958,1
959,1
960,2
961,4
962,1
963,3
964,1
965,2
966,2
967,1
968,1
969,45
970,1
971,1
972,1
973,36
974,1
975,1
976,2
977,37
978,1
979,1
980,1
981,36
982,6
983,35
984,1
985,35
986,1
987,37
988,1
989,33
990,1
991,38
992,1
993,1
994,2
995,1
996,1
997,1
998,1
999,1
1000,33
1001,36
1002,33
1003,1
1004,33
1005,33
1006,33
1007,1
1008,33
1009,33
1010,1
1011,1
1012,2
1013,3
1014,2
1015,93
1016,2
1017,33
1018,33
1019,1
1020,35
1021,33
1022,1
1023,1
1024,1
1025,1
1026,37
1027,2
1028,45
1029,46
1030,2
1031,46
1032,35
1033,2
1034,37
1035,32
1036,1
1037,33
1038,35
1039,33
1040,35
1041,33
1042,33
1043,33
1044,1
1045,34
1046,33
1047,32
1048,37
1049,35
1050,1
1051,1
1052,1
1053,1
1054,2
1055,1
1057,1
1058,1
1059,1
1060,1
1061,35
1062,35
1063,33
1064,35
1065,35
1066,1
1067,1
1068,5
1069,2
1070,2
1071,35
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,40
1079,35
1080,35
1081,1
1082,42
1083,33
1084,33
1085,1
1086,2
1087,1
1088,10
1089,1
1090,37
1091,1
1092,1
1093,31
1094,35
1095,37
1096,1
1097,2
1098,37
1099,2
1100,237
1101,169
1102,226
1103,52
1104,1
1105,34
1106,1
1107,1
1108,2
1109,1
1110,35
1111,3
1112,1
1113,1
1114,6
1115,33
1116,33
1117,1
1118,1
1119,1
1120,1
1121,36
1122,38
1123,1
1124,11
1125,2
1126,1
1127,1
1128,2
1129,1
1130,2
1131,1
1132,2
1133,35
1134,35
1135,34
1136,35
1137,1
1138,1
1139,35
1140,1
1141,37
1142,1
1143,31
1144,2
1145,2
1146,35
1147,1
1148,39
1149,34
1150,1
1151,2
1152,33
1153,2
1154,2
1155,35
1156,2
1157,64
1158,50
1159,33
1160,2
1161,33
1162,2
1163,33
1164,37
1165,2
1166,33
1167,38
1168,39
1169,34
1170,39
1171,36
1172,1
1173,1
1174,35
1175,33
1176,30
1177,5
1178,35
1179,30
1180,33
1181,1
1182,1
1183,1
1184,1
1185,35
1186,35
1187,2
1188,1
1189,37
1190,1
1191,2
1192,2
1193,41
1194,33
1195,36
1196,37
1197,2
1198,2
1199,1
1200,35
1201,35
1202,38
1203,39
1204,1
1205,39
1206,2
1207,38
1208,39
1209,1
1210,2
1211,1
1212,36
1213,36
1214,2
1215,1
1216,50
1217,99
1218,14
1219,85
1220,86
1221,34
1222,1
1223,54
1224,36
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,3
1234,1
1235,34
1236,1
1237,1
1238,35
1239,41
1240,1
1241,1
1242,1
1243,34
1244,33
1245,1
1246,245
1247,1
1248,1
1249,2
1250,2
1251,1
1252,1
1253,1
1254,35
1255,1
1256,40
1257,35
1258,2
1259,1
1260,36
1261,195
1262,3
1263,33
1264,34
1265,36
1266,2
1267,1
1268,2
1269,36
1270,9
1271,1
1272,105
1273,33
1274,1
1275,39
1276,38
1277,35
1278,2
1279,31
1280,2
1281,2
1282,2
1283,2
1284,2
1285,2
1286,2
1287,2
1288,2
1289,43
1290,2
1291,37
1292,35
1293,35
1294,35
1295,1
1296,35
1297,35
1298,35
1299,33
1300,33
1301,2
1302,1
1303,1
1304,1
1305,39
1306,2
1307,34
1308,1
1309,1
1310,1
1311,2
1312,35
1313,1
1314,35
1315,35
1316,1
1317,37
1318,9
1319,33
1320,31
1321,35
1322,1
1323,7
1324,1
1325,2
1326,1
1327,1
1328,1
1329,35
1330,35
1331,2
1332,2
1333,11
1334,52
1335,1
1336,33
1337,33
1338,5
1339,2
1340,31
1341,2
1342,2
1343,1
1344,37
1345,2
1346,34
1347,3
1348,35
1349,1
1350,2
1351,1
1352,35
1353,35
1354,1
1355,2
1356,1
1357,1
1358,37
1359,29
1360,35
1361,35
1362,36
1363,43
1364,33
1365,38
1366,46
1367,47
1368,35
1369,33
1370,1
1371,37
1372,2
1373,33
1374,44
1375,1
1376,39
1377,42
1378,38
1379,1
1380,34
1381,1
1382,39
1383,37
1384,37
1385,37
1386,38
1387,38
1388,38
1389,37
1390,2
1391,35
1392,42
1393,41
1394,2
1395,2
1396,38
1397,36
1398,35
1399,38
1400,38
1401,2
1402,1
1403,35
1404,2
1405,35
1406,34
1407,1
1408,1
1410,36
1411,4
1412,41
1413,1
1414,33
1415,35
1416,38
1417,38
1418,1
1419,2
1420,2
1421,31
1422,31
1423,33
1424,1
1425,39
1426,38
1427,39
1428,38
1429,2
1430,1
1431,36
1432,1
1433,2
1434,33
1435,1
1436,33
1437,33
1438,33
1439,33
1440,1
1441,16
1442,1
1443,35
1444,33
1445,1
1446,2
1447,35
1448,2
1449,2
1450,2
1451,1
1452,1
1453,1
1454,1
1455,1
1456,46
1457,1
1458,33
1459,33
1460,34
1461,1
1462,1
1463,33
1464,1
1465,2
1466,38
1467,39
1468,1
1469,31
1470,33
1471,1
1472,38
1473,35
1474,1
1475,1
1476,2
1477,37
1478,38
1479,2
1480,31
1481,2
1482,6
1483,39
1484,38
1485,38
1486,2
1487,2
1488,2
1489,1
1490,38
1491,2
1492,1
1493,35
1494,34
1495,1
1496,1
1497,1
1498,6
1499,1
1500,35
1501,1
1502,1
1503,35
1504,35
1505,37
1506,2
1507,1
1508,36
1509,35
1510,30
1511,2
1512,29
1513,2
1514,1
1515,2
1516,1
1517,1
1518,36
1519,36
1520,31
1521,33
1522,1
1523,33
1524,1
1525,1
1526,1
1527,37
1528,37
1529,1
1530,2
1531,1
1532,1
1533,35
1534,35
1535,1
1536,35
1537,34
1538,37
1539,1
1540,1
1541,1
1542,2
1543,2
1544,2
1545,4
1546,36
1547,2
1548,2
1549,2
1550,1
1551,2
1552,35
1553,1
1554,1
1555,3
1556,2
1557,1
1558,1
1559,1
1560,36
1561,31
1562,33
1563,43
1564,30
1565,33
1566,33
1567,36
1568,1
1569,33
1570,1
1571,1
1572,1
1573,1
1574,39
1575,1
1576,35
1577,38
1578,39
