"package","dependency","type"
"kparts","gcc-14","declared"
"kparts","glibc","declared"
"kparts","kconfig","declared"
"kparts","kcoreaddons","declared"
"kparts","ki18n","declared"
"kparts","kiconthemes","declared"
"kparts","kio","declared"
"kparts","kjobwidgets","declared"
"kparts","kservice","declared"
"kparts","ktextwidgets","declared"
"kparts","kwidgetsaddons","declared"
"kparts","kxmlgui","declared"
"kparts","qtbase-opensource-src","declared"
"libice","glibc","declared"
"libice","x11-common","declared"
"libice","x11proto-dev","declared"
"aalib","glibc","declared"
"aalib","gpm","declared"
"aalib","libncurses5-dev","declared"
"aalib","libx11","declared"
"aalib","ncurses","declared"
"aalib","slang2","declared"
"cfitsio","bzip2","declared"
"cfitsio","cfortran","declared"
"cfitsio","curl","declared"
"cfitsio","glibc","declared"
"cfitsio","libcfitsio-bin","declared"
"cfitsio","zlib","declared"
"libgnomecanvas","at-spi2-core","declared"
"libgnomecanvas","gdk-pixbuf","declared"
"libgnomecanvas","glib2.0","declared"
"libgnomecanvas","glibc","declared"
"libgnomecanvas","gtk+2.0","declared"
"libgnomecanvas","libart-lgpl","declared"
"libgnomecanvas","pango1.0","declared"
"libkate","glibc","declared"
"libwpd","gcc-14","declared"
"libwpd","glibc","declared"
"libwpd","librevenge","declared"
"karchive","bzip2","declared"
"karchive","gcc-14","declared"
"karchive","glibc","declared"
"karchive","libzstd","declared"
"karchive","qtbase-opensource-src","declared"
"karchive","xz-utils","declared"
"karchive","zlib","declared"
"distro-info","distro-info-data","declared"
"distro-info","glibc","declared"
"distro-info","perl","declared"
"distro-info","python3-defaults","declared"
"librda","gir1.2-rda-1.0","declared"
"librda","glib2.0","declared"
"librda","glibc","declared"
"avahi","adduser","declared"
"avahi","dbus","declared"
"avahi","default-dbus-system-bus","declared"
"avahi","expat","declared"
"avahi","gdbm","declared"
"avahi","gir1.2-avahi-0.6","declared"
"avahi","gir1.2-gobject-2.0-dev","declared"
"avahi","glib2.0","declared"
"avahi","glibc","declared"
"avahi","gtk+3.0","declared"
"avahi","libcap2","declared"
"avahi","libdaemon","declared"
"avahi","systemd","declared"
"opusfile","glibc","declared"
"opusfile","libogg","declared"
"opusfile","openssl","declared"
"opusfile","opus","declared"
"kglobalacceld","gcc-14","declared"
"kglobalacceld","glibc","declared"
"kglobalacceld","kf6-kconfig","declared"
"kglobalacceld","kf6-kcoreaddons","declared"
"kglobalacceld","kf6-kglobalaccel","declared"
"kglobalacceld","kf6-kio","declared"
"kglobalacceld","kf6-kjobwidgets","declared"
"kglobalacceld","kf6-kservice","declared"
"kglobalacceld","kf6-kwindowsystem","declared"
"kglobalacceld","libx11","declared"
"kglobalacceld","libxcb","declared"
"kglobalacceld","qt6-base","declared"
"kglobalacceld","qt6-base-private-abi","declared"
"kglobalacceld","xcb-util-keysyms","declared"
"serf","apr","declared"
"serf","apr-util","declared"
"serf","glibc","declared"
"serf","krb5","declared"
"serf","openssl","declared"
"serf","zlib","declared"
"libthai","glibc","declared"
"libthai","libdatrie","declared"
"libthai","pkgconf","declared"
"gssdp","gir1.2-gio-2.0-dev","declared"
"gssdp","gir1.2-gobject-2.0-dev","declared"
"gssdp","gir1.2-gssdp-1.6","declared"
"gssdp","gir1.2-soup-3.0-dev","declared"
"gssdp","glib2.0","declared"
"gssdp","glibc","declared"
"gssdp","libsoup3","declared"
"kf6-kio","acl","declared"
"kf6-kio","gcc-14","declared"
"kf6-kio","glibc","declared"
"kf6-kio","kf6-karchive","declared"
"kf6-kio","kf6-kauth","declared"
"kf6-kio","kf6-kbookmarks","declared"
"kf6-kio","kf6-kcolorscheme","declared"
"kf6-kio","kf6-kcompletion","declared"
"kf6-kio","kf6-kconfig","declared"
"kf6-kio","kf6-kcoreaddons","declared"
"kf6-kio","kf6-kcrash","declared"
"kf6-kio","kf6-kdbusaddons","declared"
"kf6-kio","kf6-kded","declared"
"kf6-kio","kf6-kdoctools","declared"
"kf6-kio","kf6-kguiaddons","declared"
"kf6-kio","kf6-ki18n","declared"
"kf6-kio","kf6-kiconthemes","declared"
"kf6-kio","kf6-kitemviews","declared"
"kf6-kio","kf6-kjobwidgets","declared"
"kf6-kio","kf6-kservice","declared"
"kf6-kio","kf6-kwallet","declared"
"kf6-kio","kf6-kwidgetsaddons","declared"
"kf6-kio","kf6-kwindowsystem","declared"
"kf6-kio","kf6-solid","declared"
"kf6-kio","libxml2","declared"
"kf6-kio","libxslt","declared"
"kf6-kio","qt6-base","declared"
"kf6-kio","qt6-base-private-abi","declared"
"kf6-kio","util-linux","declared"
"libxcomposite","glibc","declared"
"libxcomposite","libx11","declared"
"libxcomposite","libxext","declared"
"libxcomposite","libxfixes","declared"
"libxcomposite","x11proto-dev","declared"
"libkdcraw","gcc-14","declared"
"libkdcraw","glibc","declared"
"libkdcraw","libraw","declared"
"libkdcraw","qt6-base","declared"
"libkdcraw","qtbase-opensource-src","declared"
"libgcrypt20","glibc","declared"
"libgcrypt20","libgpg-error","declared"
"spandsp","glibc","declared"
"spandsp","libjpeg-turbo","declared"
"spandsp","tiff","declared"
"gvfs","avahi","declared"
"gvfs","dconf","declared"
"gvfs","desktop-file-utils","declared"
"gvfs","fuse3","declared"
"gvfs","gcr4","declared"
"gvfs","glib2.0","declared"
"gvfs","glibc","declared"
"gvfs","gnome-online-accounts","declared"
"gvfs","gsettings-desktop-schemas","declared"
"gvfs","libarchive","declared"
"gvfs","libbluray","declared"
"gvfs","libcdio","declared"
"gvfs","libcdio-paranoia","declared"
"gvfs","libgcrypt20","declared"
"gvfs","libgdata","declared"
"gvfs","libgphoto2","declared"
"gvfs","libgudev","declared"
"gvfs","libimobiledevice","declared"
"gvfs","libmtp","declared"
"gvfs","libnfs","declared"
"gvfs","libplist","declared"
"gvfs","libsecret","declared"
"gvfs","libsoup3","declared"
"gvfs","libusb-1.0","declared"
"gvfs","libxml2","declared"
"gvfs","lsof","declared"
"gvfs","msgraph","declared"
"gvfs","policykit-1","declared"
"gvfs","psmisc","declared"
"gvfs","samba","declared"
"gvfs","systemd","declared"
"gvfs","udisks2","declared"
"bind9","adduser","declared"
"bind9","debconf","declared"
"bind9","dns-root-data","declared"
"bind9","fstrm","declared"
"bind9","glibc","declared"
"bind9","init-system-helpers","declared"
"bind9","iproute2","declared"
"bind9","jemalloc","declared"
"bind9","json-c","declared"
"bind9","krb5","declared"
"bind9","libcap2","declared"
"bind9","libedit","declared"
"bind9","libidn2","declared"
"bind9","libmaxminddb","declared"
"bind9","liburcu","declared"
"bind9","libuv1","declared"
"bind9","libxml2","declared"
"bind9","lmdb","declared"
"bind9","netbase","declared"
"bind9","nghttp2","declared"
"bind9","openssl","declared"
"bind9","protobuf-c","declared"
"bind9","zlib","declared"
"ceph","boost1.83","declared"
"ceph","cryptsetup","declared"
"ceph","curl","declared"
"ceph","expat","declared"
"ceph","fmtlib","declared"
"ceph","gcc-14","declared"
"ceph","glibc","declared"
"ceph","icu","declared"
"ceph","librabbitmq","declared"
"ceph","lua5.3","declared"
"ceph","openldap","declared"
"ceph","openssl","declared"
"ceph","rdma-core","declared"
"ceph","sqlite3","declared"
"ceph","systemd","declared"
"ceph","util-linux","declared"
"libgedit-tepl","cairo","declared"
"libgedit-tepl","gir1.2-amtk-5-dev","declared"
"libgedit-tepl","gir1.2-gtk-3.0-dev","declared"
"libgedit-tepl","gir1.2-gtksource-300-dev","declared"
"libgedit-tepl","gir1.2-tepl-6","declared"
"libgedit-tepl","glib2.0","declared"
"libgedit-tepl","glibc","declared"
"libgedit-tepl","gsettings-desktop-schemas-dev","declared"
"libgedit-tepl","gtk+3.0","declared"
"libgedit-tepl","icu","declared"
"libgedit-tepl","libgedit-amtk","declared"
"libgedit-tepl","libgedit-gfls","declared"
