"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"7zip","","","","","","",""
"a52dec","","","","","","",""
"aalib","","","","","","",""
"abseil","","","","","","",""
"accounts-qml-module","","https://gitlab.com/accounts-sso/accounts-qml-module.git","","","","",""
"accountsservice","","","","","","",""
"acl","","","","","","",""
"acpi-support","","","","","","",""
"acpid","","","","","","",""
"adduser","","","","","","",""
"adwaita-icon-theme","","","","","","",""
"aglfn","","","","","","",""
"aha","https://github.com/theziz/aha.git","","","","","",""
"aisleriot","","","","","","",""
"akonadi","","","","","","https://invent.kde.org/pim/akonadi",""
"akonadi-backend-sqlite","","","","","","",""
"akonadi-calendar","","","","","","https://invent.kde.org/pim/akonadi-calendar",""
"akonadi-contacts","","","","","","https://invent.kde.org/pim/akonadi-contacts",""
"akonadi-contacts-data","","","","","","",""
"akonadi-mime","","","","","","https://invent.kde.org/pim/akonadi-mime",""
"akonadi-mime-data","","","","","","",""
"akonadi-search","","","","","","https://invent.kde.org/pim/akonadi-search",""
"akregator","","","","","","",""
"alsa-lib","","","","","","",""
"alsa-plugins","","","","","","",""
"alsa-topology-conf","","","","","","",""
"alsa-ucm-conf","","","","","","",""
"alsa-utils","","","","","","",""
"anacron","","","","","","",""
"android-platform-tools","","","","","","",""
"ann","","","","","","",""
"aom","","","","","","",""
"apache2","","","","","","",""
"apache2-api-20120211","","","","","","",""
"apparmor","","","","","","",""
"appstream","","","","","","",""
"appstream-glib","https://github.com/hughsie/appstream-glib.git","","","","","",""
"apr","","","","","","",""
"apr-util","","","","","","",""
"apt","","","","","","",""
"aptitude","","","","","","",""
"argon2","https://github.com/p-h-c/phc-winner-argon2.git","","","","","",""
"aribb24","https://github.com/nkoriyama/aribb24.git","","","","","",""
"ark","","","","","","",""
"armadillo","","","","","","",""
"arpack","https://github.com/opencollab/arpack-ng.git","","","","","",""
"aspell","","","","","","",""
"assimp","","","","","","",""
"at","","","","","","",""
"at-spi2-common","","","","","","",""
"at-spi2-core","","","","","","",""
"atkmm1.6","","","","","","",""
"atril","","","","","","",""
"attica-kf5","","","","","","https://invent.kde.org/frameworks/attica",""
"attr","","","","","","",""
"audacious","","","","","","",""
"audacious-plugins","","","","","","",""
"audit","","","","","","",""
"augeas","","","","","","",""
"augeas-lenses","","","","","","",""
"autogen","","","","","","",""
"automake-1.17","","","","","","",""
"avahi","","","","","","",""
"ayatana-ido","https://github.com/ayatanaindicators/ayatana-ido.git","","","","","",""
"babeltrace","","","","","","",""
"babl","","","","","","",""
"baloo-kf5","","","","","","https://invent.kde.org/frameworks/baloo",""
"baloo-widgets","","","","","","https://invent.kde.org/frameworks/baloo",""
"baloo6","","","","","","",""
"base-files","","","","","","",""
"base-passwd","","","","","","",""
"bash","","","","","","",""
"bc","","","","","","",""
"bcg729","https://github.com/belledonnecommunications/bcg729.git","","","","","",""
"bind9","","","","","","",""
"bind9utils","","","","","","",""
"binutils","","","","","","",""
"bison","","","","","","",""
"blt","","","","","","",""
"bluedevil","","","","","","https://invent.kde.org/plasma/bluedevil",""
"bluez","","","","","","",""
"bluez-qt","","","","","","https://invent.kde.org/frameworks/bluez-qt",""
"bogofilter","","","","","","",""
"boost-defaults","","","","","","",""
"boost1.83","","","","","","",""
"botan","","","","","","",""
"box2d","","","","","","",""
"brasero","","","","","","",""
"brasero-common","","","","","","",""
"breeze","","","","","","",""
"brltty","","","","","","",""
"brotli","https://github.com/google/brotli.git","","","","","",""
"bsd-mailx","","","","","","",""
"bsdmainutils","","","","","","",""
"btrfs-progs","","","","","","",""
"bubblewrap","","","","","","",""
"bup","https://github.com/bup/bup.git","","","","","",""
"busybox","","","","","","",""
"bzip2","","","","","","https://sourceware.org/bzip2/",""
"c-ares","","","","","","",""
"c-blosc","","","","","","",""
"ca-certificates","","","","","","",""
"cairo","","","","","","",""
"cairomm","","","","","","",""
"cairomm1.16","","","","","","",""
"caja","","","","","","",""
"calendarsupport","","","","","","https://invent.kde.org/pim/calendarsupport",""
"caribou","","","","","","",""
"ccid","","","","","","",""
"cdebconf","","","","","","",""
"cdparanoia","","","","","","",""
"cdrdao","","","","","","",""
"cdrkit","","","","","","",""
"ceph","","","","","","",""
"cfitsio","","","","","","",""
"cfortran","","","","","","",""
"chafa","","","","","","",""
"charls","https://github.com/team-charls/charls.git","","","","","",""
"cheese","","","","","","",""
"cheese-common","","","","","","",""
"chmlib","https://github.com/jedwing/chmlib.git","","","","","",""
"chromaprint","","","","","","",""
"chromium","","","","","","",""
"cifs-utils","","","","","","",""
"cinnamon-control-center","","","","","","",""
"cinnamon-desktop","","","","","","",""
"cinnamon-desktop-data","","","","","","",""
"cinnamon-menus","","","","","","",""
"cjs","https://github.com/linuxmint/cjs.git","","","","","",""
"cjson","https://github.com/davegamble/cjson.git","","","","","",""
"cl-cffi","","","","","","",""
"clamav","","","","","","",""
"clang-17","","","","","","",""
"clang-19","","","","","","",""
"cln","","","","","","",""
"clp","","","","","","",""
"clucene-core","","","","","","",""
"clutter-1.0","","","","","","",""
"clutter-gst-3.0","","","","","","",""
"clutter-gtk","","","","","","",""
"cmake","","","","","","",""
"cmark","https://github.com/commonmark/cmark.git","","","","","",""
"codec2","","","","","","",""
"cogl","","","","","","",""
"coinmp","","","","","","",""
"coinor-cbc","https://github.com/coin-or/cbc.git","","","","","",""
"coinor-cgl","","","","","","",""
"coinor-libcbc3.1","","","","","","",""
"coinor-libcgl1","","","","","","",""
"coinor-libclp1","","","","","","",""
"coinor-libcoinutils3v5","","","","","","",""
"coinor-libosi1v5","","","","","","",""
"coinor-osi","https://github.com/coin-or/osi.git","","","","","",""
"coinutils","https://github.com/coin-or/coinutils.git","","","","","",""
"colord","","","","","","",""
"colord-gtk","","","","","","",""
"console-setup","","","","","","",""
"coreutils","","","","","","",""
"cpio","","","","","","",""
"cpp-14","","","","","","",""
"cpp-x86-64-linux-gnu","","","","","","",""
"cpufrequtils","","","","","","",""
"cpuinfo","https://github.com/pytorch/cpuinfo.git","","","","","",""
