"package","tag","via"
"389-ds-base-dev","implemented-in::c","section:libdevel"
"389-ds-base-libs","implemented-in::c","section:libs"
"3dchess","implemented-in::c","direct"
"4g8","implemented-in::c","direct"
"9base","implemented-in::c","direct"
"9menu","implemented-in::c","direct"
"9mount","implemented-in::c","direct"
"a2boot","implemented-in::c","source:netatalk"
"a2jmidid","implemented-in::c","direct"
"a56","implemented-in::c","direct"
"aajm","implemented-in::c++","direct"
"aaphoto","implemented-in::c","direct"
"abby","implemented-in::c++","direct"
"abe","implemented-in::c","direct"
"abe-data","implemented-in::c","source:abe"
"abiword","implemented-in::c++","direct"
"abiword-common","implemented-in::c++","source:abiword"
"abiword-plugin-grammar","implemented-in::c++","direct"
"abiword-plugin-mathview","implemented-in::c++","direct"
"abook","implemented-in::c","direct"
"abootimg","implemented-in::c","direct"
"abr2gbr","implemented-in::c","direct"
"abraca","implemented-in::c","direct"
"abuse","implemented-in::c","direct"
"accountsservice","implemented-in::c","direct"
"acetoneiso","implemented-in::c++","direct"
"acl","implemented-in::c","direct"
"acl-udeb","implemented-in::c","source:acl"
"acovea","implemented-in::c++","direct"
"acpi-fakekey","implemented-in::c","direct"
"acpi-support","implemented-in::c","direct"
"acpi-support-base","implemented-in::c","source:acpi-support"
"acpid","implemented-in::c","direct"
"acpitail","implemented-in::c","direct"
"adanaxisgpl","implemented-in::c++","direct"
"adept","implemented-in::c++","direct"
"adios2-data","implemented-in::c","section:libs"
"adios2-mpi-bin","implemented-in::c","section:libs"
"adios2-scripts","implemented-in::c","section:libs"
"adios2-serial-bin","implemented-in::c","section:libs"
"advancecomp","implemented-in::c","direct"
"aegis","implemented-in::c++","direct"
"aegis-web","implemented-in::c++","direct"
"aeolus","implemented-in::c++","direct"
"aes2501-wy","implemented-in::c","direct"
"aesfix","implemented-in::c++","direct"
"aeskeyfind","implemented-in::c","direct"
"aeskulap","implemented-in::c++","direct"
"aewan","implemented-in::c","direct"
"aewm++","implemented-in::c++","direct"
"aewm++-goodies","implemented-in::c++","direct"
"afnix","implemented-in::c++","direct"
"afnix-doc","implemented-in::c++","source:afnix"
"afterstep","implemented-in::c","direct"
"afterstep-data","implemented-in::c","source:afterstep"
