"package","dep_name","dep_version","fetched_at"
"389-ds-base-dev","389-ds-base-libs","= 3.1.2+dfsg1-1+deb13u1","2026-07-06 10:51:12.504387"
"389-ds-base-dev","libldap-dev","","2026-07-06 10:51:12.504387"
"389-ds-base-dev","libnspr4-dev","","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libc6",">= 2.39","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libcom-err2",">= 1.43.9","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libcrack2",">= 2.8.12","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libgcc-s1",">= 4.2","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libjemalloc2","","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libjson-c5",">= 0.15","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libkrb5-3",">= 1.6.dfsg.2","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libldap2",">= 2.6.2","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libnspr4",">= 2:4.10.9","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libnss3",">= 2:3.66","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libpcre2-8-0",">= 10.22","2026-07-06 10:51:12.504387"
"389-ds-base-libs","libssl3t64",">= 3.3.0","2026-07-06 10:51:12.504387"
"389-ds-base-libs","zlib1g",">= 1:1.1.4","2026-07-06 10:51:12.504387"
"3dchess","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"3dchess","libx11-6","","2026-07-06 10:51:12.504387"
"3dchess","libxpm4","","2026-07-06 10:51:12.504387"
"3dchess","libxt6t64","","2026-07-06 10:51:12.504387"
"3dchess","xaw3dg",">= 1.5+E-1","2026-07-06 10:51:12.504387"
"4g8","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"4g8","libnet1",">= 1.1.2.1","2026-07-06 10:51:12.504387"
"4g8","libpcap0.8t64",">= 0.9.8","2026-07-06 10:51:12.504387"
"9base","debianutils",">= 5.3-1~","2026-07-06 10:51:12.504387"
"9base","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"9menu","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"9menu","libx11-6","","2026-07-06 10:51:12.504387"
"9mount","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"a2boot","atalkd","","2026-07-06 10:51:12.504387"
"a2boot","init-system-helpers",">= 1.54~","2026-07-06 10:51:12.504387"
"a2boot","libatalk",">= 4.2.3~ds","2026-07-06 10:51:12.504387"
"a2boot","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"a2boot","netatalk","","2026-07-06 10:51:12.504387"
"a2boot","netbase","","2026-07-06 10:51:12.504387"
"a2jmidid","libasound2t64",">= 1.0.16","2026-07-06 10:51:12.504387"
"a2jmidid","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"a2jmidid","libdbus-1-3",">= 1.9.14","2026-07-06 10:51:12.504387"
"a2jmidid","libjack-jackd2-0",">= 1.9.10+20150825","2026-07-06 10:51:12.504387"
"a2jmidid","python3","","2026-07-06 10:51:12.504387"
"a2jmidid","python3-dbus","","2026-07-06 10:51:12.504387"
"a56","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"aaphoto","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"aaphoto","libgomp1",">= 4.9","2026-07-06 10:51:12.504387"
"aaphoto","libjpeg62-turbo",">= 1.3.1","2026-07-06 10:51:12.504387"
"aaphoto","libpng16-16t64",">= 1.6.2","2026-07-06 10:51:12.504387"
"abe","abe-data","= 1.1+dfsg-5","2026-07-06 10:51:12.504387"
"abe","libc6",">= 2.34","2026-07-06 10:51:12.504387"
"abe","libsdl-mixer1.2",">= 1.2.12","2026-07-06 10:51:12.504387"
"abe","libsdl1.2debian",">= 1.2.15","2026-07-06 10:51:12.504387"
"abe-data","__none__","","2026-07-06 10:51:12.504387"
"abiword","abiword-common",">= 3.0.6~dfsg-1","2026-07-06 10:51:12.504387"
"abiword","fonts-urw-base35",">= 20200910-2~","2026-07-06 10:51:12.504387"
"abiword","libabiword-3.0",">= 3.0.6~dfsg","2026-07-06 10:51:12.504387"
"abiword","libc6",">= 2.38","2026-07-06 10:51:12.504387"
"abiword","libgcc-s1",">= 3.0","2026-07-06 10:51:12.504387"
"abiword","libgcrypt20",">= 1.11.0","2026-07-06 10:51:12.504387"
"abiword","libglib2.0-0t64",">= 2.12.0","2026-07-06 10:51:12.504387"
"abiword","libgoffice-0.10-10t64",">= 0.10.2","2026-07-06 10:51:12.504387"
"abiword","libgsf-1-114",">= 1.14.9","2026-07-06 10:51:12.504387"
"abiword","libjpeg62-turbo",">= 1.3.1","2026-07-06 10:51:12.504387"
"abiword","libots0",">= 0.5.0","2026-07-06 10:51:12.504387"
"abiword","libpng16-16t64",">= 1.6.2","2026-07-06 10:51:12.504387"
