"package","source","homepage","vcs_browser","section"
"389-ds-base-dev","389-ds-base","https://directory.fedoraproject.org","","libdevel"
"389-ds-base-libs","389-ds-base","https://directory.fedoraproject.org","","libs"
"3dchess","3dchess","https://www.ibiblio.org/pub/Linux/games/strategy/","","games"
"4g8","4g8","","","net"
"9base","9base","https://tools.suckless.org/9base/","","utils"
"9menu","9menu","https://github.com/arnoldrobbins/9menu","","x11"
"9mount","9mount","http://sqweek.net/code/9mount/","","admin"
"a2boot","netatalk","https://github.com/Netatalk/netatalk","","net"
"a2jmidid","a2jmidid","https://github.com/linuxaudio/a2jmidid/","","sound"
"a56","a56","http://www.zdomain.com/a56.html","","devel"
"aaphoto","aaphoto","http://log69.com/aaphoto_en.html","","graphics"
"abe","abe","https://abe.sourceforge.net/","","games"
"abe-data","abe","https://abe.sourceforge.net/","","games"
"abiword","abiword","https://gitlab.gnome.org/World/AbiWord","","editors"
"abiword-common","abiword","https://gitlab.gnome.org/World/AbiWord","","editors"
"abiword-plugin-grammar","abiword","https://gitlab.gnome.org/World/AbiWord","","editors"
"abook","abook","http://abook.sourceforge.net/","","mail"
"abootimg","abootimg","https://github.com/ggrandou/abootimg","","admin"
"abr2gbr","abr2gbr","https://www.sunnyspot.org/gimp/tools.html","","graphics"
"accountsservice","accountsservice","https://www.freedesktop.org/wiki/Software/AccountsService/","","admin"
"acetoneiso","acetoneiso","https://sourceforge.net/projects/acetoneiso/","","otherosfs"
"acl","acl","https://savannah.nongnu.org/projects/acl/","","utils"
"acpi-fakekey","acpi-support","","","admin"
"acpi-support","acpi-support","","","admin"
"acpi-support-base","acpi-support","","","admin"
"acpid","acpid","http://sourceforge.net/projects/acpid2/","","admin"
"adios2-data","adios2","https://github.com/ornladios/ADIOS2","","libs"
"adios2-mpi-bin","adios2","https://github.com/ornladios/ADIOS2","","libs"
"adios2-scripts","adios2","https://github.com/ornladios/ADIOS2","","libs"
"adios2-serial-bin","adios2","https://github.com/ornladios/ADIOS2","","libs"
"advancecomp","advancecomp","http://www.advancemame.it/","","utils"
"aeolus","aeolus","https://kokkinizita.linuxaudio.org/linuxaudio/aeolus/","","sound"
