"package","github_repo","git","eco_guess","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class"
"glibc","","","","230082","207317","204684","222275","243383","272755","True","True","False","0.23200502","A"
"gcc-14","","","","230118","207353","204724","222306","243426","272783","True","True","False","0.05378431","A"
"libxcrypt","","","","151303","59827","113595","146204","198363","238530","True","True","False","0.03526155","A"
"debconf","","","","0","0","0","0","0","0","False","False","False","0.03488480","A"
"linux","","","","133723","124909","120607","125937","138859","158307","True","True","False","0.03348195","A"
"rpcsvc-proto","thkukuk/rpcsvc-proto","https://github.com/thkukuk/rpcsvc-proto.git","","49971","7117","10159","25546","87014","120021","True","True","False","0.03297376","A"
"libc-l10n","","","","0","0","0","0","0","0","False","False","False","0.03285236","A"
"zlib","","","","230123","207365","204733","222308","243427","272783","True","True","False","0.01492175","A"
"gmp","","","","226842","202280","200968","219000","241096","270867","True","True","False","0.01325848","A"
"systemd","","","","229282","206655","204089","221495","242494","271679","True","True","False","0.01118179","A"
"tcp-wrappers","","","","229025","206459","203935","221282","242302","271148","True","True","False","0.00788256","B"
"libzstd","facebook/zstd","https://github.com/facebook/zstd.git","","195196","147079","163769","187984","221739","255412","True","True","True","0.00779497","B"
"lib32c-dev","","","","0","0","0","0","0","0","False","False","False","0.00762691","B"
"usb.ids","","","","0","0","0","0","0","0","False","False","False","0.00721465","B"
"mpfr4","","","","156814","122602","131831","151884","175523","202231","True","True","False","0.00706411","B"
"glib2.0","","https://gitlab.gnome.org/gnome/glib.git","","216841","196226","194632","212519","225898","254932","True","True","False","0.00646485","B"
"libx11","","","","227797","205251","202569","219851","241095","270220","True","True","False","0.00607686","B"
"x11proto-dev","","","","0","0","0","0","0","0","False","False","False","0.00572297","B"
"binutils","","","","147480","136742","133066","138901","154193","174500","True","True","False","0.00552336","B"
"mpclib3","","","","164699","148974","144043","159328","173854","197296","True","True","False","0.00547993","B"
"isl","","","","114600","50953","86587","111599","146730","177134","True","True","False","0.00535519","B"
"libgc","","","","85435","40556","67686","87285","112247","119402","True","True","False","0.00529706","B"
"libselinux","","","","230109","207341","204717","222296","243412","272780","True","True","False","0.00435258","B"
"openssl","","","","229107","206156","203808","221354","242535","271685","True","True","False","0.00385046","B"
"libc-dev","","","","0","0","0","0","0","0","False","False","False","0.00342671","B"
"pkgconf","","","","22205","351","5246","12797","40713","51919","True","True","False","0.00342315","B"
"util-linux","util-linux/util-linux","https://github.com/util-linux/util-linux.git","","230126","207363","204738","222314","243426","272793","True","True","True","0.00304322","B"
"ncurses","","","","230113","207353","204727","222304","243416","272766","True","True","False","0.00303177","B"
"pam","","","","230129","207366","204739","222318","243431","272794","True","True","False","0.00286023","B"
"python3-defaults","","","","217534","188720","190596","209783","234087","264488","True","True","False","0.00282557","B"
"pcre2","PCRE2Project/pcre2","https://github.com/pcre2project/pcre2.git","","200436","157508","170042","192826","224378","257427","True","True","True","0.00256894","B"
"libxcb","","","","227837","205255","202539","220030","241117","270246","True","True","False","0.00256589","B"
"libxext","","","","227097","204686","201743","219192","240354","269510","True","True","False","0.00251323","B"
"libxml2","","","","228070","205936","203209","220887","242164","268158","True","True","False","0.00230598","B"
"audit","","","","222766","195799","196247","214995","238286","268503","True","True","False","0.00227001","B"
"libxau","","","","227983","205480","202699","220180","241226","270334","True","True","False","0.00221665","B"
"acl","","","","230130","207367","204740","222318","243432","272797","True","True","False","0.00215474","B"
"bzip2","","https://sourceware.org/bzip2/","","230128","207365","204735","222315","243431","272794","True","True","False","0.00214463","B"
"libxdmcp","","","","227996","205511","202706","220194","241230","270341","True","True","False","0.00204134","B"
"qtbase-opensource-src","","","","79428","75571","70719","77568","80265","93017","True","True","False","0.00193460","B"
"xz-utils","","","","227645","203515","201890","219824","241664","271334","True","True","False","0.00187667","B"
"libpng1.6","","","","192792","178579","183920","204371","220494","176596","True","True","False","0.00187626","B"
"libcap2","","","","229822","206873","204397","222019","243217","272608","True","True","False","0.00186507","B"
"libcap-ng","","","","225066","199626","198886","217185","239833","269801","True","True","False","0.00180962","B"
"perl","","","","230126","207363","204737","222318","243427","272789","True","True","False","0.00179232","B"
"dbus","","","","227606","203628","201815","219772","241551","271265","True","True","False","0.00167103","B"
"expat","","","","229837","207138","204380","222062","243146","272459","True","True","False","0.00166947","B"
"cairo","","","","168977","159384","150028","163650","175481","196342","True","True","False","0.00161736","B"
"attr","","","","230118","207360","204726","222305","243417","272784","True","True","False","0.00159472","B"
"init-system-helpers","","","","0","0","0","0","0","0","False","False","False","0.00159355","B"
"libgpg-error","","","","228979","207358","204731","222312","243427","267071","True","True","False","0.00157957","B"
"python3.13","","","","35815","0","0","0","561","71069","True","True","False","0.00156384","B"
"libsepol","","","","81951","21","10674","45612","150575","202874","True","True","False","0.00153798","B"
