repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
10der/homeassistant-custom_components-awtrix,gh/748539167,,,MIT,10,,,2026-05-03T19:09:22+00:00
7rulnik/source-map-js,gh/330043541,3.8,2026-04-20,non-standard,15,,,2026-05-03T19:09:24+00:00
acornjs/acorn,gh/5932749,5,2026-04-20,,16,,,2026-05-03T19:09:26+00:00
acornjs/acorn-jsx,gh/22187098,2.6,2026-04-20,MIT,18,,,2026-05-03T19:09:25+00:00
adobe/react-spectrum,gh/208362715,6.7,2026-04-20,Apache-2.0,582,,,2026-05-03T19:09:31+00:00
agronholm/anyio,gh/145337588,5.3,2026-04-20,MIT,84,,,2026-05-03T19:09:23+00:00
agronholm/exceptiongroup,gh/447694800,4,2026-04-20,non-standard,6,,,2026-05-03T19:09:24+00:00
ai/nanoid,gh/99401299,6.7,2026-04-20,MIT,2,,,2026-05-03T19:09:26+00:00
aio-libs-abandoned/async-timeout,gh/67703198,,,,,,,2026-07-05T23:23:02+00:00
aio-libs/aiobotocore,gh/36618494,7.7,2026-04-20,Apache-2.0,25,,,2026-05-03T19:09:22+00:00
aio-libs/aiohttp,gh/13258039,7.1,2026-05-04,non-standard,260,,,2026-05-17T23:42:53+00:00
aio-libs/aiosignal,gh/205007356,6.7,2026-04-20,Apache-2.0,3,,,2026-05-03T19:09:26+00:00
aio-libs/async-timeout,gh/67703198,4.5,2026-04-20,non-standard,11,,,2026-05-03T19:09:24+00:00
aio-libs/frozenlist,gh/204197530,5.6,2026-04-20,Apache-2.0,25,,,2026-05-03T19:09:23+00:00
aio-libs/multidict,gh/51206425,7.1,2026-05-04,non-standard,29,,,2026-05-17T23:42:53+00:00
aio-libs/propcache,gh/866565706,,,Apache-2.0,11,,,2026-05-03T19:09:24+00:00
aio-libs/yarl,gh/64756820,6.7,2026-04-20,Apache-2.0,70,,,2026-05-03T19:09:25+00:00
ajv-validator/ajv,gh/35914020,5.3,2026-04-20,MIT,327,in_progress,99,2026-05-03T19:09:22+00:00
ajv-validator/ajv-formats,gh/281084700,3.5,2026-04-20,MIT,52,,,2026-05-03T19:09:25+00:00
ajv-validator/ajv-keywords,gh/60477053,3.2,2026-05-04,MIT,47,,,2026-05-17T23:42:51+00:00
alexcrichton/tar-rs,gh/21946092,7.1,2026-04-20,Apache-2.0,129,,,2026-05-03T19:09:23+00:00
alexei/sprintf.js,gh/9175790,2.5,2026-04-20,BSD-3-Clause,63,,,2026-05-03T19:09:23+00:00
alexeyraspopov/picocolors,gh/410740124,3.2,2026-04-20,non-standard,14,,,2026-05-03T19:09:25+00:00
alexhuszagh/rust-lexical,gh/155286170,4.8,2026-04-20,non-standard,14,,,2026-05-03T19:09:26+00:00
alexindigo/asynckit,gh/59087459,2,2026-04-20,MIT,1,,,2026-05-03T19:09:27+00:00
amanieu/parking_lot,gh/58731560,4.1,2026-04-20,Apache-2.0,77,,,2026-05-03T19:09:27+00:00
