ecosystem,package,verdict,our_host,our_repo,eco_host,eco_repo,in_value_csv
cpp,apache,both_empty,,,,,False
cpp,apache-arrow,both_empty,,,,,False
cpp,apache-serf,both_empty,,,,,False
cpp,apache-thrift,both_empty,,,,,False
cpp,apmod:dnssd,both_empty,,,,,False
cpp,apt,both_empty,,,,,False
cpp,atkmm,both_empty,,,,,False
cpp,bash,both_empty,,,,,False
cpp,bind,both_empty,,,,,False
cpp,bison,both_empty,,,,,False
cpp,bogofilter,both_empty,,,,,False
cpp,certbot,both_empty,,,,,False
cpp,cln,both_empty,,,,,False
cpp,clucene,both_empty,,,,,False
cpp,clutter,both_empty,,,,,False
cpp,clutter-gst,both_empty,,,,,False
cpp,cpio,both_empty,,,,,False
cpp,crypto++,both_empty,,,,,False
cpp,dconf,both_empty,,,,,False
cpp,debian:dnsutils,both_empty,,,,,False
cpp,debian:gir1.2-mutter-11,both_empty,,,,,False
cpp,debian:gir1.2-tracker-2.0,both_empty,,,,,False
cpp,debian:imagemagick-6-common,both_empty,,,,,False
cpp,debian:imagemagick-6.q16,both_empty,,,,,False
cpp,debian:kate5-data,both_empty,,,,,False
cpp,debian:libapt-pkg6.0,both_empty,,,,,False
cpp,debian:libavcodec58,both_empty,,,,,False
cpp,debian:libavcodec59,both_empty,,,,,False
cpp,debian:libavdevice58,both_empty,,,,,False
cpp,debian:libavdevice59,both_empty,,,,,False
cpp,debian:libavfilter7,both_empty,,,,,False
cpp,debian:libavfilter8,both_empty,,,,,False
cpp,debian:libavformat58,both_empty,,,,,False
cpp,debian:libavformat59,both_empty,,,,,False
cpp,debian:libavresample4,both_empty,,,,,False
cpp,debian:libavutil56,both_empty,,,,,False
cpp,debian:libavutil57,both_empty,,,,,False
cpp,debian:libcomerr2,both_empty,,,,,False
cpp,debian:libcroco3,both_empty,,,,,False
cpp,debian:libcurl3,both_empty,,,,,False
cpp,debian:libdc1394-22,both_empty,,,,,False
cpp,debian:libdolphinvcs5,both_empty,,,,,False
cpp,debian:libenchant1c2a,both_empty,,,,,False
cpp,debian:libexiv2-27,both_empty,,,,,False
cpp,debian:libfam0,both_empty,,,,,False
cpp,debian:libflac8,both_empty,,,,,False
cpp,debian:libfluidsynth1,both_empty,,,,,False
cpp,debian:libfreetype6-dev,both_empty,,,,,False
cpp,debian:libgcc1,both_empty,,,,,False
cpp,debian:libgdbm3,both_empty,,,,,False
cpp,debian:libgdk-pixbuf2.0-0,both_empty,,,,,False
cpp,debian:libgimp2.0,both_empty,,,,,False
cpp,debian:libgl1-mesa-glx,both_empty,,,,,False
cpp,debian:libgpgme11-dev,both_empty,,,,,False
cpp,debian:libgs9,both_empty,,,,,False
cpp,debian:libgs9-common,both_empty,,,,,False
cpp,debian:libgsasl7,both_empty,,,,,False
cpp,debian:libidn11,both_empty,,,,,False
cpp,debian:libilmbase-dev,both_empty,,,,,False
cpp,debian:libiptc0,both_empty,,,,,False
cpp,debian:libldap-2.4-2,both_empty,,,,,False
cpp,debian:libldb1,both_empty,,,,,False
cpp,debian:libmagick++-6.q16-8,both_empty,,,,,False
cpp,debian:libmagickcore-6.q16-6,both_empty,,,,,False
cpp,debian:libmagickcore-6.q16-6-extra,both_empty,,,,,False
cpp,debian:libmagickwand-6.q16-6,both_empty,,,,,False
cpp,debian:libmpfr4,both_empty,,,,,False
cpp,debian:libmutter-11-0,both_empty,,,,,False
cpp,debian:libnautilus-extension1a,both_empty,,,,,False
cpp,debian:libncurses5,both_empty,,,,,False
cpp,debian:libncurses5-dev,both_empty,,,,,False
cpp,debian:libncursesw5,both_empty,,,,,False
cpp,debian:libncursesw5-dev,both_empty,,,,,False
cpp,debian:libnetpbm10,both_empty,,,,,False
cpp,debian:libntfs-3g883,both_empty,,,,,False
cpp,debian:libodbc1,both_empty,,,,,False
cpp,debian:libopenexr25,both_empty,,,,,False
cpp,debian:libpcre3,both_empty,,,,,False
cpp,debian:libperl5.32,both_empty,,,,,False
cpp,debian:libperl5.36,both_empty,,,,,False
cpp,debian:libpng12-0,both_empty,,,,,False
cpp,debian:libpolkit-backend-1-0,both_empty,,,,,False
cpp,debian:libpostproc55,both_empty,,,,,False
cpp,debian:libpostproc56,both_empty,,,,,False
cpp,debian:libprocps8,both_empty,,,,,False
cpp,debian:libpython2.7,both_empty,,,,,False
cpp,debian:libpython2.7-minimal,both_empty,,,,,False
cpp,debian:libpython2.7-stdlib,both_empty,,,,,False
cpp,debian:libreadline5,both_empty,,,,,False
cpp,debian:libreadline6,both_empty,,,,,False
cpp,debian:librest-0.7-0,both_empty,,,,,False
cpp,debian:libsensors4,both_empty,,,,,False
cpp,debian:libsepol1,both_empty,,,,,False
cpp,debian:libsmbclient,both_empty,,,,,False
cpp,debian:libsnmp30,both_empty,,,,,False
cpp,debian:libsoup2.4-1,both_empty,,,,,False
cpp,debian:libssl1.0.0,both_empty,,,,,False
cpp,debian:libssl1.1,both_empty,,,,,False
cpp,debian:libswresample3,both_empty,,,,,False
cpp,debian:libswresample4,both_empty,,,,,False
cpp,debian:libswscale5,both_empty,,,,,False
cpp,debian:libswscale6,both_empty,,,,,False
cpp,debian:libtracker-control-2.0-0,both_empty,,,,,False
cpp,debian:libtracker-miner-2.0-0,both_empty,,,,,False
cpp,debian:libtracker-sparql-2.0-0,both_empty,,,,,False
cpp,debian:libtracker-sparql-3.0-0,both_empty,,,,,False
cpp,debian:libx264-160,both_empty,,,,,False
cpp,debian:libxapian22,both_empty,,,,,False
cpp,debian:libxcb-util0,both_empty,,,,,False
cpp,debian:mlocate,both_empty,,,,,False
cpp,debian:ntp,both_empty,,,,,False
cpp,debian:ntpdate,both_empty,,,,,False
cpp,debian:odbcinst1debian2,both_empty,,,,,False
cpp,debian:perl-modules-5.32,both_empty,,,,,False
cpp,debian:perl-modules-5.36,both_empty,,,,,False
cpp,debian:policykit-1-gnome,both_empty,,,,,False
cpp,debian:polkitd-pkla,both_empty,,,,,False
cpp,debian:python,both_empty,,,,,False
cpp,debian:python-crypto,both_empty,,,,,False
cpp,debian:python-dbus,both_empty,,,,,False
cpp,debian:python-lxml,both_empty,,,,,False
cpp,debian:python-minimal,both_empty,,,,,False
cpp,debian:python-openssl,both_empty,,,,,False
cpp,debian:python-talloc,both_empty,,,,,False
cpp,debian:python2.7,both_empty,,,,,False
cpp,debian:python2.7-minimal,both_empty,,,,,False
cpp,debian:x11-apps,both_empty,,,,,False
cpp,debian:x11-utils,both_empty,,,,,False
cpp,diffutils,both_empty,,,,,False
cpp,discover-unclassified,both_empty,,,,,False
cpp,distro-info-unclassified,both_empty,,,,,False
cpp,djview,both_empty,,,,,False
cpp,docutils,both_empty,,,,,False
cpp,dolphin-fm,both_empty,,,,,False
cpp,dragon-player,both_empty,,,,,False
cpp,editorconfig-core-unclassified,both_empty,,,,,False
cpp,epsilon-compressor,both_empty,,,,,False
cpp,exiftool,both_empty,,,,,False
cpp,exim,both_empty,,,,,False
cpp,findutils,both_empty,,,,,False
cpp,firebird,both_empty,,,,,False
cpp,gawk,both_empty,,,,,False
cpp,gdm-gnome-display-manager,both_empty,,,,,False
cpp,geoip,both_empty,,,,,False
cpp,glu,both_empty,,,mesa3d.org,,False
cpp,glusterfs,both_empty,,,,,False
cpp,gnu-bc,both_empty,,,,,False
cpp,go,both_empty,,,go.dev,,False
cpp,gpgmepp,both_empty,,,,,False
cpp,gptfdisk,both_empty,,,,,False
cpp,graphicsmagick,both_empty,,,,,False
cpp,groff,both_empty,,,,,False
cpp,grub,both_empty,,,,,False
cpp,gsm,both_empty,,,,,False
cpp,gstreamer:bad,both_empty,,,,,False
cpp,gstreamer:base,both_empty,,,,,False
cpp,gstreamer:editing-services,both_empty,,,,,False
cpp,gstreamer:good,both_empty,,,,,False
cpp,gstreamer:libav,both_empty,,,,,False
cpp,gstreamer:ugly,both_empty,,,,,False
cpp,gtk,both_empty,,,,,False
cpp,gtk-engines,both_empty,,,,,False
cpp,gtk-mac-integration,both_empty,,,,,False
cpp,gtkspell,both_empty,,,,,False
cpp,gts-triangulated-surface,both_empty,,,,,False
cpp,gzip,both_empty,,,,,False
cpp,iptables,both_empty,,,,,False
cpp,jigit,both_empty,,,,,False
cpp,json-glib,both_empty,,,,,False
cpp,kbd,both_empty,,,,,False
cpp,ladspa,both_empty,,,,,False
cpp,lapack,both_empty,,,,,False
cpp,libabw,both_empty,,,,,False
cpp,libadwaita,both_empty,,,,,False
cpp,libao,both_empty,git.debian.org,,git.debian.org,,False
cpp,libcdr,both_empty,,,,,False
cpp,libconfig-hyperrealm,both_empty,,,,,False
cpp,libcuefile,both_empty,,,,,False
cpp,libdbi,both_empty,,,,,False
cpp,libdmtx,both_empty,,,,,False
cpp,libdvdcss,both_empty,,,,,False
cpp,libe-book,both_empty,,,,,False
cpp,libepubgen,both_empty,,,,,False
cpp,libetonyek,both_empty,,,,,False
cpp,libexttextcat,both_empty,,,,,False
cpp,libfakekey,both_empty,,,,,False
cpp,libfreehand,both_empty,,,,,False
cpp,libftdi,both_empty,,,,,False
cpp,libgweather,both_empty,,,,,False
cpp,libieee1284,both_empty,,,,,False
cpp,libmng,both_empty,,,,,False
cpp,libmspub,both_empty,,,,,False
cpp,libmusicbrainz,both_empty,,,,,False
cpp,libmwaw,both_empty,,,,,False
cpp,libnetfilter-conntrack,both_empty,,,,,False
cpp,libodfgen,both_empty,,,,,False
cpp,libpagemaker,both_empty,,,,,False
cpp,libpipeline,both_empty,,,,,False
cpp,libpthread-stubs,both_empty,,,,,False
cpp,libqxp,both_empty,,,,,False
cpp,libraw1394,both_empty,,,,,False
cpp,librevenge,both_empty,,,,,False
cpp,libsemanage,both_empty,,,,,False
cpp,libsidplay,both_empty,,,,,False
cpp,libsidplay1,both_empty,,,,,False
cpp,libsigc++,both_empty,,,,,False
cpp,libsmi,both_empty,,,,,False
cpp,libspatialite,both_empty,,,gaia-gis.it,,False
cpp,libthai,both_empty,,,,,False
cpp,libudfread,both_empty,git.videolan.org,,,,False
cpp,libunity,both_empty,,,,,False
cpp,libupnp,both_empty,,,,,False
cpp,libvisio,both_empty,,,,,False
cpp,libvterm-leonerd,both_empty,,,,,False
cpp,libwpd,both_empty,,,,,False
cpp,libwpg,both_empty,,,,,False
cpp,libxaw,both_empty,,,,,False
cpp,libxcursor,both_empty,,,,,False
