repo_id,repository_url,class,valid,ecosystem,package,registry_hit,ok,error,critical,critical_via,rank_average,dependent_repos_count,dependent_packages_count,fetched_at
,git://code.qt.io/qt/qt5,A,True,cpp,qt,spack.io,True,,,,0.38210365430040294,0,75,2026-07-06T17:14:41Z
,git://git.gnupg.org/libgpg-error,A,True,cpp,libgpg-error,spack.io,True,,,,2.3620953174934,0,12,2026-07-06T17:14:41Z
,https://git.savannah.gnu.org/git/gettext,A,True,cpp,gettext,spack.io,True,,,,0.34041961928581355,0,79,2026-07-06T17:14:41Z
,https://git.savannah.gnu.org/git/libunistring,A,True,cpp,libunistring,spack.io,True,,,,7.093233291649298,0,3,2026-07-06T17:14:41Z
,https://git.savannah.gnu.org/git/readline,A,True,cpp,readline,spack.io,True,,,,0.5488397943587605,0,59,2026-07-06T17:14:41Z
,https://git.savannah.nongnu.org/git/acl,A,True,cpp,acl,spack.io,True,,,,9.490065304988189,0,3,2026-07-06T17:14:41Z
gh/1165671691,https://github.com/1g4-mirror/libunistring,A,True,cpp,libunistring,spack.io,True,,,,7.093233291649298,0,3,2026-07-06T17:14:41Z
gh/330043541,https://github.com/7rulnik/source-map-js,A,True,npm,source-map-js,npmjs.org,True,,True,npmjs.org,1.9179252312428694,1275432,737,2026-07-06T17:14:41Z
gh/5932749,https://github.com/acornjs/acorn,A,True,npm,acorn,npmjs.org,True,,True,npmjs.org,0.40150702260816834,1121780,8880,2026-07-06T17:14:41Z
gh/22187098,https://github.com/acornjs/acorn-jsx,A,True,npm,acorn-jsx,npmjs.org,True,,True,npmjs.org,1.0171471690756815,817417,2621,2026-07-06T17:14:41Z
gh/208362715,https://github.com/adobe/react-spectrum,A,True,npm,@react-types/shared,npmjs.org,True,,,,0.5294179354029339,7780,483,2026-07-05T19:05:43Z
gh/145337588,https://github.com/agronholm/anyio,A,True,pypi,anyio,pypi.org,True,,True,pypi.org,1.3379627676582777,41037,795,2026-07-06T17:14:41Z
gh/447694800,https://github.com/agronholm/exceptiongroup,A,True,pypi,exceptiongroup,pypi.org,True,,True,pypi.org,4.076891896105516,46142,530,2026-07-06T17:14:41Z
gh/99401299,https://github.com/ai/nanoid,A,True,npm,nanoid,npmjs.org,True,,True,npmjs.org,0.33575425765439576,1618762,7827,2026-07-06T17:14:41Z
gh/67703198,https://github.com/aio-libs-abandoned/async-timeout,A,True,pypi,async-timeout,pypi.org,True,,True,pypi.org,1.7824116956189728,47522,824,2026-07-06T17:14:41Z
gh/36618494,https://github.com/aio-libs/aiobotocore,A,True,pypi,aiobotocore,pypi.org,True,,True,pypi.org,1.3544396898792568,1982,128,2026-07-06T17:14:41Z
gh/13258039,https://github.com/aio-libs/aiohttp,A,True,pypi,aiohttp,pypi.org,True,,True,pypi.org,0.16437181963303235,66431,5267,2026-07-06T17:14:41Z
gh/205007356,https://github.com/aio-libs/aiosignal,A,True,pypi,aiosignal,pypi.org,True,,True,pypi.org,3.384861162824395,20310,419,2026-07-06T17:14:41Z
gh/204197530,https://github.com/aio-libs/frozenlist,A,True,pypi,frozenlist,pypi.org,True,,True,pypi.org,3.203829004396495,20325,442,2026-07-06T17:14:41Z
gh/51206425,https://github.com/aio-libs/multidict,A,True,pypi,multidict,pypi.org,True,,True,pypi.org,1.7064466646001735,41832,550,2026-07-06T17:14:41Z
gh/866565706,https://github.com/aio-libs/propcache,A,True,pypi,propcache,pypi.org,True,,,,33.99122590740686,0,0,2026-07-06T17:14:41Z
gh/64756820,https://github.com/aio-libs/yarl,A,True,pypi,yarl,pypi.org,True,,True,pypi.org,1.306904227813167,41018,846,2026-07-06T17:14:41Z
gh/35914020,https://github.com/ajv-validator/ajv,A,True,npm,ajv,npmjs.org,True,,True,npmjs.org,0.37719372939724477,1087714,14548,2026-07-06T17:14:41Z
gh/281084700,https://github.com/ajv-validator/ajv-formats,A,True,npm,ajv-formats,npmjs.org,True,,True,npmjs.org,1.4827366947921456,1124792,1833,2026-07-06T17:14:41Z
gh/60477053,https://github.com/ajv-validator/ajv-keywords,A,True,npm,ajv-keywords,npmjs.org,True,,True,npmjs.org,1.3183801104119215,9177,1407,2026-07-06T17:14:41Z
gh/9175790,https://github.com/alexei/sprintf.js,A,True,npm,sprintf-js,npmjs.org,True,,True,npmjs.org,0.6643851969321452,1492049,2891,2026-07-06T17:14:41Z
gh/410740124,https://github.com/alexeyraspopov/picocolors,A,True,npm,picocolors,npmjs.org,True,,True,npmjs.org,1.1105945448964947,2113229,3534,2026-07-06T17:14:41Z
gh/155286170,https://github.com/alexhuszagh/rust-lexical,A,True,crates,lexical-util,crates.io,True,,True,crates.io,4.638329563375533,2391,5,2026-07-06T17:14:41Z
gh/59087459,https://github.com/alexindigo/asynckit,A,True,npm,asynckit,npmjs.org,True,,True,npmjs.org,2.344612821301219,1640325,1286,2026-07-06T17:14:41Z
gh/58731560,https://github.com/amanieu/parking_lot,A,True,crates,parking_lot_core,crates.io,True,,True,crates.io,1.5296515441088314,54879,26,2026-07-06T17:14:41Z
gh/4067434,https://github.com/andialbrecht/sqlparse,A,True,pypi,sqlparse,pypi.org,True,,True,pypi.org,0.7322906712496354,201134,429,2026-07-06T17:14:41Z
gh/11836813,https://github.com/andrewrk/node-pend,A,True,npm,pend,npmjs.org,True,,True,npmjs.org,2.6178133620270945,742033,252,2026-07-06T17:14:41Z
gh/9710533,https://github.com/andyperlitch/jsbn,A,True,npm,jsbn,npmjs.org,True,,True,npmjs.org,1.4108279306419458,900521,832,2026-07-06T17:14:41Z
gh/36891867,https://github.com/angular/angular-cli,A,True,npm,@angular-devkit/core,npmjs.org,True,,True,npmjs.org,0.20231421727511065,717211,2955,2026-07-06T17:14:41Z
gh/487934134,https://github.com/annotated-types/annotated-types,A,True,pypi,annotated-types,pypi.org,True,,True,pypi.org,3.4338333880526117,2461,285,2026-07-06T17:14:41Z
gh/238967485,https://github.com/antonk52/lilconfig,A,True,npm,lilconfig,npmjs.org,True,,True,npmjs.org,1.930611261909217,1248700,380,2026-07-06T17:14:41Z
gh/33884891,https://github.com/apache/airflow,A,True,pypi,apache-airflow,pypi.org,True,,True,pypi.org,0.15703515667749438,1554,314,2026-07-06T17:11:17Z
gh/51905353,https://github.com/apache/arrow,A,True,pypi,pyarrow,pypi.org,True,,True,pypi.org,0.1840891013260407,23710,2480,2026-07-06T17:14:41Z
gh/358917250,https://github.com/apache/arrow-rs,A,True,crates,arrow-schema,crates.io,True,,,,1.8231525013487933,434,91,2026-07-06T17:14:41Z
gh/54432168,https://github.com/ardatan/graphql-tools,A,True,npm,@graphql-tools/utils,npmjs.org,True,,True,npmjs.org,0.4952648256284717,95265,645,2026-07-06T17:14:41Z
gh/429511342,https://github.com/ardatan/whatwg-node,A,True,npm,@whatwg-node/promise-helpers,npmjs.org,True,,True,npm,30.539524393709527,0,0,2026-07-06T17:14:41Z
gh/424722460,https://github.com/assert-rs/snapbox,A,True,crates,snapbox,crates.io,True,,,,5.449823987307254,503,60,2026-07-06T17:14:41Z
gh/205875548,https://github.com/astanin/python-tabulate,A,True,pypi,tabulate,pypi.org,True,,True,pypi.org,1.1850850533222548,31311,3054,2026-07-06T17:14:41Z
gh/523043277,https://github.com/astral-sh/ruff,A,True,pypi,ruff,pypi.org,True,,True,pypi.org,0.4882549196910531,5870,2931,2026-07-06T17:14:41Z
gh/8116861,https://github.com/auth0/node-jwa,A,True,npm,jwa,npmjs.org,True,,True,npmjs.org,1.6146661946645404,728961,84,2026-07-06T17:14:41Z
gh/47662429,https://github.com/autotools-mirror/autoconf,A,True,cpp,autoconf,spack.io,True,,,,0.09031540919827706,0,386,2026-07-06T17:14:41Z
gh/47662595,https://github.com/autotools-mirror/gettext,A,True,cpp,gettext,spack.io,True,,,,0.34041961928581355,0,79,2026-07-06T17:14:41Z
gh/47662711,https://github.com/autotools-mirror/libtool,A,True,cpp,libtool,spack.io,True,,,,0.08336807002917883,0,401,2026-07-06T17:14:41Z
gh/66880383,https://github.com/autotools-mirror/m4,A,True,cpp,m4,spack.io,True,,,,0.10421008753647354,0,323,2026-07-06T17:14:41Z
gh/6780767,https://github.com/aws/aws-cli,A,True,pypi,awscli,pypi.org,True,,True,pypi.org,0.12524432884997153,11361,174,2026-07-06T17:14:41Z
