ecosystem,package,repo_id,login,name,email,role,uuid,html_url,fetched_at
crates,Inflector,gh/41618342,whatisinternet,Josh Teeter,,,2448,https://crates.io/users/whatisinternet,2026-06-28T19:01:29Z
crates,RustyXML,gh/11722478,Florob,,,,106,https://crates.io/users/Florob,2026-06-28T19:01:29Z
crates,ab_glyph,gh/254622831,alexheretic,Alex Butler,,,6776,https://crates.io/users/alexheretic,2026-06-28T19:01:29Z
crates,ab_glyph_rasterizer,gh/254622831,alexheretic,Alex Butler,,,6776,https://crates.io/users/alexheretic,2026-06-28T19:01:29Z
crates,accesskit,gh/379327986,mwcampbell,Matt Campbell,,,143177,https://crates.io/users/mwcampbell,2026-06-28T19:01:29Z
crates,accesskit,gh/379327986,DataTriny,Arnold Loubriat,,,27789,https://crates.io/users/DataTriny,2026-06-28T19:01:29Z
crates,actix,gh/103894697,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-codec,gh/145325275,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-cors,gh/236953554,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-http,gh/105379569,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-macros,gh/145325275,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-router,gh/105379569,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-rt,gh/145325275,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
crates,actix-server,gh/145325275,fafhrd91,Nikolay Kim,,,7201,https://crates.io/users/fafhrd91,2026-06-28T19:01:29Z
