ecosystem,package,purl,registry_hit,repository_url,homepage,repo_host,repo_full_name,repo_archived,repo_fork,repo_stars,last_synced_at,fetched_at
cpp,7zip,pkg:deb/debian/7zip?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/debian/7zip,https://www.7-zip.org/,,,,,,2026-03-13T09:11:27.483Z,2026-04-27T20:49:35Z
cpp,a52dec,pkg:deb/debian/a52dec?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/multimedia-team/a52dec,http://liba52.sourceforge.net/,,,,,,2026-03-13T09:13:02.526Z,2026-04-27T20:49:35Z
cpp,aalib,pkg:deb/debian/aalib?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/debian/aalib,http://aa-project.sourceforge.net/aalib/,,,,,,2026-03-13T09:11:31.177Z,2026-04-27T20:49:35Z
cpp,abseil-cpp,pkg:spack/abseil-cpp,spack.io,https://abseil.io/,https://abseil.io/,,,,,,2026-05-21T19:33:07.283Z,2026-06-28T18:53:59Z
cpp,accounts-qml-module,,,,,,,,,,,2026-06-28T19:48:11Z
cpp,accountsservice,pkg:deb/debian/accountsservice?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/freedesktop-team/accountsservice,https://www.freedesktop.org/wiki/Software/AccountsService/,,,,,,2026-03-13T09:10:55.647Z,2026-04-27T20:49:35Z
cpp,acl,pkg:deb/debian/acl?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://git.hadrons.org/cgit/debian/pkgs/acl.git,https://savannah.nongnu.org/projects/acl/,,,,,,2026-03-13T09:10:58.475Z,2026-04-27T20:49:35Z
cpp,acpi-support,pkg:deb/debian/acpi-support?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/debian/acpi-support,,,,,,,2026-03-13T09:11:00.701Z,2026-04-27T20:49:35Z
cpp,acpid,pkg:deb/debian/acpid?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/debian/acpid,http://sourceforge.net/projects/acpid2/,,,,,,2026-03-13T09:11:01.282Z,2026-04-27T20:49:35Z
cpp,ada,,,,,,,,,,,2026-06-28T19:46:39Z
cpp,adwaita-icon-theme,pkg:deb/debian/adwaita-icon-theme?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/gnome-team/adwaita-icon-theme,https://gitlab.gnome.org/GNOME/adwaita-icon-theme,,,,,,2026-03-13T09:11:10.039Z,2026-04-27T20:49:35Z
cpp,aften,,,,,,,,,,,2026-07-06T10:53:09Z
cpp,akonadi,,,,,,,,,,,2026-06-28T19:47:30Z
cpp,akonadi-calendar,,,,,,,,,,,2026-06-28T19:47:55Z
cpp,akonadi-contacts,,,,,,,,,,,2026-06-28T19:48:02Z
cpp,akonadi-mime,,,,,,,,,,,2026-06-28T19:48:03Z
cpp,akonadi-search,,,,,,,,,,,2026-06-28T19:48:05Z
cpp,akregator,pkg:deb/debian/akregator?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/qt-kde-team/kde/akregator,https://invent.kde.org/pim/akregator,gitlab,qt-kde-team/kde/akregator,False,False,0,2026-03-13T09:13:11.836Z,2026-04-27T20:49:35Z
cpp,alsa-lib,pkg:deb/debian/alsa-lib?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/alsa-team/alsa-lib,https://www.alsa-project.org/,,,,,,2026-03-13T09:11:48.520Z,2026-06-28T18:53:59Z
cpp,alsa-plugins,pkg:deb/debian/alsa-plugins?arch=source&distro=debian-13&repository_url=https://packages.debian.org/trixie,debian-13,https://salsa.debian.org/alsa-team/alsa-plugins,https://www.alsa-project.org/,,,,,,2026-03-13T09:11:48.983Z,2026-04-27T20:49:35Z
