name,stage,domain,homepage,github_repo,ecosystem,package,description
AMP,at-large,amp.dev,https://amp.dev/,ampproject/meta,,,
architect,at-large,arc.codes,https://arc.codes/,architect/architect,,,
Chassis,at-large,,https://github.com/jquery/css-chassis,jquery/css-chassis,,,
Dojo,at-large,dojo.io,https://dojo.io/,dojo/framework,,,
ESLint,at-large,eslint.org,https://eslint.org/,eslint/eslint,,,
Esprima,at-large,esprima.org,https://esprima.org/,jquery/esprima,,,
Fastify,at-large,fastify.io,https://fastify.io,fastify/fastify,,,
Globalize,at-large,,https://github.com/jquery/globalize,jquery/globalize,,,
Grunt,at-large,gruntjs.com,https://gruntjs.com/,gruntjs/grunt,,,
HospitalRun,at-large,hospitalrun.io,https://hospitalrun.io/,HospitalRun/hospitalrun,,,
Interledger.js,at-large,interledger.org,https://interledger.org/,interledger/rfcs,,,
Intern,at-large,theintern.github.io,https://theintern.github.io/,theintern/intern,,,
JerryScript,at-large,jerryscript.net,https://jerryscript.net/,jerryscript-project/jerryscript,,,
Jest,at-large,jestjs.io,https://jestjs.io/,jestjs/jest,,,
jQuery Mobile,at-large,jquerymobile.com,https://jquerymobile.com/,jquery/jquery-mobile,,,
jQuery UI,at-large,jqueryui.com,https://jqueryui.com/,jquery/jquery-ui,,,
Lodash,at-large,lodash.com,https://lodash.com/,lodash/lodash,,,
LoopBack,at-large,loopback.io,https://loopback.io,loopbackio/loopback-next,,,
Marko,at-large,markojs.com,https://markojs.com/,marko-js/marko,,,
messageformat,at-large,messageformat.github.io,https://messageformat.github.io/messageformat/,messageformat/messageformat,,,
Mocha,at-large,mochajs.org,https://mochajs.org/,mochajs/mocha,,,
Moment,at-large,momentjs.com,https://momentjs.com/,moment/moment,,,
NativeScript,at-large,nativescript.org,https://nativescript.org/,NativeScript/NativeScript,,,
Node-RED,at-large,nodered.org,https://nodered.org/,,,,
nvm,at-large,nvm.sh,https://nvm.sh/,nvm-sh/nvm,,,
PEP,at-large,,https://github.com/jquery/pep,jquery/pep,,,
QUnit,at-large,qunitjs.com,https://qunitjs.com/,qunitjs/qunit,,,
RequireJS,at-large,requirejs.org,https://requirejs.org/,,,,
Sizzle,at-large,sizzlejs.com,https://sizzlejs.com/,jquery/sizzle,,,
WebdriverIO,at-large,webdriver.io,https://webdriver.io/,webdriverio/webdriverio,,,
webhint,at-large,webhint.io,https://webhint.io/,webhintio/hint,,,
Appium,impact,appium.io,https://appium.io/,appium/appium,,,
Electron,impact,electronjs.org,https://electronjs.org,electron/governance,,,
Express,impact,expressjs.com,https://expressjs.com/,expressjs/discussions,,,
jQuery,impact,jquery.com,https://jquery.com/,jquery/jquery,,,
Node.js,impact,nodejs.org,https://nodejs.org,nodejs/node,,,
webpack,impact,webpack.js.org,https://webpack.js.org/,webpack/governance,,,
GeoDa,incubation,geodacenter.github.io,https://geodacenter.github.io/,GeoDaCenter/geoda,,,
kepler.gl,incubation,kepler.gl,https://kepler.gl/,keplergl/kepler,,,
Lit,incubation,lit.dev,https://lit.dev/,lit/lit,,,
Perspective,incubation,perspective-dev.github.io,https://perspective-dev.github.io/,perspective-dev/perspective,,,
vis.gl,incubation,vis.gl,https://vis.gl/,visgl/deck,,,
