name,shortname,domain,homepage,github_repo,ecosystem,package,repo_url,category,programming_language,description,created,license,fetched_at
Apache Accumulo,accumulo,accumulo.apache.org,https://accumulo.apache.org,,,,https://gitbox.apache.org/repos/asf/accumulo.git,big-data,J | a | v | a,"The Apache Accumulo sorted, distributed key/value store is
      based on Google's BigTable design. It is built on top of Apache Hadoop,
      Apache Zookeeper, and Apache Thrift. It features a few no",2012-03-26,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Fluo,accumulo-fluo,fluo.apache.org,https://fluo.apache.org,,,,https://gitbox.apache.org/repos/asf/accumulo-fluo.git,big-data,J | a | v | a,"Apache Fluo is a distributed processing system that lets users
      make incremental updates to large data sets. With Apache Fluo, users can
      set up workflows that execute cross node transaction",2012-03-26,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Fluo Recipes,accumulo-fluo_recipes,fluo.apache.org,https://fluo.apache.org,,,,https://gitbox.apache.org/repos/asf/accumulo-fluo-recipes.git,big-data,J | a | v | a,"Apache Fluo Recipes build on the Fluo API to offer additional
      functionality to developers. They are published separately from Fluo on
      their own release schedule. This allows Fluo Recipes t",2012-03-26,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Fluo YARN,accumulo-fluo_yarn,fluo.apache.org,https://fluo.apache.org,,,,https://gitbox.apache.org/repos/asf/accumulo-fluo-yarn.git,big-data,J | a | v | a,"Apache Fluo YARN is a tool for running Apache Fluo
      applications in Apache Hadoop YARN.",2012-03-26,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache ActiveMQ,activemq,activemq.apache.org,http://activemq.apache.org/,,,,,"network-server, network-client","J | a | v | a | , |   | C | , |   | C | + | + | , |   | R | u | b | y | , |   | P | e | r | l | , |   | P | y | t | h | o | n | , |   | P | H | P | , |   | C | #",ActiveMQ is a fast and powerful Message Broker which supports many Cross Language Clients and Protocols and many advanced features while fully supporting JMS 1.1 and J2EE 1.4.,2006-03-27,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache AGE,age,age.apache.org,https://age.apache.org/,apache/age,,,https://github.com/apache/age,database,C,"The goal of Apache AGE™ is to provide graph data processing and analytics capability to all relational databases.

Through Apache AGE, PostgreSQL users will gain access to graph query modeling within ",2023-02-15,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Airavata,airavata,airavata.apache.org,http://airavata.apache.org,,,,https://git.apache.org/repos/asf/airavata.git,"network-server, cloud, big-data",J | a | v | a,"Apache Airavata is a micro-service architecture based software framework for
            executing and managing computational jobs and workflows on distributed computing
            resources includin",2011-05-07,h | t | t | p | : | / | / | u | s | e | f | u | l | i | n | c | . | c | o | m | / | d | o | a | p | / | l | i | c | e | n | s | e | s | / | a | s | l | 2 | 0,2026-06-29T23:06:31+00:00
Apache Airflow,airflow,airflow.apache.org,https://airflow.apache.org,apache/airflow,,,https://github.com/apache/airflow.git,big-data,"P | y | t | h | o | n | , |   | J | a | v | a | S | c | r | i | p | t","The mission of Apache Airflow is the creation and maintenance of software
related to workflow automation and scheduling that can be used to author and
manage data pipelines.
",2023-09-04,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Allura,allura,allura.apache.org,http://allura.apache.org,,,,,content,P | y | t | h | o | n,"Apache Allura is an open source implementation of a software ""forge"", a web site that manages source code repositories, bug reports, discussions, wiki pages, blogs and more for any number of individua",2014-06-13,h | t | t | p | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
Apache Ambari,ambari,ambari.apache.org,https://ambari.apache.org,apache/ambari,,,https://github.com/apache/ambari.git,big-data,"J | a | v | a | , |   | J | a | v | a | S | c | r | i | p | t | , |   | P | y | t | h | o | n","Apache Ambari simplifies provisioning, managing, and monitoring of Apache Hadoop clusters.",2025-04-09,h | t | t | p | s | : | / | / | s | p | d | x | . | o | r | g | / | l | i | c | e | n | s | e | s | / | A | p | a | c | h | e | - | 2 | . | 0,2026-06-29T23:06:31+00:00
