name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
accerciser,accerciser,gnome.org,https://gitlab.gnome.org/GNOME/accerciser,GNOME/accerciser,,,,2026-07-05T17:43:25+00:00
Adwaita Fonts,adwaita-fonts,gnome.org,https://gitlab.gnome.org/GNOME/adwaita-fonts,GNOME/adwaita-fonts,,,The typefaces for GNOME,2026-07-05T17:43:25+00:00
adwaita-icon-theme,adwaita-icon-theme,gnome.org,https://gitlab.gnome.org/GNOME/adwaita-icon-theme,GNOME/adwaita-icon-theme,,,Private UI icon set for GNOME core apps.,2026-07-05T17:43:25+00:00
Adwaita Legacy,adwaita-icon-theme-legacy,gnome.org,https://gitlab.gnome.org/GNOME/adwaita-icon-theme-legacy,GNOME/adwaita-icon-theme-legacy,,,,2026-07-05T17:43:25+00:00
aisleriot,aisleriot,gnome.org,https://gitlab.gnome.org/GNOME/aisleriot,GNOME/aisleriot,,,Aisleriot Solitaire,2026-07-05T17:43:25+00:00
alacarte,alacarte,gnome.org,https://gitlab.gnome.org/GNOME/alacarte,GNOME/alacarte,,,,2026-07-05T17:43:25+00:00
Almanah,almanah,gnome.org,https://gitlab.gnome.org/GNOME/almanah,GNOME/almanah,,,Almanah is a small GTK+ application to allow you to keep a diary of your life.,2026-07-05T17:43:25+00:00
at-spi2-core,at-spi2-core,gnome.org,https://gitlab.gnome.org/GNOME/at-spi2-core,GNOME/at-spi2-core,,,"Base DBus XML interfaces for accessibility, the accessibility registry daemon, and atspi library.",2026-07-05T17:43:25+00:00
atkmm,atkmm,gnome.org,https://gitlab.gnome.org/GNOME/atkmm,GNOME/atkmm,,,,2026-07-05T17:43:25+00:00
atomix,atomix,gnome.org,https://gitlab.gnome.org/GNOME/atomix,GNOME/atomix,,,Mind game - build molecules out of single atoms,2026-07-05T17:43:25+00:00
babl,babl,gnome.org,https://gitlab.gnome.org/GNOME/babl,GNOME/babl,,,"Pixel encoding and color space conversion engine, with format introspection, cached runtime self-benchmarking alternate and cpu specific code paths.",2026-07-05T17:43:25+00:00
balsa,balsa,gnome.org,https://gitlab.gnome.org/GNOME/balsa,GNOME/balsa,,,,2026-07-05T17:43:25+00:00
baobab,baobab,gnome.org,https://gitlab.gnome.org/GNOME/baobab,GNOME/baobab,,,,2026-07-05T17:43:25+00:00
bijiben,bijiben,gnome.org,https://gitlab.gnome.org/GNOME/bijiben,GNOME/bijiben,,,,2026-07-05T17:43:25+00:00
Blueprint,blueprint-compiler,gnome.org,https://gitlab.gnome.org/GNOME/blueprint-compiler,GNOME/blueprint-compiler,,,A markup language for GTK user interfaces. Docs: https://gnome.pages.gitlab.gnome.org/blueprint-compiler/,2026-07-05T17:43:25+00:00
brasero,brasero,gnome.org,https://gitlab.gnome.org/GNOME/brasero,GNOME/brasero,,,,2026-07-05T17:43:25+00:00
Calls,calls,gnome.org,https://gitlab.gnome.org/GNOME/calls,GNOME/calls,,,A phone and VoIP (SIP) call handler,2026-07-05T17:43:25+00:00
cantarell-fonts,cantarell-fonts,gnome.org,https://gitlab.gnome.org/GNOME/cantarell-fonts,GNOME/cantarell-fonts,,,"The Cantarell typeface family is a contemporary Humanist sans serif, and was used by the GNOME project for its user interface.",2026-07-05T17:43:25+00:00
chronojump,chronojump,gnome.org,https://gitlab.gnome.org/GNOME/chronojump,GNOME/chronojump,,,,2026-07-05T17:43:25+00:00
chronojump-docs,chronojump-docs,gnome.org,https://gitlab.gnome.org/GNOME/chronojump-docs,GNOME/chronojump-docs,,,,2026-07-05T17:43:25+00:00
CITemplates,citemplates,gnome.org,https://gitlab.gnome.org/GNOME/citemplates,GNOME/citemplates,,,,2026-07-05T17:43:25+00:00
Console,console,gnome.org,https://gitlab.gnome.org/GNOME/console,GNOME/console,,,A simple user-friendly terminal emulator for the GNOME desktop.,2026-07-05T17:43:25+00:00
d-spy,d-spy,gnome.org,https://gitlab.gnome.org/GNOME/d-spy,GNOME/d-spy,,,Inspect peers on a D-Bus connection,2026-07-05T17:43:25+00:00
dasher,dasher,gnome.org,https://gitlab.gnome.org/GNOME/dasher,GNOME/dasher,,,,2026-07-05T17:43:25+00:00
dconf,dconf,gnome.org,https://gitlab.gnome.org/GNOME/dconf,GNOME/dconf,,,dconf is a simple key/value storage system that is heavily optimised for reading. This makes it an ideal system for storing user preferences (which are often read but rarely changed). It was created w,2026-07-05T17:43:25+00:00
dconf-editor,dconf-editor,gnome.org,https://gitlab.gnome.org/GNOME/dconf-editor,GNOME/dconf-editor,,,,2026-07-05T17:43:25+00:00
Decibels,decibels,gnome.org,https://gitlab.gnome.org/GNOME/decibels,GNOME/decibels,,,Play audio files,2026-07-05T17:43:25+00:00
devdocsgjs,devdocsgjs,gnome.org,https://gitlab.gnome.org/GNOME/devdocsgjs,GNOME/devdocsgjs,,,,2026-07-05T17:43:25+00:00
Dia,dia,gnome.org,https://gitlab.gnome.org/GNOME/dia,GNOME/dia,,,Diagram Editor,2026-07-05T17:43:25+00:00
easytag,easytag,gnome.org,https://gitlab.gnome.org/GNOME/easytag,GNOME/easytag,,,,2026-07-05T17:43:25+00:00
Eye of GNOME,eog,gnome.org,https://gitlab.gnome.org/GNOME/eog,GNOME/eog,,,,2026-07-05T17:43:25+00:00
