name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
a2ps,a2ps,gnu.org,https://www.gnu.org/software/a2ps/,,,,"GNU a2ps converts almost anything to a PostScript file, ready for printing. It accomplishes this by being able to delegate files to external handlers, such as Groff and Gzip. It handles as many steps ",2026-07-05T16:57:24+00:00
Acct,acct,gnu.org,https://www.gnu.org/software/acct/,,,,"GNU acct provides a means for system administrators to determine system usage patterns. It provides information on, for example, connections, programs executed, and system resources used.",2026-07-05T16:57:24+00:00
Acm,acm,gnu.org,https://www.gnu.org/software/acm/,,,,"GNU ACM is a flight simulator in which players can compete in aerial combat from different computers, piloting well-equipped jet aircraft similar to an F-16C Falcon or a MiG-29 Fulcrum.",2026-07-05T16:57:24+00:00
Adns,adns,gnu.org,https://www.gnu.org/software/adns/,,,,"GNU adns is a C library that provides easy-to-use DNS resolution functionality. The library is asynchronous, allowing several concurrent calls. The package also includes several command-line utilities",2026-07-05T16:57:24+00:00
Alive,alive,gnu.org,https://www.gnu.org/software/alive/,,,,"GNU Alive sends periodic pings to a server, generally to keep a connection alive.",2026-07-05T16:57:24+00:00
Anastasis,anastasis,gnu.org,https://www.gnu.org/software/anastasis/,,,,"GNU Anastasis is a free software protocol and implementation that allows users to securely deposit core secrets with a public set of escrow providers, and allows users to recover these secrets if thei",2026-07-05T16:57:24+00:00
Anubis,anubis,gnu.org,https://www.gnu.org/software/anubis/,,,,"Anubis is a daemon that sits between the Mail User Agent (MUA) and the Mail Transfer Agent (MTA). When a mail is sent by a user in the MUA, it is first passed to Anubis, which performs additional proc",2026-07-05T16:57:24+00:00
APL,apl,gnu.org,https://www.gnu.org/software/apl/,,,,GNU APL is a free interpreter for the programming language APL. It is an implementation of the ISO standard 13751.,2026-07-05T16:57:24+00:00
Archimedes,archimedes,gnu.org,https://www.gnu.org/software/archimedes/,,,,Archimedes is a free package for semiconductor device simulations. It is intended to assist engineers in designing and simulating submicron and mesoscopic semiconductor devices based on the Ensemble M,2026-07-05T16:57:24+00:00
Aris,aris,gnu.org,https://www.gnu.org/software/aris/,,,,"Aris is a program for performing logical proofs. It supports propositional and predicate logic, as well as Boolean algebra and arithmetical logic. In addition to its predefined inference and equivalen",2026-07-05T16:57:24+00:00
Artanis,artanis,gnu.org,https://www.gnu.org/software/artanis/,,,,"GNU Artanis is a web application framework written in Guile Scheme. A web application framework (WAF) is a software framework that is designed to support the development of dynamic websites, web appli",2026-07-05T16:57:24+00:00
Aspell,aspell,gnu.org,https://www.gnu.org/software/aspell/,,,,Aspell is a spell-checker which can be used either as a library or as a standalone program. Notable features of Aspell include its full support of documents written in the UTF-8 encoding and its abili,2026-07-05T16:57:24+00:00
AUCTeX,auctex,gnu.org,https://www.gnu.org/software/auctex/,,,,AUCTeX is an integrated environment for producing TeX documents in Emacs. It allows many different standard TeX macros to be inserted with simple keystrokes or menu selection. It offers an interface t,2026-07-05T16:57:24+00:00
Autoconf,autoconf,gnu.org,https://www.gnu.org/software/autoconf/,autotools-mirror/autoconf,,,Autoconf offers the developer a robust set of M4 macros which expand into shell code to test the features of Unix-like systems and to adapt automatically their software package to these systems. The r,2026-07-05T16:57:24+00:00
Autoconf-archive,autoconf-archive,gnu.org,https://www.gnu.org/software/autoconf-archive/,,,,"Autoconf Archive is a collection of over 450 new macros for Autoconf, greatly expanding the domain of its functionality. These macros have been contributed as free software by the community.",2026-07-05T16:57:24+00:00
AutoGen,autogen,gnu.org,https://www.gnu.org/software/autogen/,,,,"AutoGen is a program to ease the maintenance of programs that contain large amounts of repetitive text. It automates the construction of these sections of the code, simplifying the task of keeping the",2026-07-05T16:57:24+00:00
Automake,automake,gnu.org,https://www.gnu.org/software/automake/,autotools-mirror/automake,,,Automake the part of the GNU build system for producing standards-compliant Makefiles. Build requirements are entered in an intuitive format and then Automake works with Autoconf to produce a robust M,2026-07-05T16:57:24+00:00
Avl,avl,gnu.org,https://www.gnu.org/software/avl/,,,,"libavl provides a large collection of binary search tree and balanced tree routines for C. These trees offer at least O(log n) performance for usually costly operations such as searching, inserting or",2026-07-05T16:57:24+00:00
Ball and Paddle,ballandpaddle,gnu.org,https://www.gnu.org/software/ballandpaddle/,,,,"Ball and Paddle is a classic arcade game in which you use a paddle at the bottom of the screen to bounce a ball against bricks in the upper region, eliminating the bricks as they are hit. As a novel t",2026-07-05T16:57:24+00:00
Barcode,barcode,gnu.org,https://www.gnu.org/software/barcode/,,,,GNU Barcode is a flexible tool to produce printed barcodes from text strings. It supports a variety of encoding standards and sizing measurements. Barcodes can be output in PostScript or Encapsulated ,2026-07-05T16:57:24+00:00
Bash,bash,gnu.org,https://www.gnu.org/software/bash/,mirror/bash,,,"Bash is the shell, or command-line interpreter, of the GNU system. It is compatible with the Bourne Shell, but it also integrates useful features from the Korn Shell and the C Shell and new improvemen",2026-07-05T16:57:24+00:00
Bayonne,bayonne,gnu.org,https://www.gnu.org/software/bayonne/,,,,"Bayonne is the telephony server of the GNU Telephony project. It offers a scalable environment for the development and deployment of telephony solutions, with a focus on SIP.",2026-07-05T16:57:24+00:00
