name,stage,domain,homepage,github_repo,ecosystem,package,description,fetched_at
AMP,at-large,amp.dev,https://amp.dev/,ampproject/meta,,,,2026-06-29T23:07:55+00:00
architect,at-large,arc.codes,https://arc.codes/,architect/architect,,,,2026-06-29T23:07:55+00:00
Chassis,at-large,,https://github.com/jquery/css-chassis,jquery/css-chassis,,,,2026-06-29T23:07:55+00:00
Dojo,at-large,dojo.io,https://dojo.io/,dojo/framework,,,,2026-06-29T23:07:55+00:00
ESLint,at-large,eslint.org,https://eslint.org/,eslint/eslint,,,,2026-06-29T23:07:55+00:00
Esprima,at-large,esprima.org,https://esprima.org/,jquery/esprima,,,,2026-06-29T23:07:55+00:00
Fastify,at-large,fastify.io,https://fastify.io,fastify/fastify,,,,2026-06-29T23:07:55+00:00
Globalize,at-large,,https://github.com/jquery/globalize,jquery/globalize,,,,2026-06-29T23:07:55+00:00
Grunt,at-large,gruntjs.com,https://gruntjs.com/,gruntjs/grunt,,,,2026-06-29T23:07:55+00:00
HospitalRun,at-large,hospitalrun.io,https://hospitalrun.io/,HospitalRun/hospitalrun,,,,2026-06-29T23:07:55+00:00
Interledger.js,at-large,interledger.org,https://interledger.org/,interledger/rfcs,,,,2026-06-29T23:07:55+00:00
Intern,at-large,theintern.github.io,https://theintern.github.io/,theintern/intern,,,,2026-06-29T23:07:55+00:00
JerryScript,at-large,jerryscript.net,https://jerryscript.net/,jerryscript-project/jerryscript,,,,2026-06-29T23:07:55+00:00
Jest,at-large,jestjs.io,https://jestjs.io/,jestjs/jest,,,,2026-06-29T23:07:55+00:00
jQuery Mobile,at-large,jquerymobile.com,https://jquerymobile.com/,jquery/jquery-mobile,,,,2026-06-29T23:07:55+00:00
jQuery UI,at-large,jqueryui.com,https://jqueryui.com/,jquery/jquery-ui,,,,2026-06-29T23:07:55+00:00
Lodash,at-large,lodash.com,https://lodash.com/,lodash/lodash,,,,2026-06-29T23:07:55+00:00
LoopBack,at-large,loopback.io,https://loopback.io,loopbackio/loopback-next,,,,2026-06-29T23:07:55+00:00
Marko,at-large,markojs.com,https://markojs.com/,marko-js/marko,,,,2026-06-29T23:07:55+00:00
messageformat,at-large,messageformat.github.io,https://messageformat.github.io/messageformat/,messageformat/messageformat,,,,2026-06-29T23:07:55+00:00
Mocha,at-large,mochajs.org,https://mochajs.org/,mochajs/mocha,,,,2026-06-29T23:07:55+00:00
Moment,at-large,momentjs.com,https://momentjs.com/,moment/moment,,,,2026-06-29T23:07:55+00:00
NativeScript,at-large,nativescript.org,https://nativescript.org/,NativeScript/NativeScript,,,,2026-06-29T23:07:55+00:00
Node-RED,at-large,nodered.org,https://nodered.org/,,,,,2026-06-29T23:07:55+00:00
nvm,at-large,nvm.sh,https://nvm.sh/,nvm-sh/nvm,,,,2026-06-29T23:07:55+00:00
PEP,at-large,,https://github.com/jquery/pep,jquery/pep,,,,2026-06-29T23:07:55+00:00
QUnit,at-large,qunitjs.com,https://qunitjs.com/,qunitjs/qunit,,,,2026-06-29T23:07:55+00:00
RequireJS,at-large,requirejs.org,https://requirejs.org/,,,,,2026-06-29T23:07:55+00:00
Sizzle,at-large,sizzlejs.com,https://sizzlejs.com/,jquery/sizzle,,,,2026-06-29T23:07:55+00:00
WebdriverIO,at-large,webdriver.io,https://webdriver.io/,webdriverio/webdriverio,,,,2026-06-29T23:07:55+00:00
webhint,at-large,webhint.io,https://webhint.io/,webhintio/hint,,,,2026-06-29T23:07:55+00:00
Appium,impact,appium.io,https://appium.io/,appium/appium,,,,2026-06-29T23:07:55+00:00
Electron,impact,electronjs.org,https://electronjs.org,electron/governance,,,,2026-06-29T23:07:55+00:00
Express,impact,expressjs.com,https://expressjs.com/,expressjs/discussions,,,,2026-06-29T23:07:55+00:00
jQuery,impact,jquery.com,https://jquery.com/,jquery/jquery,,,,2026-06-29T23:07:55+00:00
Node.js,impact,nodejs.org,https://nodejs.org,nodejs/node,,,,2026-06-29T23:07:55+00:00
webpack,impact,webpack.js.org,https://webpack.js.org/,webpack/governance,,,,2026-06-29T23:07:55+00:00
GeoDa,incubation,geodacenter.github.io,https://geodacenter.github.io/,GeoDaCenter/geoda,,,,2026-06-29T23:07:55+00:00
kepler.gl,incubation,kepler.gl,https://kepler.gl/,keplergl/kepler,,,,2026-06-29T23:07:55+00:00
Lit,incubation,lit.dev,https://lit.dev/,lit/lit,,,,2026-06-29T23:07:55+00:00
Perspective,incubation,perspective-dev.github.io,https://perspective-dev.github.io/,perspective-dev/perspective,,,,2026-06-29T23:07:55+00:00
vis.gl,incubation,vis.gl,https://vis.gl/,visgl/deck,,,,2026-06-29T23:07:55+00:00
