name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
adobe-100dpi,adobe-100dpi,x.org,https://gitlab.freedesktop.org/xorg/font/adobe-100dpi,gitlab-freedesktop-mirrors/adobe-100dpi,,,,2026-07-05T17:43:27+00:00
adobe-75dpi,adobe-75dpi,x.org,https://gitlab.freedesktop.org/xorg/font/adobe-75dpi,gitlab-freedesktop-mirrors/adobe-75dpi,,,,2026-07-05T17:43:27+00:00
adobe-utopia-100dpi,adobe-utopia-100dpi,x.org,https://gitlab.freedesktop.org/xorg/font/adobe-utopia-100dpi,gitlab-freedesktop-mirrors/adobe-utopia-100dpi,,,,2026-07-05T17:43:27+00:00
adobe-utopia-75dpi,adobe-utopia-75dpi,x.org,https://gitlab.freedesktop.org/xorg/font/adobe-utopia-75dpi,gitlab-freedesktop-mirrors/adobe-utopia-75dpi,,,,2026-07-05T17:43:27+00:00
adobe-utopia-type1,adobe-utopia-type1,x.org,https://gitlab.freedesktop.org/xorg/font/adobe-utopia-type1,gitlab-freedesktop-mirrors/adobe-utopia-type1,,,,2026-07-05T17:43:27+00:00
alias,alias,x.org,https://gitlab.freedesktop.org/xorg/font/alias,gitlab-freedesktop-mirrors/alias,,,,2026-07-05T17:43:27+00:00
appres,appres,x.org,https://gitlab.freedesktop.org/xorg/app/appres,gitlab-freedesktop-mirrors/appres,,,Utility to list X application resource database,2026-07-05T17:43:27+00:00
arabic-misc,arabic-misc,x.org,https://gitlab.freedesktop.org/xorg/font/arabic-misc,gitlab-freedesktop-mirrors/arabic-misc,,,,2026-07-05T17:43:27+00:00
bdftopcf,bdftopcf,x.org,https://gitlab.freedesktop.org/xorg/util/bdftopcf,gitlab-freedesktop-mirrors/bdftopcf,,,convert X font from Bitmap Distribution Format to Portable Compiled Format,2026-07-05T17:43:27+00:00
beforelight,beforelight,x.org,https://gitlab.freedesktop.org/xorg/app/beforelight,gitlab-freedesktop-mirrors/beforelight,,,Sample implementation of a screen saver for X servers supporting the MIT-SCREEN-SAVER extension,2026-07-05T17:43:27+00:00
bh-100dpi,bh-100dpi,x.org,https://gitlab.freedesktop.org/xorg/font/bh-100dpi,gitlab-freedesktop-mirrors/bh-100dpi,,,,2026-07-05T17:43:27+00:00
bh-75dpi,bh-75dpi,x.org,https://gitlab.freedesktop.org/xorg/font/bh-75dpi,gitlab-freedesktop-mirrors/bh-75dpi,,,,2026-07-05T17:43:27+00:00
bh-lucidatypewriter-100dpi,bh-lucidatypewriter-100dpi,x.org,https://gitlab.freedesktop.org/xorg/font/bh-lucidatypewriter-100dpi,gitlab-freedesktop-mirrors/bh-lucidatypewriter-100dpi,,,,2026-07-05T17:43:27+00:00
bh-lucidatypewriter-75dpi,bh-lucidatypewriter-75dpi,x.org,https://gitlab.freedesktop.org/xorg/font/bh-lucidatypewriter-75dpi,gitlab-freedesktop-mirrors/bh-lucidatypewriter-75dpi,,,,2026-07-05T17:43:27+00:00
