name,project_slug,domain,website,github_repo,ecosystem,package,fetched_at
ArviZ,arviz,arviz.org,https://www.arviz.org/en/latest/,arviz-devs/arviz,,,2026-06-29T23:07:54+00:00
Astropy,astropy,astropy.org,https://www.astropy.org/,,,,2026-06-29T23:07:54+00:00
Bioconductor,bioconductor,bioconductor.org,https://bioconductor.org,,,,2026-06-29T23:07:54+00:00
Blosc,blosc,blosc.org,https://www.blosc.org,Blosc/hdf5-blosc,,,2026-06-29T23:07:54+00:00
Bokeh,bokeh,bokeh.org,https://bokeh.org/,,,,2026-06-29T23:07:54+00:00
Cantera,cantera,cantera.org,https://cantera.org,Cantera/cantera,,,2026-06-29T23:07:54+00:00
conda,conda,github.com,https://github.com/conda,,,,2026-06-29T23:07:54+00:00
conda-forge,conda-forge,conda-forge.org,https://conda-forge.org/,,,,2026-06-29T23:07:54+00:00
CuPy,cupy,cupy.dev,https://cupy.dev/,cupy/cupy,,,2026-06-29T23:07:54+00:00
Dask,dask,dask.org,https://dask.org/,,,,2026-06-29T23:07:54+00:00
data.table,data-table,rdatatable.gitlab.io,https://rdatatable.gitlab.io/data.table/,Rdatatable/data,,,2026-06-29T23:07:54+00:00
Dynare,dynare,dynare.org,https://www.dynare.org/,,,,2026-06-29T23:07:54+00:00
Econ-ARK,econ-ark,econ-ark.org,https://econ-ark.org/,econ-ark/HARK,,,2026-06-29T23:07:54+00:00
FEniCS Project,fenics-project,fenicsproject.org,https://fenicsproject.org/,,,,2026-06-29T23:07:54+00:00
Fortran-lang,fortran-lang,fortran-lang.org,https://fortran-lang.org,,,,2026-06-29T23:07:54+00:00
Gammapy,gammapy,gammapy.org,https://gammapy.org,gammapy/gammapy,,,2026-06-29T23:07:54+00:00
GDAL,gdal,gdal.org,https://gdal.org,OSGeo/gdal,,,2026-06-29T23:07:54+00:00
GeoPandas,geopandas,geopandas.org,https://geopandas.org/en/stable/,,,,2026-06-29T23:07:54+00:00
GNU Octave,gnu-octave,octave.org,https://octave.org/,,,,2026-06-29T23:07:54+00:00
GRASS,grass,grass.osgeo.org,https://grass.osgeo.org/,OSGeo/grass,,,2026-06-29T23:07:54+00:00
HoloViz,holoviz,holoviz.org,https://holoviz.org/,,,,2026-06-29T23:07:54+00:00
ITK,itk,insightsoftwareconsortium.org,https://www.insightsoftwareconsortium.org/,InsightSoftwareConsortium/ITK,,,2026-06-29T23:07:54+00:00
Julia,julia,julialang.org,https://julialang.org/,JuliaLang/julia,,,2026-06-29T23:07:54+00:00
JuMP,jump,jump.dev,https://jump.dev/,JuliaOpt/JuMP,,,2026-06-29T23:07:54+00:00
LFortran,lfortran,lfortran.org,https://lfortran.org/,,,,2026-06-29T23:07:54+00:00
Matplotlib,matplotlib,matplotlib.org,https://matplotlib.org/,,,,2026-06-29T23:07:54+00:00
MDAnalysis,mdanalysis,mdanalysis.org,https://www.mdanalysis.org/,,,,2026-06-29T23:07:54+00:00
mlpack,mlpack,mlpack.org,https://www.mlpack.org/,,,,2026-06-29T23:07:54+00:00
napari,napari,napari.org,https://napari.org,,,,2026-06-29T23:07:54+00:00
NetworkX,networkx,networkx.github.io,https://networkx.github.io/,,,,2026-06-29T23:07:54+00:00
NiBabel,nibabel,nipy.org,https://nipy.org/nibabel/,,,,2026-06-29T23:07:54+00:00
nteract,nteract,nteract.io,https://nteract.io/,nteract/nteract,,,2026-06-29T23:07:54+00:00
NumPy,numpy,numpy.org,https://www.numpy.org/,numpy/numpy,,,2026-06-29T23:07:54+00:00
Open Journals,open-journals,theoj.org,https://www.theoj.org/,,,,2026-06-29T23:07:54+00:00
OpenFHE,openfhe,fonts.gstatic.com,https://fonts.gstatic.com,,,,2026-06-29T23:07:54+00:00
OpenMBEE,openmbee,openmbee.org,https://www.openmbee.org,,,,2026-06-29T23:07:54+00:00
OpenProblems.bio,openproblemsbio,openproblems.bio,https://openproblems.bio,openproblems-bio/openproblems,,,2026-06-29T23:07:54+00:00
pandas,pandas,pandas.pydata.org,https://pandas.pydata.org/,,,,2026-06-29T23:07:54+00:00
Pangeo,pangeo,pangeo.io,https://pangeo.io,,,,2026-06-29T23:07:54+00:00
Parsl,parsl,parsl-project.org,https://parsl-project.org,Parsl/parsl,,,2026-06-29T23:07:54+00:00
PETSc,petsc,petsc.org,https://petsc.org,,,,2026-06-29T23:07:54+00:00
PyBaMM,pybamm,pybamm.org,https://www.pybamm.org,pybamm-team/PyBaMM,,,2026-06-29T23:07:54+00:00
PyMC,pymc,docs.pymc.io,https://docs.pymc.io/,pymc-devs/pymc,,,2026-06-29T23:07:54+00:00
PyTables,pytables,pytables.org,https://www.pytables.org/,,,,2026-06-29T23:07:54+00:00
QuantEcon,quantecon,quantecon.org,https://quantecon.org/,,,,2026-06-29T23:07:54+00:00
rOpenSci,ropensci,ropensci.org,https://ropensci.org/,,,,2026-06-29T23:07:54+00:00
Scientific Python,scientific-python,scientific-python.org,https://scientific-python.org/,,,,2026-06-29T23:07:54+00:00
scikit-image,scikit-image,scikit-image.org,https://scikit-image.org/,,,,2026-06-29T23:07:54+00:00
scikit-learn,scikit-learn,scikit-learn.org,https://scikit-learn.org/stable/,,,,2026-06-29T23:07:54+00:00
SciML,sciml,sciml.ai,https://sciml.ai/,,,,2026-06-29T23:07:54+00:00
SciPy,scipy,scipy.org,https://scipy.org/,,,,2026-06-29T23:07:54+00:00
scverse,scverse,scverse.org,https://scverse.org,,,,2026-06-29T23:07:54+00:00
sgkit,sgkit,pystatgen.github.io,https://pystatgen.github.io/sgkit,pystatgen/sgkit,,,2026-06-29T23:07:54+00:00
Spyder,spyder,spyder-ide.org,https://www.spyder-ide.org/,spyder-ide/spyder,,,2026-06-29T23:07:54+00:00
Stan,stan,mc-stan.org,https://mc-stan.org/,,,,2026-06-29T23:07:54+00:00
SunPy,sunpy,sunpy.org,https://sunpy.org/,,,,2026-06-29T23:07:54+00:00
SymPy,sympy,sympy.org,https://www.sympy.org/en/index.html,sympy/sympy,,,2026-06-29T23:07:54+00:00
TARDIS,tardis,tardis-sn.github.io,https://tardis-sn.github.io/tardis/,,,,2026-06-29T23:07:54+00:00
Vega,vega,vega.github.io,https://vega.github.io/,,,,2026-06-29T23:07:54+00:00
WorldWide Telescope,worldwide-telescope,worldwidetelescope.org,https://worldwidetelescope.org/home/,,,,2026-06-29T23:07:54+00:00
xarray,xarray,xarray.pydata.org,https://xarray.pydata.org,,,,2026-06-29T23:07:54+00:00
yt,yt,yt-project.org,https://yt-project.org/,,,,2026-06-29T23:07:54+00:00
Zarr,zarr,zarr.readthedocs.io,https://zarr.readthedocs.io/,,,,2026-06-29T23:07:54+00:00
