repo,host,host_type,gh_user,owner,owner_type,oc_slug,paypal
facebook/react,react.foundation,nonprofit,facebook,meta.com,company,,
rust-lang/rust,rustfoundation.org,nonprofit,rust-lang,,,,
langchain-ai/langchain,,,langchain-ai,langchain.com,company,,
mui/material-ui,,,mui,mui.com,company,mui-org,
protocolbuffers/protobuf,,,protocolbuffers,google.com,company,,
angular/angular-cli,,,angular,google.com,company,,
facebook/zstd,,,facebook,meta.com,company,,
radix-ui/primitives,,,radix-ui,workos.com,company,,
adobe/react-spectrum,,,adobe,adobe.com,company,,
torvalds/linux,linuxfoundation.org,nonprofit,torvalds,,,,
git/git,sfconservancy.org,nonprofit,git,,,,
certbot/certbot,eff.org,nonprofit,certbot,,,,
libuv/libuv,openjsf.org,nonprofit,libuv,,,,
sqlite/sqlite,sqlite.org,,sqlite,hwaci.com,company,,
socketio/socket.io,,,socketio,,,socketio,
facebook/create-react-app,,,facebook,meta.com,company,create-react-app,
facebook/watchman,,,facebook,meta.com,company,,
facebook/metro,,,facebook,meta.com,company,,
microsoft/typescript,,,microsoft,microsoft.com,company,,
microsoft/windows-rs,,,microsoft,microsoft.com,company,,
microsoft/tslib,,,microsoft,microsoft.com,company,,
azure/azure-sdk-for-python,,,azure,microsoft.com,company,,
azure/azure-sdk-for-js,,,azure,microsoft.com,company,,
google/brotli,,,google,google.com,company,,
google/zerocopy,,,google,google.com,company,,
googlechrome/workbox,,,googlechrome,google.com,company,,
googleapis/google-cloud-python,,,googleapis,google.com,company,,
aws/aws-cli,,,aws,amazon.com,company,,
aws/aws-sdk-js-v3,,,aws,amazon.com,company,,
aws/aws-sdk-js-crypto-helpers,,,aws,amazon.com,company,,
vercel/ai,,,vercel,vercel.com,company,,
vercel/ms,,,vercel,vercel.com,company,,
remix-run/react-router,,,remix-run,shopify.com,company,,
getsentry/sentry-javascript,,,getsentry,sentry.io,company,,
netflix/vmaf,,,netflix,netflix.com,company,,
huggingface/huggingface_hub,,,huggingface,huggingface.co,company,,
cloudflare/cloudflare-python,,,cloudflare,cloudflare.com,company,,
pydantic/pydantic,,,pydantic,pydantic.dev,company,,
astral-sh/ruff,,,astral-sh,openai.com,company,astral-sh,
storybookjs/storybook,,,storybookjs,chromatic.com,company,storybook,
ronaldoussoren/pyobjc,,,ronaldoussoren,,,,https://www.paypal.com/paypalme/RonaldOussoren
