repo,repo_id,git_url,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
definitelytyped/definitelytyped,gh/6093316,https://github.com/definitelytyped/definitelytyped.git,2025,17207,6842920,5574242,12417162,65486,types/arcgis-js-api/index.d.ts,749218,310.8,2026-05-03T17:22:01Z
cloudflare/cloudflare-python,gh/753271547,https://github.com/cloudflare/cloudflare-python.git,2025,6147,4785718,3810098,8595816,12529,src/cloudflare/resources/origin_post_quantum_encryption.py,62670,53.9,2026-05-03T17:22:01Z
grpc/grpc,gh/27729880,https://github.com/grpc/grpc.git,2025,9557,4145447,3628040,7773487,12115,test/cpp/end2end/xds/xds_end2end_test.cc,75270,265.3,2026-05-18T00:11:16Z
chardet/chardet,gh/5196969,https://github.com/chardet/chardet.git,2025,177,3553395,3298957,6852352,96,chardet/langrussianmodel.py,476559,30.2,2026-05-03T17:22:01Z
octokit/openapi-types.ts,gh/304109193,https://github.com/octokit/openapi-types.ts.git,2025,467,3504342,2596626,6100968,39,packages/openapi-types-github.ae/types.d.ts,605164,69.6,2026-05-03T17:22:01Z
protocolbuffers/protobuf,gh/23357588,https://github.com/protocolbuffers/protobuf.git,2025,11698,2955948,2777687,5733635,4816,php/ext/google/protobuf/php-upb.c,281490,176.6,2026-05-18T00:11:16Z
apache/arrow,gh/51905353,https://github.com/apache/arrow.git,2025,10137,2376983,2145281,4522264,7725,go/arrow/compute/internal/kernels/_lib/scalar_comparison_avx2_amd64.s,135526,102.5,2026-05-03T17:22:01Z
astral-sh/ruff,gh/523043277,https://github.com/astral-sh/ruff.git,2025,13424,2645776,1803457,4449233,14522,crates/ruff_python_parser/src/python.rs,441558,55.7,2026-05-03T17:22:01Z
langchain-ai/langchain,gh/552661142,https://github.com/langchain-ai/langchain.git,2025,14906,1586335,1267884,2854219,9803,libs/core/langchain_core/runnables/base.py,15923,208.3,2026-05-03T17:22:01Z
scipy/scipy,gh/1460385,https://github.com/scipy/scipy.git,2025,9378,1014133,935849,1949982,3118,scipy/interpolate/src/dfitpack.c,27008,130.4,2026-05-03T17:22:01Z
systemd/systemd,gh/32873313,https://github.com/systemd/systemd.git,2025,31742,1048088,681327,1729415,3748,src/partition/repart.c,22173,293.8,2026-05-18T00:11:16Z
getsentry/sentry-javascript,gh/3328572,https://github.com/getsentry/sentry-javascript.git,2025,8042,1034814,652724,1687538,10201,packages/deno/lib.deno.d.ts,27640,171.6,2026-05-03T17:22:01Z
apache/arrow-rs,gh/358917250,https://github.com/apache/arrow-rs.git,2025,4680,862994,573282,1436276,1287,arrow-cast/src/cast.rs,28760,21.8,2026-05-03T17:22:01Z
numpy/numpy,gh/908607,https://github.com/numpy/numpy.git,2025,10810,771871,651294,1423165,2209,numpy/core/src/umath/svml/svml_z0_tan_d_la.s,40438,127.4,2026-05-03T17:22:01Z
gitoxidelabs/gitoxide,gh/136510559,https://github.com/gitoxidelabs/gitoxide.git,2025,11911,787574,577929,1365503,3728,gix-dir/tests/walk/mod.rs,10574,86.4,2026-05-03T17:22:01Z
alexhuszagh/rust-lexical,gh/155286170,https://github.com/alexhuszagh/rust-lexical.git,2025,554,497808,845198,1343006,855,benches/atoi.rs,134297,76.1,2026-05-03T17:22:01Z
eslint/eslint,gh/11061773,https://github.com/eslint/eslint.git,2025,2755,694387,553784,1248171,1272,tests/lib/linter/linter.js,81898,19.9,2026-05-03T17:22:01Z
googleapis/google-cloud-node-core,gh/1052931509,https://github.com/googleapis/google-cloud-node-core.git,2025,2421,918262,324197,1242459,1081,generator/gapic-generator-typescript/test-fixtures/google-cloud-speech/protos/protos.js,72485,16.8,2026-05-03T17:22:01Z
openssl/openssl,gh/7634677,https://github.com/openssl/openssl.git,2025,10877,808616,426109,1234725,2672,crypto/ec/ecp_nistz256_table.c,24407,249.3,2026-05-03T17:22:01Z
bminor/glibc,gh/13868694,https://github.com/bminor/glibc.git,2025,6645,664435,551202,1215637,16526,sysdeps/x86_64/fpu/multiarch/svml_d_tan2_core_sse4.S,18418,156.1,2026-05-03T17:22:01Z
python/typeshed,gh/31696383,https://github.com/python/typeshed.git,2025,7301,698124,433246,1131370,8878,stubs/pywin32/win32/lib/win32con.pyi,14449,11.5,2026-05-03T17:22:01Z
vercel/ai,gh/644461337,https://github.com/vercel/ai.git,2025,5450,746845,379399,1126244,4949,packages/ai/core/generate-text/stream-text.test.ts,45420,182.5,2026-05-03T17:22:01Z
ronaldoussoren/pyobjc,gh/243933900,https://github.com/ronaldoussoren/pyobjc.git,2025,1363,734171,344589,1078760,4358,pyobjc-core/PyObjCTest/test_vectorcall.py,104820,152.4,2026-05-03T17:22:01Z
smithy-lang/smithy-rs,gh/308027791,https://github.com/smithy-lang/smithy-rs.git,2025,2906,659715,392833,1052548,3094,codegen-server/src/main/kotlin/software/amazon/smithy/rust/codegen/server/smithy/generators/protocol/ServerProtocolTestGenerator.kt,7182,50.9,2026-05-03T17:22:01Z
pandas-dev/pandas,gh/858127,https://github.com/pandas-dev/pandas.git,2025,11474,579750,408977,988727,1689,pandas/core/frame.py,20325,282.9,2026-05-03T17:22:01Z
babel/babel,gh/24560307,https://github.com/babel/babel.git,2025,3156,530726,408029,938755,18490,packages/babel-plugin-transform-regenerator/test/fixtures/misc/regenerator-tests-babel-7/output.js,12406,163.2,2026-05-03T17:22:01Z
remix-run/react-router,gh/19872456,https://github.com/remix-run/react-router.git,2025,5460,530253,352159,882412,1897,packages/router/__tests__/router-test.ts,44137,42.5,2026-05-03T17:22:01Z
firebase/firebase-js-sdk,gh/89290483,https://github.com/firebase/firebase-js-sdk.git,2025,1890,525307,356737,882044,3001,.yarn/releases/yarn-1.22.11.cjs,147406,89.1,2026-05-03T17:22:01Z
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,2025,3559,602800,246020,848820,3752,packages/@react-spectrum/table/test/Table.test.js,10210,244.9,2026-05-03T17:22:01Z
colinhacks/zod,gh/245704608,https://github.com/colinhacks/zod.git,2025,1943,427088,376290,803378,1015,deno/lib/types.ts,32812,23.3,2026-05-03T17:22:01Z
nodejs/undici,gh/133092972,https://github.com/nodejs/undici.git,2025,2648,414997,303194,718191,3451,deps/llhttp/src/llhttp.c,39383,5.7,2026-05-03T17:22:01Z
curl/curl,gh/569041,https://github.com/curl/curl.git,2025,10841,383050,318024,701074,1576,lib/vtls/openssl.c,16142,116.1,2026-05-18T00:11:16Z
eslint/js,gh/27620277,https://github.com/eslint/js.git,2025,261,360050,297210,657260,3811,packages/espree/tests/fixtures/libraries/angular-1.2.5.js,20369,93.8,2026-05-03T17:22:01Z
typescript-eslint/typescript-eslint,gh/165536154,https://github.com/typescript-eslint/typescript-eslint.git,2025,4492,358699,242100,600799,3803,packages/scope-manager/src/lib/dom.ts,15797,62.8,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-js,gh/185901023,https://github.com/open-telemetry/opentelemetry-js.git,2025,2072,345051,252490,597541,2514,semantic-conventions/src/experimental_attributes.ts,31245,31.1,2026-05-03T17:22:01Z
sqlalchemy/sqlalchemy,gh/159271175,https://github.com/sqlalchemy/sqlalchemy.git,2025,3141,384075,205221,589296,862,test/orm/test_deprecations.py,17684,55.7,2026-05-03T17:22:01Z
formatjs/formatjs,gh/19117456,https://github.com/formatjs/formatjs.git,2025,2348,472109,110413,582522,1224,packages/intl-relativetimeformat/test262-main.ts,182834,38.3,2026-05-03T17:22:01Z
python/mypy,gh/7053637,https://github.com/python/mypy.git,2025,3811,362695,218489,581184,1882,mypy/checker.py,13947,86.2,2026-05-03T17:22:01Z
