repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
10der/homeassistant-custom_components-awtrix,748539167,ok,6,55,0.7,,2026-05-19T11:22:35+00:00
7rulnik/source-map-js,330043541,ok,76,506,0.8,,2026-05-19T11:22:35+00:00
acornjs/acorn,5932749,ok,154,1528,1.1,,2026-05-19T11:22:35+00:00
acornjs/acorn-jsx,22187098,ok,55,489,0.8,,2026-05-19T11:22:35+00:00
adobe/react-spectrum,208362715,ok,539,6227,9.4,,2026-05-19T11:22:35+00:00
agronholm/anyio,145337588,ok,81,1295,1.0,,2026-05-19T11:22:35+00:00
agronholm/exceptiongroup,447694800,ok,11,209,0.9,,2026-05-19T11:22:35+00:00
ai/nanoid,99401299,ok,156,1199,1.4,,2026-05-19T11:22:35+00:00
aio-libs/aiobotocore,36618494,ok,84,969,1.3,,2026-05-19T11:22:35+00:00
aio-libs/aiohttp,13258039,ok,886,12301,7.9,,2026-05-19T11:22:35+00:00
aio-libs/aiosignal,205007356,ok,14,800,0.6,,2026-05-19T11:22:36+00:00
aio-libs/async-timeout,67703198,ok,29,406,0.7,,2026-05-19T11:22:36+00:00
aio-libs/frozenlist,204197530,ok,26,924,0.6,,2026-05-19T11:22:36+00:00
aio-libs/multidict,51206425,ok,71,1632,0.7,,2026-05-19T11:22:36+00:00
aio-libs/propcache,866565706,ok,17,218,22.0,,2026-05-19T11:22:37+00:00
aio-libs/yarl,64756820,ok,121,1896,1.1,,2026-05-19T11:22:37+00:00
ajv-validator/ajv,35914020,ok,223,2290,1.0,,2026-05-19T11:22:37+00:00
ajv-validator/ajv-formats,281084700,ok,11,90,0.5,,2026-05-19T11:22:37+00:00
ajv-validator/ajv-keywords,60477053,ok,29,306,0.6,,2026-05-19T11:22:37+00:00
alexcrichton/tar-rs,21946092,ok,88,485,0.5,,2026-05-19T11:22:38+00:00
alexei/sprintf.js,9175790,ok,29,198,0.5,,2026-05-19T11:22:38+00:00
alexeyraspopov/picocolors,410740124,ok,16,74,0.6,,2026-05-19T11:22:38+00:00
alexhuszagh/rust-lexical,155286170,ok,29,911,0.6,,2026-05-19T11:22:38+00:00
alexindigo/asynckit,59087459,ok,2,27,0.6,,2026-05-19T11:22:38+00:00
amanieu/parking_lot,58731560,ok,129,707,1.1,,2026-05-19T11:22:38+00:00
andialbrecht/sqlparse,4067434,ok,126,1212,1.2,,2026-05-19T11:22:38+00:00
andrewrk/node-pend,11836813,ok,1,13,0.5,,2026-05-19T11:22:39+00:00
andyperlitch/jsbn,9710533,ok,11,18,0.7,,2026-05-19T11:22:39+00:00
angular/angular-cli,36891867,ok,862,18393,2.1,,2026-06-28T14:47:38+00:00
annotated-types/annotated-types,487934134,ok,22,81,0.7,,2026-05-19T11:22:40+00:00
antonk52/lilconfig,238967485,ok,14,122,2.6,,2026-05-19T11:22:40+00:00
apache/airflow,33884891,ok,4448,37251,32.5,,2026-05-19T11:22:40+00:00
apache/arrow,51905353,ok,1636,18826,7.4,,2026-05-19T11:22:40+00:00
apache/arrow-rs,358917250,ok,888,7647,5.6,,2026-05-19T11:22:40+00:00
archlinux/linux,142707813,timeout,,,,clone or git log exceeded timeout,2026-05-19T11:22:41+00:00
ardatan/graphql-tools,54432168,ok,442,7094,15.7,,2026-05-19T11:22:41+00:00
ardatan/whatwg-node,429511342,ok,34,3222,3.5,,2026-05-19T11:22:42+00:00
assert-rs/snapbox,424722460,ok,22,1097,0.9,,2026-05-19T11:22:43+00:00
astral-sh/ruff,523043277,ok,910,15254,6.2,,2026-05-19T11:22:45+00:00
auth0/node-jwa,8116861,ok,16,82,1.7,,2026-05-19T11:22:45+00:00
autotools-mirror/autoconf,47662429,ok,160,7088,1.5,,2026-05-19T11:22:46+00:00
autotools-mirror/libtool,47662711,ok,371,4516,1.5,,2026-05-19T11:22:46+00:00
autotools-mirror/m4,66880383,ok,16,708,0.7,,2026-05-19T11:22:47+00:00
aws/aws-cli,6780767,ok,546,9166,3.3,,2026-05-19T11:22:47+00:00
aws/aws-sdk-js-crypto-helpers,149673986,ok,32,255,0.8,,2026-05-19T11:22:48+00:00
aws/aws-sdk-js-v3,87228090,ok,188,12375,2.7,,2026-05-19T11:22:48+00:00
axios/axios,23088740,ok,637,1830,1.1,,2026-05-19T11:22:48+00:00
azure/azure-sdk-for-js,108311273,ok,668,19870,17.6,,2026-05-19T11:22:49+00:00
azure/azure-sdk-for-python,4127088,ok,983,21420,19.5,,2026-05-19T11:22:49+00:00
azuread/microsoft-authentication-library-for-python,67243113,ok,52,851,2.4,,2026-05-19T11:22:51+00:00
babel/babel,24560307,ok,1312,17119,5.6,,2026-05-19T11:22:51+00:00
babel/babel-polyfills,190579283,ok,27,443,1.2,,2026-05-19T11:22:52+00:00
bdwgc/bdwgc,2109456,ok,214,6477,3.6,,2026-05-19T11:22:53+00:00
beatgammit/base64-js,2853282,ok,17,133,0.7,,2026-05-19T11:22:54+00:00
benjaminp/six,77868600,ok,70,504,0.8,,2026-05-19T11:22:55+00:00
besser82/libxcrypt,35503965,ok,27,857,0.6,,2026-05-19T11:22:55+00:00
bitflags/bitflags,29287955,ok,95,537,0.9,,2026-05-19T11:22:57+00:00
blakeembrey/array-flatten,17789771,ok,8,70,0.7,,2026-05-19T11:22:57+00:00
blakeembrey/change-case,9440238,ok,25,319,0.9,,2026-05-19T11:22:57+00:00
bluss/bencher,65987276,ok,4,42,0.8,,2026-05-19T11:22:58+00:00
bminor/glibc,13868694,ok,994,43216,4.1,,2026-06-28T17:38:40+00:00
boto/boto3,24774658,ok,185,5156,17.2,,2026-05-19T11:22:59+00:00
boto/botocore,6670942,ok,251,9451,11.9,,2026-05-19T11:22:59+00:00
boto/s3transfer,49535299,ok,54,544,1.6,,2026-05-19T11:22:59+00:00
braveg1rl/performance-now,336187529,ok,1,1,0.9,,2026-05-19T11:23:00+00:00
brianc/node-postgres,991475,ok,394,2573,1.0,,2026-05-19T11:23:00+00:00
broofa/mime,534940,ok,57,342,2.8,,2026-05-19T11:23:01+00:00
browserify/events,1649251,ok,17,122,0.7,,2026-05-19T11:23:01+00:00
browserify/node-util,14568009,ok,12,143,1.2,,2026-05-19T11:23:01+00:00
browserify/randombytes,29300004,ok,10,46,1.7,,2026-05-19T11:23:01+00:00
browserify/resolve,1915099,ok,66,691,1.0,,2026-05-19T11:23:02+00:00
browserslist/browserslist,27971466,ok,203,1518,1.2,,2026-05-19T11:23:04+00:00
browserslist/caniuse-lite,80221890,ok,19,1722,0.8,,2026-05-19T11:23:04+00:00
browserslist/update-db,505548145,ok,15,160,2.7,,2026-05-19T11:23:04+00:00
burntsushi/aho-corasick,37290678,ok,35,295,0.6,,2026-05-19T11:23:05+00:00
burntsushi/jiff,759017108,ok,47,634,0.8,,2026-05-19T11:23:05+00:00
burntsushi/memchr,37290652,ok,51,261,0.7,,2026-05-19T11:23:06+00:00
burntsushi/quickcheck,17559913,ok,99,561,0.9,,2026-05-19T11:23:07+00:00
burntsushi/same-file,78375612,ok,16,58,1.0,,2026-05-19T11:23:07+00:00
burntsushi/termcolor,141345580,ok,195,977,0.7,,2026-05-19T11:23:07+00:00
burntsushi/ucd-generate,123997498,ok,16,176,0.9,,2026-05-19T11:23:08+00:00
burntsushi/walkdir,42685794,ok,42,185,0.8,,2026-05-19T11:23:08+00:00
burntsushi/winapi-util,146040682,ok,7,35,0.6,,2026-05-19T11:23:09+00:00
businho/pytest-ruff,599731435,ok,7,39,0.7,,2026-05-19T11:23:09+00:00
bytecodealliance/rustix,295544240,ok,132,2207,1.4,,2026-05-19T11:23:09+00:00
bytecodealliance/wasi-rs,196445196,ok,30,148,5.5,,2026-05-19T11:23:09+00:00
c-ares/c-ares,571708,ok,192,2947,1.8,,2026-05-19T11:23:10+00:00
calvinmetcalf/minimalistic-assert,29144257,ok,2,3,0.7,,2026-05-19T11:23:10+00:00
calvinmetcalf/process-nextick-args,36039131,ok,10,27,1.1,,2026-05-19T11:23:10+00:00
caolan/async,698041,ok,284,1603,1.1,,2026-05-19T11:23:11+00:00
certbot/certbot,26516210,ok,602,9105,27.3,,2026-05-19T11:23:11+00:00
certifi/python-certifi,3060959,ok,43,303,0.8,,2026-05-19T11:23:11+00:00
chaijs/type-detect,12107007,ok,20,129,0.8,,2026-05-19T11:23:12+00:00
chalk/ansi-regex,20451415,ok,20,63,1.0,,2026-05-19T11:23:12+00:00
chalk/ansi-styles,11803168,ok,25,114,0.7,,2026-05-19T11:23:12+00:00
chalk/chalk,11855195,ok,77,348,0.7,,2026-05-19T11:23:13+00:00
chalk/slice-ansi,43191689,ok,12,69,1.2,,2026-05-19T11:23:13+00:00
