repo,repo_id,git_url,commit_sha,metric,value,checked_at
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,binary_artifacts,10,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,branch_protection,3,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,cii_best_practices,0,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,code_review,2,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,dangerous_workflow,-1,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,fuzzing,0,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,license,9,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,maintained,7,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,packaging,-1,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,pinned_dependencies,-1,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,sast,0,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,score,3.8,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,security_policy,0,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,signed_releases,-1,2026-04-20T00:00:00Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,476086f1ec7146153195e493a562192f4202ae83,token_permissions,-1,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,binary_artifacts,10,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,branch_protection,0,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,cii_best_practices,0,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,code_review,3,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,dangerous_workflow,10,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,fuzzing,0,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,license,0,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,maintained,10,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,packaging,-1,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,pinned_dependencies,3,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,sast,0,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,score,5,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,security_policy,0,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,signed_releases,-1,2026-04-20T00:00:00Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,3f40dbe68408f95c4502b2a03127f91d7c563503,token_permissions,10,2026-04-20T00:00:00Z
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,binary_artifacts,10,2026-04-20T00:00:00Z
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,branch_protection,0,2026-04-20T00:00:00Z
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,cii_best_practices,0,2026-04-20T00:00:00Z
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,code_review,4,2026-04-20T00:00:00Z
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,dangerous_workflow,-1,2026-04-20T00:00:00Z
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,fuzzing,0,2026-04-20T00:00:00Z
