repo,repo_id,commit_sha,metric,value,checked_at
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,cognitive_avg,4.53,2026-05-03T19:04:09Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,cognitive_max,24,2026-05-03T19:04:09Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,cognitive_total,86,2026-05-03T19:04:09Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,cyclomatic_avg,3.79,2026-05-18T18:14:54Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,cyclomatic_max,12,2026-05-18T18:14:54Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,cyclomatic_total,72,2026-05-18T18:14:54Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,files,5,2026-05-18T18:14:54Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,halstead_bugs,6.7,2026-05-03T19:07:08Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,halstead_difficulty,113.1,2026-05-03T19:07:08Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,halstead_effort,2271704.96,2026-05-03T19:07:08Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,halstead_volume,20086.26,2026-05-03T19:07:08Z
10der/homeassistant-custom_components-awtrix,748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,maintainability_index,58.3,2026-05-03T19:07:08Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,cognitive_avg,1.5,2026-07-05T16:27:36Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,cognitive_max,38,2026-07-05T16:27:36Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,cognitive_total,593,2026-07-05T16:27:36Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,cyclomatic_avg,2.07,2026-05-18T18:14:54Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,cyclomatic_max,29,2026-05-18T18:14:54Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,cyclomatic_total,818,2026-05-18T18:14:54Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,files,43,2026-07-05T16:27:36Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,halstead_bugs,135.98,2026-05-03T19:07:08Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,halstead_difficulty,220.62,2026-05-03T19:07:08Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,halstead_effort,90003744.96,2026-05-03T19:07:08Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,halstead_volume,407953.7,2026-05-03T19:07:08Z
7rulnik/source-map-js,330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,maintainability_index,64.75,2026-05-03T19:07:08Z
acornjs/acorn,5932749,54097dcf8c08733695df7168692d0faac3a2f768,cognitive_avg,2.28,2026-07-05T16:27:36Z
