repo,repo_id,commit_sha,metric,value,checked_at
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_correctness,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_error,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_info,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_performance,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_security,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_total,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.findings_warning,0,2026-05-03T23:21:07Z
10der/homeassistant-custom_components-awtrix,gh/748539167,a23e457df59bcf8478ee91b43c5602337f30bf29,p_default.top_rule_count,0,2026-05-03T23:21:07Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_correctness,0,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_error,0,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_info,0,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_performance,0,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_security,1,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_total,1,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.findings_warning,1,2026-05-03T23:21:44Z
7rulnik/source-map-js,gh/330043541,428d49f6b1e1614f082b7706fa879a3d9c64f728,p_default.top_rule_count,1,2026-05-03T23:21:44Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_correctness,0,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_error,0,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_info,0,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_performance,0,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_security,3,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_total,3,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.findings_warning,3,2026-05-03T23:57:01Z
acornjs/acorn,gh/5932749,54097dcf8c08733695df7168692d0faac3a2f768,p_default.top_rule_count,2,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_correctness,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_error,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_info,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_performance,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_security,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_total,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.findings_warning,0,2026-05-03T23:57:01Z
acornjs/acorn-jsx,gh/22187098,8ed96d6ddec2065204ba07d924bb2e7bca539ea6,p_default.top_rule_count,0,2026-05-03T23:57:01Z
adobe/react-spectrum,gh/208362715,5670b2accb4d40be8eb1b2c916a563a861de8ba3,p_default.findings_correctness,0,2026-05-03T23:57:01Z
