url,valid,method,checked_at
git://anonscm.debian.org/cgit/collab-maint/portmidi.git/,False,ls-remote,2026-05-17T23:15:11Z
git://cgit.freedesktop.org/gstreamer/orc,False,ls-remote,2026-05-17T23:15:11Z
git://code.qt.io/cgit/pyside/pyside-setup.git/tree/doc/changelogs,False,ls-remote,2026-05-17T23:15:11Z
git://code.qt.io/qt/qt5.git,True,ls-remote,2026-06-28T13:20:44Z
git://git.altlinux.org/people/ldv/packages/?p=libutempter.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.code.sf.net/p/giflib/code,True,ls-remote,2026-04-27T20:41:04Z
git://git.code.sf.net/p/net-snmp/code,True,ls-remote,2026-04-27T20:41:04Z
git://git.code.sf.net/p/opencore-amr/code,True,ls-remote,2026-04-27T20:41:04Z
git://git.coolaj86.com/coolaj86/atob.js.git,False,ls-remote,2026-07-06T10:53:22Z
git://git.coolaj86.com/coolaj86/btoa.js.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.coolaj86.com/coolaj86/remedial.js,False,ls-remote,2026-05-17T23:15:11Z
git://git.debian.org/?p=users/ron/libao.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.ffmpeg.org/rtmpdump.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.gnu.org.ua/gdbm.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.gnunet.org/libmicrohttpd.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.gnupg.org/libgpg-error.git,True,ls-remote,2026-05-31T23:17:28Z
git://git.hadrons.org/cgit/debian/pkgs/acl.git,False,ls-remote,2026-04-27T20:50:59Z
git://git.hadrons.org/cgit/debian/pkgs/attr.git,False,ls-remote,2026-06-28T19:52:26Z
git://git.hadrons.org/cgit/debian/pkgs/inetutils.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.hadrons.org/cgit/debian/pkgs/libbsd.git,False,ls-remote,2026-06-28T19:52:26Z
git://git.hadrons.org/cgit/debian/pkgs/libmd.git,False,ls-remote,2026-06-28T19:52:26Z
git://git.iximeow.net/yaxpeax-arch/,False,ls-remote,2026-05-17T23:15:11Z
git://git.iximeow.net/yaxpeax-arm/,False,ls-remote,2026-05-17T23:15:11Z
git://git.jff.email/cgit/libunistring.git,False,ls-remote,2026-04-27T20:50:59Z
git://git.jff.email/cgit/sane-backends.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.jff.email/cgit/shotwell.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.kernel.org/pub/scm/fs/fsverity/fsverity-utils.git,True,ls-remote,2026-05-17T23:15:11Z
git://git.kernel.org/pub/scm/libs/ieee1394/libraw1394.git,True,ls-remote,2026-04-27T20:50:59Z
git://git.kernel.org/pub/scm/libs/klibc/klibc.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/libs/libcap/libcap.git/,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/linux/kernel/git/dhowells/keyutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/utils/dash/dash.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/utils/dtc/dtc.git,True,ls-remote,2026-05-17T23:15:11Z
git://git.kernel.org/pub/scm/utils/kernel/kmod/kmod.git/,True,ls-remote,2026-04-27T20:41:04Z
git://git.kernel.org/pub/scm/utils/pciutils/pciutils.git/,True,ls-remote,2026-04-27T20:41:04Z
git://git.kolab.org/diffusion/lkx/,False,ls-remote,2026-05-17T23:15:11Z
git://git.libreoffice.org/core,False,ls-remote,2026-05-17T23:15:11Z
git://git.linux-nfs.org/projects/steved/libtirpc.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.lysator.liu.se/nettle/nettle,False,ls-remote,2026-06-28T13:20:44Z
git://git.netfilter.org/iptables/,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libmnl/,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libnetfilter_conntrack/,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libnfnetlink,True,ls-remote,2026-04-27T20:41:04Z
git://git.netfilter.org/libnftnl,True,ls-remote,2026-04-27T20:41:04Z
git://git.ortolo.eu/pkg-libasyncns.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.osgeo.org/gitea/geos/geos.git,False,ls-remote,2026-05-17T23:15:11Z
git://git.osgeo.org/gitea/rttopo/librttopo,False,ls-remote,2026-05-17T23:15:11Z
git://git.samba.org/samba.git,True,ls-remote,2026-05-17T23:15:11Z
git://git.savannah.gnu.org/automake.git,True,ls-remote,2026-07-06T10:53:22Z
git://git.savannah.gnu.org/bash.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/cpio.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/diffutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/findutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/gettext.git,True,ls-remote,2026-05-31T17:41:31Z
git://git.savannah.gnu.org/grep.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/groff.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/grub.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/guile.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/gzip.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/libidn.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/libunistring.git,True,ls-remote,2026-05-31T23:17:28Z
git://git.savannah.gnu.org/make.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/nano.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/patch.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/readline.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/sed.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/tar.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/texinfo.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.savannah.gnu.org/wget.git,True,ls-remote,2026-06-28T13:20:44Z
git://git.savannah.nongnu.org/acl.git,True,ls-remote,2026-05-31T23:17:28Z
git://git.savannah.nongnu.org/attr.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.sr.ht/~alip/lexis,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~alip/syd,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~ilkecan/indent-rs,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~kvsari/derive-getters,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~mcepl/m2crypto,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~nkeor/human_bytes,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~tdeo/serde_bare,False,ls-remote,2026-07-06T10:53:22Z
git://git.unturf.com/python/nested-lookup,False,ls-remote,2026-05-17T23:15:11Z
git://git.woa.com/tencent-cloud-datalake/goosefs-client-rust,False,ls-remote,2026-07-06T10:53:22Z
git://git.zapb.de/libjaylink/libjaylink,False,ls-remote,2026-05-17T23:15:11Z
git://jugit.fz-juelich.de/mlz/libcerf,False,ls-remote,2026-05-17T23:15:11Z
git://sourceware.org/git/binutils-gdb.git,True,ls-remote,2026-05-31T23:17:28Z
git://sourceware.org/git/bzip2.git,True,ls-remote,2026-04-27T20:41:04Z
git://sourceware.org/git/debugedit.git,True,ls-remote,2026-05-17T23:15:11Z
git://sourceware.org/git/elfutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://sourceware.org/git/lvm2.git,True,ls-remote,2026-04-27T20:41:04Z
git://thekelleys.org.uk/dnsmasq.git,True,ls-remote,2026-05-17T23:15:11Z
git://xenbits.xen.org/git-http/xen.git,False,ls-remote,2026-05-17T23:15:11Z
https://aomedia.googlesource.com/aom.git,True,ls-remote,2026-04-27T20:41:04Z
