repo,repo_id,git_url,login,contributions,account_type
10der/homeassistant-custom_components-awtrix,gh/748539167,https://github.com/10der/homeassistant-custom_components-awtrix.git,10der,49,User
10der/homeassistant-custom_components-awtrix,gh/748539167,https://github.com/10der/homeassistant-custom_components-awtrix.git,rdg88,6,User
10der/homeassistant-custom_components-awtrix,gh/748539167,https://github.com/10der/homeassistant-custom_components-awtrix.git,apmillen,2,User
10der/homeassistant-custom_components-awtrix,gh/748539167,https://github.com/10der/homeassistant-custom_components-awtrix.git,daath,1,User
10der/homeassistant-custom_components-awtrix,gh/748539167,https://github.com/10der/homeassistant-custom_components-awtrix.git,jokerigno,1,User
1g4-mirror/libunistring,gh/1165671691,https://github.com/1g4-mirror/libunistring.git,bhaible,392,User
1g4-mirror/libunistring,gh/1165671691,https://github.com/1g4-mirror/libunistring.git,ueno,27,User
1g4-mirror/libunistring,gh/1165671691,https://github.com/1g4-mirror/libunistring.git,blp,1,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,fitzgen,346,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,7rulnik,94,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,tromey,33,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,sokra,24,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,ejpbruel,17,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,lydell,15,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,usrbincc,10,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,hibnico,5,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,benthemonkey,5,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,zertosh,5,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,ai,4,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,dmurat,4,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,campd,4,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,ryanseddon,4,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,simenb,3,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,michaelficarra,3,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,rinon,3,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,mishoo,3,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,evanw,3,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,jgoz,3,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,ashaffer,2,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,twolfson,2,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,dragomirtitian,2,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,roblourens,2,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,jryans,2,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,harthur,2,User
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,glasser,2,User
