repo,repo_id,git_url,status,n_contributors,fetched_at
10der/homeassistant-custom_components-awtrix,gh/748539167,https://github.com/10der/homeassistant-custom_components-awtrix.git,ok,5,2026-05-19T11:23:38+00:00
1g4-mirror/libunistring,gh/1165671691,https://github.com/1g4-mirror/libunistring.git,ok,3,2026-07-13T20:12:55+00:00
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,ok,63,2026-05-19T11:23:41+00:00
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,ok,124,2026-05-19T11:23:42+00:00
acornjs/acorn-jsx,gh/22187098,https://github.com/acornjs/acorn-jsx.git,ok,45,2026-05-19T11:23:52+00:00
adobe/react-spectrum,gh/208362715,https://github.com/adobe/react-spectrum.git,ok,404,2026-05-19T11:23:55+00:00
agronholm/anyio,gh/145337588,https://github.com/agronholm/anyio.git,ok,78,2026-05-19T11:23:54+00:00
agronholm/exceptiongroup,gh/447694800,https://github.com/agronholm/exceptiongroup.git,ok,10,2026-05-19T11:23:56+00:00
ai/nanoid,gh/99401299,https://github.com/ai/nanoid.git,ok,138,2026-05-19T11:23:56+00:00
aio-libs-abandoned/async-timeout,gh/67703198,https://github.com/aio-libs-abandoned/async-timeout.git,ok,25,2026-07-05T22:54:38+00:00
aio-libs/aiobotocore,gh/36618494,https://github.com/aio-libs/aiobotocore.git,ok,70,2026-05-19T11:23:57+00:00
aio-libs/aiohttp,gh/13258039,https://github.com/aio-libs/aiohttp.git,ok,410,2026-05-19T11:24:03+00:00
aio-libs/aiosignal,gh/205007356,https://github.com/aio-libs/aiosignal.git,ok,13,2026-05-19T11:24:00+00:00
aio-libs/async-timeout,gh/67703198,https://github.com/aio-libs-abandoned/async-timeout.git,ok,25,2026-05-19T11:24:02+00:00
aio-libs/frozenlist,gh/204197530,https://github.com/aio-libs/frozenlist.git,ok,22,2026-05-19T11:24:03+00:00
aio-libs/multidict,gh/51206425,https://github.com/aio-libs/multidict.git,ok,63,2026-05-19T11:24:04+00:00
aio-libs/propcache,gh/866565706,https://github.com/aio-libs/propcache.git,ok,16,2026-05-19T11:24:06+00:00
aio-libs/yarl,gh/64756820,https://github.com/aio-libs/yarl.git,ok,101,2026-05-19T11:24:07+00:00
ajv-validator/ajv,gh/35914020,https://github.com/ajv-validator/ajv.git,ok,193,2026-05-19T11:24:08+00:00
ajv-validator/ajv-formats,gh/281084700,https://github.com/ajv-validator/ajv-formats.git,ok,9,2026-05-19T11:24:09+00:00
ajv-validator/ajv-keywords,gh/60477053,https://github.com/ajv-validator/ajv-keywords.git,ok,19,2026-05-19T11:24:10+00:00
alexcrichton/tar-rs,gh/21946092,https://github.com/composefs/tar-rs.git,ok,81,2026-05-19T11:24:12+00:00
alexei/sprintf.js,gh/9175790,https://github.com/alexei/sprintf.js.git,ok,21,2026-05-19T11:24:13+00:00
alexeyraspopov/picocolors,gh/410740124,https://github.com/alexeyraspopov/picocolors.git,ok,12,2026-05-19T11:24:14+00:00
alexhuszagh/rust-lexical,gh/155286170,https://github.com/alexhuszagh/rust-lexical.git,ok,24,2026-05-19T11:24:15+00:00
alexindigo/asynckit,gh/59087459,https://github.com/alexindigo/asynckit.git,ok,2,2026-05-19T11:24:16+00:00
amanieu/parking_lot,gh/58731560,https://github.com/amanieu/parking_lot.git,ok,117,2026-05-19T11:24:17+00:00
andialbrecht/sqlparse,gh/4067434,https://github.com/andialbrecht/sqlparse.git,ok,92,2026-05-19T11:24:18+00:00
andrewrk/node-pend,gh/11836813,https://github.com/andrewrk/node-pend.git,ok,1,2026-05-19T11:24:21+00:00
andyperlitch/jsbn,gh/9710533,https://github.com/andyperlitch/jsbn.git,ok,8,2026-05-19T11:24:22+00:00
angular/angular-cli,gh/36891867,https://github.com/angular/angular-cli.git,ok,414,2026-07-13T16:59:52+00:00
annotated-types/annotated-types,gh/487934134,https://github.com/annotated-types/annotated-types.git,ok,21,2026-05-19T11:24:24+00:00
antonk52/lilconfig,gh/238967485,https://github.com/antonk52/lilconfig.git,ok,11,2026-05-19T11:24:24+00:00
apache/airflow,gh/33884891,https://github.com/apache/airflow.git,ok,415,2026-05-19T11:24:30+00:00
apache/arrow,gh/51905353,https://github.com/apache/arrow.git,ok,371,2026-05-19T11:24:30+00:00
apache/arrow-rs,gh/358917250,https://github.com/apache/arrow-rs.git,ok,414,2026-05-19T11:24:32+00:00
archlinux/linux,gh/142707813,https://github.com/archlinux/linux.git,error,0,2026-05-19T11:24:39+00:00
ardatan/graphql-tools,gh/54432168,https://github.com/ardatan/graphql-tools.git,ok,383,2026-05-19T11:24:34+00:00
ardatan/whatwg-node,gh/429511342,https://github.com/ardatan/whatwg-node.git,ok,33,2026-05-19T11:22:36+00:00
assert-rs/snapbox,gh/424722460,https://github.com/assert-rs/snapbox.git,ok,20,2026-05-19T11:22:36+00:00
astanin/python-tabulate,gh/205875548,https://github.com/astanin/python-tabulate.git,ok,95,2026-07-13T16:59:49+00:00
astral-sh/ruff,gh/523043277,https://github.com/astral-sh/ruff.git,ok,454,2026-05-19T11:22:39+00:00
auth0/node-jwa,gh/8116861,https://github.com/auth0/node-jwa.git,ok,14,2026-05-19T11:22:38+00:00
autotools-mirror/autoconf,gh/47662429,https://github.com/autotools-mirror/autoconf.git,ok,88,2026-05-19T11:22:38+00:00
autotools-mirror/gettext,gh/47662595,https://github.com/autotools-mirror/gettext.git,ok,49,2026-07-13T20:12:55+00:00
autotools-mirror/libtool,gh/47662711,https://github.com/autotools-mirror/libtool.git,ok,149,2026-05-19T11:22:39+00:00
autotools-mirror/m4,gh/66880383,https://github.com/autotools-mirror/m4.git,ok,13,2026-05-19T11:24:30+00:00
aws/aws-cli,gh/6780767,https://github.com/aws/aws-cli.git,ok,334,2026-05-19T11:22:41+00:00
aws/aws-sdk-js-crypto-helpers,gh/149673986,https://github.com/aws/aws-sdk-js-crypto-helpers.git,ok,27,2026-05-19T11:22:41+00:00
aws/aws-sdk-js-v3,gh/87228090,https://github.com/aws/aws-sdk-js-v3.git,ok,161,2026-05-19T11:22:42+00:00
axios/axios,gh/23088740,https://github.com/axios/axios.git,ok,444,2026-05-19T11:22:44+00:00
azure/azure-sdk-for-js,gh/108311273,https://github.com/azure/azure-sdk-for-js.git,ok,398,2026-05-19T11:22:45+00:00
