repo,repo_id,has_funding_links,has_funding_yml,funding_link_platforms,github,patreon,open_collective,ko_fi,tidelift,community_bridge,liberapay,issuehunt,lfx_crowdfunding,polar,buy_me_a_coffee,thanks_dev,otechie,custom,fetched_at
10der/homeassistant-custom_components-awtrix,gh/748539167,,,,,,,,,,,,,,,,,,2026-05-19T11:10:37+00:00
7rulnik/source-map-js,gh/330043541,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
acornjs/acorn,gh/5932749,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
acornjs/acorn-jsx,gh/22187098,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
adobe/react-spectrum,gh/208362715,False,False,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
agronholm/anyio,gh/145337588,True,True,tidelift,,,,,anyio,,,,,,,,,,2026-06-30T14:18:42+00:00
agronholm/exceptiongroup,gh/447694800,True,True,tidelift,,,,,exceptiongroup,,,,,,,,,,2026-06-30T14:18:42+00:00
ai/nanoid,gh/99401299,True,True,"github,tidelift",ai,,,,nanoid,,,,,,,,,,2026-06-30T14:18:42+00:00
aio-libs-abandoned/async-timeout,gh/67703198,False,False,,,,,,,,,,,,,,,,2026-07-06T11:10:39+00:00
aio-libs/aiobotocore,gh/36618494,True,True,"github,open_collective,tidelift","aio-libs,thehesiod",,aio-libs,,aiobotocore,,,,,,,,,,2026-06-30T14:18:42+00:00
aio-libs/aiohttp,gh/13258039,True,True,"github,open_collective,tidelift,custom","aio-libs,asvetlov,webknjaz,dreamsorcerer",,aiohttp,,aiohttp,,,,,,,,,https://opencollective.com/aio-libs,2026-06-30T14:18:42+00:00
aio-libs/aiosignal,gh/205007356,True,True,"github,open_collective,tidelift,custom","aio-libs,webknjaz,dreamsorcerer",,aio-libs,,aiohttp,,,,,,,,,https://opencollective.com/aiohttp,2026-06-30T14:18:42+00:00
aio-libs/async-timeout,gh/67703198,False,True,,,,,,,,,,,,,,,,2026-06-30T14:18:42+00:00
