repo,repo_id,year,metric,value,fetched_at
10der/homeassistant-custom_components-awtrix,gh/748539167,2021,closed_issues,0,
10der/homeassistant-custom_components-awtrix,gh/748539167,2021,opened_issues,0,
10der/homeassistant-custom_components-awtrix,gh/748539167,2022,closed_issues,0,
10der/homeassistant-custom_components-awtrix,gh/748539167,2022,opened_issues,0,
10der/homeassistant-custom_components-awtrix,gh/748539167,2023,closed_issues,0,
10der/homeassistant-custom_components-awtrix,gh/748539167,2023,opened_issues,0,
10der/homeassistant-custom_components-awtrix,gh/748539167,2024,closed_issues,5,
10der/homeassistant-custom_components-awtrix,gh/748539167,2024,opened_issues,9,
10der/homeassistant-custom_components-awtrix,gh/748539167,2025,closed_issues,3,
10der/homeassistant-custom_components-awtrix,gh/748539167,2025,opened_issues,9,
7rulnik/source-map-js,gh/330043541,2021,closed_issues,1,
7rulnik/source-map-js,gh/330043541,2021,opened_issues,4,
7rulnik/source-map-js,gh/330043541,2022,closed_issues,0,
7rulnik/source-map-js,gh/330043541,2022,opened_issues,2,
7rulnik/source-map-js,gh/330043541,2023,closed_issues,0,
7rulnik/source-map-js,gh/330043541,2023,opened_issues,0,
7rulnik/source-map-js,gh/330043541,2024,closed_issues,6,
7rulnik/source-map-js,gh/330043541,2024,opened_issues,5,
7rulnik/source-map-js,gh/330043541,2025,closed_issues,0,
7rulnik/source-map-js,gh/330043541,2025,opened_issues,1,
a11yance/aria-query,gh/79065400,2021,closed_issues,3,
a11yance/aria-query,gh/79065400,2021,opened_issues,6,
a11yance/aria-query,gh/79065400,2022,closed_issues,9,
a11yance/aria-query,gh/79065400,2022,opened_issues,7,
a11yance/aria-query,gh/79065400,2023,closed_issues,10,
a11yance/aria-query,gh/79065400,2023,opened_issues,11,
a11yance/aria-query,gh/79065400,2024,closed_issues,5,
a11yance/aria-query,gh/79065400,2024,opened_issues,7,
a11yance/aria-query,gh/79065400,2025,closed_issues,0,
a11yance/aria-query,gh/79065400,2025,opened_issues,0,
acornjs/acorn,gh/5932749,2021,closed_issues,47,
acornjs/acorn,gh/5932749,2021,opened_issues,40,
acornjs/acorn,gh/5932749,2022,closed_issues,42,
acornjs/acorn,gh/5932749,2022,opened_issues,43,
acornjs/acorn,gh/5932749,2023,closed_issues,61,
acornjs/acorn,gh/5932749,2023,opened_issues,50,
acornjs/acorn,gh/5932749,2024,closed_issues,46,
acornjs/acorn,gh/5932749,2024,opened_issues,46,
acornjs/acorn,gh/5932749,2025,closed_issues,42,
acornjs/acorn,gh/5932749,2025,opened_issues,43,
acornjs/acorn-jsx,gh/22187098,2021,closed_issues,3,
acornjs/acorn-jsx,gh/22187098,2021,opened_issues,6,
acornjs/acorn-jsx,gh/22187098,2022,closed_issues,3,
acornjs/acorn-jsx,gh/22187098,2022,opened_issues,5,
acornjs/acorn-jsx,gh/22187098,2023,closed_issues,0,
acornjs/acorn-jsx,gh/22187098,2023,opened_issues,0,
acornjs/acorn-jsx,gh/22187098,2024,closed_issues,0,
acornjs/acorn-jsx,gh/22187098,2024,opened_issues,0,
acornjs/acorn-jsx,gh/22187098,2025,closed_issues,1,
acornjs/acorn-jsx,gh/22187098,2025,opened_issues,1,
adobe/react-spectrum,gh/208362715,2021,closed_issues,383,
adobe/react-spectrum,gh/208362715,2021,opened_issues,538,
adobe/react-spectrum,gh/208362715,2022,closed_issues,292,
adobe/react-spectrum,gh/208362715,2022,opened_issues,364,
adobe/react-spectrum,gh/208362715,2023,closed_issues,451,
adobe/react-spectrum,gh/208362715,2023,opened_issues,642,
adobe/react-spectrum,gh/208362715,2024,closed_issues,593,
adobe/react-spectrum,gh/208362715,2024,opened_issues,713,
adobe/react-spectrum,gh/208362715,2025,closed_issues,702,
adobe/react-spectrum,gh/208362715,2025,opened_issues,626,
agronholm/anyio,gh/145337588,2021,closed_issues,78,
agronholm/anyio,gh/145337588,2021,opened_issues,91,
agronholm/anyio,gh/145337588,2022,closed_issues,37,
agronholm/anyio,gh/145337588,2022,opened_issues,47,
agronholm/anyio,gh/145337588,2023,closed_issues,52,
agronholm/anyio,gh/145337588,2023,opened_issues,54,
agronholm/anyio,gh/145337588,2024,closed_issues,45,
agronholm/anyio,gh/145337588,2024,opened_issues,62,
agronholm/anyio,gh/145337588,2025,closed_issues,41,
agronholm/anyio,gh/145337588,2025,opened_issues,43,
agronholm/exceptiongroup,gh/447694800,2021,closed_issues,0,
agronholm/exceptiongroup,gh/447694800,2021,opened_issues,0,
agronholm/exceptiongroup,gh/447694800,2022,closed_issues,14,
agronholm/exceptiongroup,gh/447694800,2022,opened_issues,18,
agronholm/exceptiongroup,gh/447694800,2023,closed_issues,9,
agronholm/exceptiongroup,gh/447694800,2023,opened_issues,0,
agronholm/exceptiongroup,gh/447694800,2024,closed_issues,7,
agronholm/exceptiongroup,gh/447694800,2024,opened_issues,6,
agronholm/exceptiongroup,gh/447694800,2025,closed_issues,7,
agronholm/exceptiongroup,gh/447694800,2025,opened_issues,7,
ahmadnassri/har-schema,gh/63372119,2021,closed_issues,0,
ahmadnassri/har-schema,gh/63372119,2021,opened_issues,0,
ahmadnassri/har-schema,gh/63372119,2022,closed_issues,0,
ahmadnassri/har-schema,gh/63372119,2022,opened_issues,0,
ahmadnassri/har-schema,gh/63372119,2023,closed_issues,0,
ahmadnassri/har-schema,gh/63372119,2023,opened_issues,0,
ahmadnassri/har-schema,gh/63372119,2024,closed_issues,0,
ahmadnassri/har-schema,gh/63372119,2024,opened_issues,0,
ahmadnassri/har-schema,gh/63372119,2025,closed_issues,0,
ahmadnassri/har-schema,gh/63372119,2025,opened_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2021,closed_issues,2,
ahmadnassri/node-har-validator,gh/30582954,2021,opened_issues,2,
ahmadnassri/node-har-validator,gh/30582954,2022,closed_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2022,opened_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2023,closed_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2023,opened_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2024,closed_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2024,opened_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2025,closed_issues,0,
ahmadnassri/node-har-validator,gh/30582954,2025,opened_issues,0,
ai/nanoid,gh/99401299,2021,closed_issues,39,
ai/nanoid,gh/99401299,2021,opened_issues,38,
ai/nanoid,gh/99401299,2022,closed_issues,41,
ai/nanoid,gh/99401299,2022,opened_issues,40,
ai/nanoid,gh/99401299,2023,closed_issues,0,
ai/nanoid,gh/99401299,2023,opened_issues,31,
ai/nanoid,gh/99401299,2024,closed_issues,15,
ai/nanoid,gh/99401299,2024,opened_issues,17,
ai/nanoid,gh/99401299,2025,closed_issues,17,
ai/nanoid,gh/99401299,2025,opened_issues,12,
aio-libs-abandoned/async-timeout,gh/67703198,2021,closed_issues,7,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2021,opened_issues,7,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2022,closed_issues,0,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2022,opened_issues,1,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2023,closed_issues,1,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2023,opened_issues,1,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2024,closed_issues,4,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2024,opened_issues,2,2026-07-05T22:54:39+00:00
aio-libs-abandoned/async-timeout,gh/67703198,2025,closed_issues,0,2026-07-05T22:54:39+00:00
