github_repo,repo_id,metric,2021,2022,2023,2024,2025,2021-2025
ventoy/ventoy,246335987,bus_factor,1,1,1,1,1,1
ventoy/ventoy,246335987,hhi,7823,4656,3220,3199,6112,5558
ventoy/ventoy,246335987,contributors,24,47,30,16,15,89
ventoy/ventoy,246335987,bots,0,0,0,0,1,1
ventoy/ventoy,246335987,commits,345,334,113,38,68,898
ventoy/ventoy,246335987,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-21,2025-01-19,2021-01-03
ventoy/ventoy,246335987,last_date,2021-12-25,2022-12-31,2023-12-09,2024-11-16,2025-12-27,2025-12-27
git/git,36502,bus_factor,2,2,2,2,2,3
git/git,36502,hhi,1547,1620,1793,2305,1909,1609
git/git,36502,contributors,47,45,42,42,37,58
git/git,36502,bots,0,0,0,0,0,0
git/git,36502,commits,3407,3142,2485,3453,2954,15441
git/git,36502,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
git/git,36502,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
curl/curl,569041,bus_factor,1,1,1,2,2,2
curl/curl,569041,hhi,4876,4402,2990,2884,3322,3028
curl/curl,569041,contributors,34,41,37,33,32,66
curl/curl,569041,bots,0,0,1,2,2,2
curl/curl,569041,commits,1227,1380,1727,2202,3205,9741
curl/curl,569041,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
curl/curl,569041,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
netdata/netdata,10744183,bus_factor,3,3,3,2,3,3
netdata/netdata,10744183,hhi,1704,1135,1102,2105,1801,1380
netdata/netdata,10744183,contributors,34,34,25,22,19,52
netdata/netdata,10744183,bots,1,1,1,1,3,3
netdata/netdata,10744183,commits,1311,1588,2408,2496,2246,10049
netdata/netdata,10744183,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
netdata/netdata,10744183,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
obsproject/obs-studio,13233158,bus_factor,4,5,4,4,4,6
obsproject/obs-studio,13233158,hhi,999,772,980,952,1062,622
obsproject/obs-studio,13233158,contributors,37,45,44,35,24,67
obsproject/obs-studio,13233158,bots,0,0,0,0,0,0
obsproject/obs-studio,13233158,commits,1158,1767,1485,930,464,5804
obsproject/obs-studio,13233158,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
obsproject/obs-studio,13233158,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
tmux/tmux,36836475,bus_factor,1,1,1,1,1,1
tmux/tmux,36836475,hhi,5013,4976,6388,5491,5293,5184
tmux/tmux,36836475,contributors,2,3,2,2,2,3
tmux/tmux,36836475,bots,0,0,0,0,0,0
tmux/tmux,36836475,commits,289,142,93,134,161,819
tmux/tmux,36836475,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-14,2025-01-12,2021-01-03
tmux/tmux,36836475,last_date,2022-01-01,2022-12-10,2024-01-06,2025-01-04,2025-12-27,2025-12-27
torvalds/linux,2325298,bus_factor,18,17,15,14,13,18
torvalds/linux,2325298,hhi,240,280,289,343,367,278
torvalds/linux,2325298,contributors,94,92,91,88,85,94
torvalds/linux,2325298,bots,0,0,0,0,0,0
torvalds/linux,2325298,commits,25457,24733,25272,22284,20665,118411
torvalds/linux,2325298,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
torvalds/linux,2325298,last_date,2022-01-01,2022-12-31,2024-01-06,2025-01-04,2026-01-03,2026-01-03
redis/redis,156018,bus_factor,5,4,3,3,3,6
redis/redis,156018,hhi,906,933,1297,1218,1164,680
redis/redis,156018,contributors,44,45,36,30,31,73
redis/redis,156018,bots,0,1,1,1,0,1
redis/redis,156018,commits,814,718,437,373,585,2927
redis/redis,156018,first_date,2021-01-03,2022-01-02,2023-01-01,2024-01-07,2025-01-05,2021-01-03
