repo,repo_id,gh_sponsorships_in,gh_sponsors_enabled,sponsors_status,fetched_at
10der/homeassistant-custom_components-awtrix,gh/748539167,,,ok,2026-05-19T11:10:37+00:00
7rulnik/source-map-js,gh/330043541,2,True,ok,2026-06-30T10:25:20+00:00
acornjs/acorn,gh/5932749,0,False,ok,2026-06-30T10:25:27+00:00
acornjs/acorn-jsx,gh/22187098,0,False,ok,2026-06-30T10:25:26+00:00
adobe/react-spectrum,gh/208362715,0,False,ok,2026-06-30T10:25:27+00:00
agronholm/anyio,gh/145337588,0,False,ok,2026-06-30T10:25:27+00:00
agronholm/exceptiongroup,gh/447694800,0,False,ok,2026-06-30T10:25:28+00:00
ai/nanoid,gh/99401299,23,True,ok,2026-06-30T10:25:28+00:00
aio-libs-abandoned/async-timeout,gh/67703198,0,False,ok,2026-07-06T11:10:40+00:00
aio-libs/aiobotocore,gh/36618494,7,True,ok,2026-06-30T10:25:28+00:00
aio-libs/aiohttp,gh/13258039,7,True,ok,2026-06-30T10:25:29+00:00
aio-libs/aiosignal,gh/205007356,7,True,ok,2026-06-30T10:25:29+00:00
aio-libs/async-timeout,gh/67703198,7,True,ok,2026-06-30T10:25:29+00:00
aio-libs/frozenlist,gh/204197530,7,True,ok,2026-06-30T10:25:29+00:00
aio-libs/multidict,gh/51206425,7,True,ok,2026-06-30T10:25:30+00:00
aio-libs/propcache,gh/866565706,7,True,ok,2026-06-30T10:25:30+00:00
aio-libs/yarl,gh/64756820,7,True,ok,2026-06-30T10:25:30+00:00
ajv-validator/ajv,gh/35914020,0,False,ok,2026-06-30T10:25:30+00:00
ajv-validator/ajv-formats,gh/281084700,0,False,ok,2026-06-30T10:25:31+00:00
ajv-validator/ajv-keywords,gh/60477053,0,False,ok,2026-06-30T10:25:31+00:00
alexcrichton/tar-rs,gh/21946092,0,False,ok,2026-06-30T10:25:31+00:00
alexei/sprintf.js,gh/9175790,0,False,ok,2026-06-30T10:25:31+00:00
alexeyraspopov/picocolors,gh/410740124,0,False,ok,2026-06-30T10:25:32+00:00
alexhuszagh/rust-lexical,gh/155286170,0,False,ok,2026-06-30T10:25:32+00:00
alexindigo/asynckit,gh/59087459,0,False,ok,2026-06-30T10:25:32+00:00
amanieu/parking_lot,gh/58731560,0,False,ok,2026-06-30T10:25:33+00:00
andialbrecht/sqlparse,gh/4067434,0,False,ok,2026-06-30T10:25:33+00:00
andrewrk/node-pend,gh/11836813,27,True,ok,2026-06-30T10:25:33+00:00
andyperlitch/jsbn,gh/9710533,0,False,ok,2026-06-30T10:25:34+00:00
angular/angular-cli,gh/36891867,0,False,ok,2026-06-30T10:25:34+00:00
annotated-types/annotated-types,gh/487934134,0,False,ok,2026-06-30T10:25:34+00:00
antonk52/lilconfig,gh/238967485,2,True,ok,2026-06-30T10:25:34+00:00
apache/airflow,gh/33884891,0,False,ok,2026-06-30T10:25:35+00:00
apache/arrow,gh/51905353,0,False,ok,2026-06-30T10:25:35+00:00
apache/arrow-rs,gh/358917250,0,False,ok,2026-06-30T10:25:35+00:00
archlinux/linux,gh/142707813,,,ok,2026-05-19T11:10:24+00:00
ardatan/graphql-tools,gh/54432168,3,True,ok,2026-06-30T10:25:33+00:00
ardatan/whatwg-node,gh/429511342,3,True,ok,2026-06-30T10:25:35+00:00
assert-rs/snapbox,gh/424722460,0,False,ok,2026-06-30T10:25:36+00:00
astanin/python-tabulate,gh/205875548,0,False,ok,2026-06-30T10:25:20+00:00
astral-sh/ruff,gh/523043277,0,False,ok,2026-06-30T10:25:20+00:00
auth0/node-jwa,gh/8116861,0,False,ok,2026-06-30T10:25:20+00:00
autotools-mirror/autoconf,gh/47662429,0,False,ok,2026-06-30T10:25:20+00:00
autotools-mirror/libtool,gh/47662711,0,False,ok,2026-06-30T10:25:21+00:00
autotools-mirror/m4,gh/66880383,0,False,ok,2026-06-30T10:25:21+00:00
aws/aws-cli,gh/6780767,0,False,ok,2026-06-30T10:25:21+00:00
aws/aws-sdk-js-crypto-helpers,gh/149673986,0,False,ok,2026-06-30T10:25:21+00:00
aws/aws-sdk-js-v3,gh/87228090,0,False,ok,2026-06-30T10:25:22+00:00
axios/axios,gh/23088740,20,True,ok,2026-06-30T10:25:22+00:00
azure/azure-sdk-for-js,gh/108311273,0,False,ok,2026-06-30T10:25:22+00:00
azure/azure-sdk-for-python,gh/4127088,0,False,ok,2026-06-30T10:25:22+00:00
azure/msrest-for-python,gh/71186468,0,False,ok,2026-07-06T11:10:41+00:00
azuread/microsoft-authentication-library-for-python,gh/67243113,0,False,ok,2026-06-30T10:25:23+00:00
babel/babel,gh/24560307,42,True,ok,2026-06-30T10:25:23+00:00
babel/babel-polyfills,gh/190579283,42,True,ok,2026-06-30T10:25:23+00:00
babel/minify,gh/55723051,42,True,ok,2026-06-30T10:25:23+00:00
bdwgc/bdwgc,gh/2109456,0,False,ok,2026-06-30T10:25:24+00:00
beatgammit/base64-js,gh/2853282,0,False,ok,2026-06-30T10:25:24+00:00
benjaminp/six,gh/77868600,0,False,ok,2026-06-30T10:25:24+00:00
besser82/libxcrypt,gh/35503965,0,False,ok,2026-06-30T10:25:24+00:00
bincode-org/bincode,gh/24130045,0,False,ok,2026-07-06T11:10:41+00:00
bitflags/bitflags,gh/29287955,0,False,ok,2026-06-30T10:25:25+00:00
blakeembrey/array-flatten,gh/17789771,10,True,ok,2026-06-30T10:25:25+00:00
blakeembrey/change-case,gh/9440238,10,True,ok,2026-06-30T10:25:25+00:00
bluss/bencher,gh/65987276,0,True,ok,2026-06-30T10:25:25+00:00
bminor/binutils-gdb,,,,ok,2026-05-31T18:21:23+00:00
bminor/glibc,gh/13868694,0,False,ok,2026-06-30T10:25:26+00:00
boto/boto3,gh/24774658,0,False,ok,2026-06-30T10:25:26+00:00
boto/botocore,gh/6670942,0,False,ok,2026-06-30T10:25:26+00:00
boto/s3transfer,gh/49535299,0,False,ok,2026-06-30T10:25:26+00:00
braveg1rl/performance-now,gh/336187529,,,ok,2026-05-19T11:10:36+00:00
brianc/node-postgres,gh/991475,16,True,ok,2026-06-30T10:25:27+00:00
broofa/mime,gh/534940,5,True,ok,2026-06-30T10:25:27+00:00
broofa/node-int64,gh/1208666,5,True,ok,2026-07-06T11:10:40+00:00
browserify/events,gh/1649251,0,False,ok,2026-06-30T10:25:27+00:00
browserify/node-util,gh/14568009,0,False,ok,2026-06-30T10:25:27+00:00
browserify/randombytes,gh/29300004,0,False,ok,2026-06-30T10:25:28+00:00
browserify/resolve,gh/1915099,0,False,ok,2026-06-30T10:25:28+00:00
browserslist/browserslist,gh/27971466,0,False,ok,2026-06-30T10:25:28+00:00
browserslist/caniuse-lite,gh/80221890,0,False,ok,2026-06-30T10:25:29+00:00
browserslist/update-db,gh/505548145,0,False,ok,2026-06-30T10:25:29+00:00
burntsushi/aho-corasick,gh/37290678,110,True,ok,2026-06-30T10:25:29+00:00
burntsushi/jiff,gh/759017108,110,True,ok,2026-06-30T10:25:29+00:00
burntsushi/memchr,gh/37290652,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/quickcheck,gh/17559913,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/same-file,gh/78375612,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/termcolor,gh/141345580,110,True,ok,2026-06-30T10:25:30+00:00
burntsushi/ucd-generate,gh/123997498,110,True,ok,2026-06-30T10:25:31+00:00
burntsushi/walkdir,gh/42685794,110,True,ok,2026-06-30T10:25:31+00:00
burntsushi/winapi-util,gh/146040682,110,True,ok,2026-06-30T10:25:31+00:00
businho/pytest-ruff,gh/599731435,0,False,ok,2026-06-30T10:25:31+00:00
bytecodealliance/rustix,gh/295544240,0,False,ok,2026-06-30T10:25:32+00:00
bytecodealliance/wasi-rs,gh/196445196,0,False,ok,2026-06-30T10:25:32+00:00
bzip2/bzip2,,0,False,ok,2026-07-12T21:33:38+00:00
c-ares/c-ares,gh/571708,0,False,ok,2026-06-30T10:25:32+00:00
calvinmetcalf/minimalistic-assert,gh/29144257,0,False,ok,2026-06-30T10:25:33+00:00
calvinmetcalf/process-nextick-args,gh/36039131,0,False,ok,2026-06-30T10:25:33+00:00
caolan/async,gh/698041,0,False,ok,2026-06-30T10:25:33+00:00
certbot/certbot,gh/26516210,0,False,ok,2026-06-30T10:25:33+00:00
certifi/python-certifi,gh/3060959,0,False,ok,2026-06-30T10:25:34+00:00
chaijs/type-detect,gh/12107007,0,False,ok,2026-06-30T10:25:34+00:00
chalk/ansi-regex,gh/20451415,0,False,ok,2026-06-30T10:25:34+00:00
chalk/ansi-styles,gh/11803168,0,False,ok,2026-06-30T10:25:34+00:00
chalk/chalk,gh/11855195,0,False,ok,2026-06-30T10:25:35+00:00
