login,sponsoring_count,sponsoring_status,fetched_at
1g4-mirror,0,ok,2026-07-13T20:12:58+00:00
7rulnik,0,ok,2026-06-29T23:54:23+00:00
acornjs,0,ok,2026-06-29T23:54:25+00:00
adobe,0,ok,2026-06-29T23:54:26+00:00
agronholm,0,ok,2026-06-29T23:54:26+00:00
ai,2,ok,2026-06-29T23:54:26+00:00
aio-libs,0,ok,2026-06-29T23:54:26+00:00
aio-libs-abandoned,0,ok,2026-07-13T16:42:35+00:00
ajv-validator,0,ok,2026-06-29T23:54:26+00:00
alexcrichton,0,ok,2026-06-29T23:54:26+00:00
alexei,0,ok,2026-06-29T23:54:26+00:00
alexeyraspopov,0,ok,2026-06-29T23:54:26+00:00
alexhuszagh,1,ok,2026-06-29T23:54:26+00:00
alexindigo,0,ok,2026-06-29T23:54:27+00:00
amanieu,0,ok,2026-06-29T23:54:27+00:00
andialbrecht,0,ok,2026-06-29T23:54:27+00:00
andrewrk,0,ok,2026-06-29T23:54:27+00:00
andyperlitch,0,ok,2026-06-29T23:54:27+00:00
angular,0,ok,2026-06-29T23:54:27+00:00
annotated-types,0,ok,2026-06-29T23:54:27+00:00
antonk52,1,ok,2026-06-29T23:54:27+00:00
apache,0,ok,2026-06-29T23:54:27+00:00
ardatan,0,ok,2026-06-29T23:54:27+00:00
assert-rs,0,ok,2026-06-29T23:54:27+00:00
astanin,0,ok,2026-06-29T23:54:27+00:00
astral-sh,38,ok,2026-06-29T23:54:28+00:00
auth0,0,ok,2026-06-29T23:54:28+00:00
autotools-mirror,0,ok,2026-06-29T23:54:28+00:00
aws,1,ok,2026-06-29T23:54:28+00:00
axios,0,ok,2026-06-29T23:54:28+00:00
azure,0,ok,2026-06-29T23:54:28+00:00
azuread,0,ok,2026-06-29T23:54:28+00:00
babel,0,ok,2026-06-29T23:54:28+00:00
bdwgc,0,ok,2026-06-29T23:54:29+00:00
beatgammit,0,ok,2026-06-29T23:54:29+00:00
benjaminp,0,ok,2026-06-29T23:54:28+00:00
besser82,0,ok,2026-06-29T23:54:29+00:00
bincode-org,0,ok,2026-07-13T16:42:35+00:00
bitflags,0,ok,2026-06-29T23:54:23+00:00
blakeembrey,3,ok,2026-06-29T23:54:23+00:00
bluss,0,ok,2026-06-29T23:54:23+00:00
bminor,0,ok,2026-06-29T23:54:23+00:00
boto,0,ok,2026-06-29T23:54:23+00:00
braveg1rl,0,ok,2026-05-31T16:56:24+00:00
brianc,0,ok,2026-06-29T23:54:23+00:00
broofa,0,ok,2026-06-29T23:54:23+00:00
browserify,0,ok,2026-06-29T23:54:23+00:00
browserslist,0,ok,2026-06-29T23:54:24+00:00
burntsushi,2,ok,2026-06-29T23:54:24+00:00
businho,0,ok,2026-06-29T23:54:24+00:00
bytecodealliance,0,ok,2026-06-29T23:54:24+00:00
bzip2,0,ok,2026-07-13T16:59:59+00:00
c-ares,0,ok,2026-06-29T23:54:24+00:00
calvinmetcalf,0,ok,2026-06-29T23:54:24+00:00
caolan,0,ok,2026-06-29T23:54:24+00:00
certbot,0,ok,2026-06-29T23:54:24+00:00
certifi,0,ok,2026-06-29T23:54:24+00:00
chaijs,0,ok,2026-06-29T23:54:24+00:00
chalk,0,ok,2026-06-29T23:54:25+00:00
chalker,0,ok,2026-06-29T23:54:25+00:00
chardet,0,ok,2026-06-29T23:54:25+00:00
cheeriojs,0,ok,2026-06-29T23:54:25+00:00
chicoxyzzy,0,ok,2026-06-29T23:54:25+00:00
chronotope,0,ok,2026-06-29T23:54:25+00:00
clap-rs,0,ok,2026-06-29T23:54:25+00:00
cloudflare,0,ok,2026-06-29T23:54:25+00:00
colinhacks,0,ok,2026-06-29T23:54:25+00:00
colorjs,0,ok,2026-06-29T23:54:25+00:00
comex,1,ok,2026-06-29T23:54:25+00:00
component,0,ok,2026-06-29T23:54:26+00:00
composefs,0,ok,2026-07-13T16:59:59+00:00
conventional-changelog,0,ok,2026-06-29T23:54:26+00:00
cosmiconfig,0,ok,2026-06-29T23:54:26+00:00
coveragepy,0,ok,2026-06-29T23:54:26+00:00
cpburnz,1,ok,2026-06-29T23:54:26+00:00
cpython-team,0,ok,2026-07-13T16:59:59+00:00
crate-py,0,ok,2026-06-29T23:54:26+00:00
criterion-rs,0,ok,2026-06-29T23:54:26+00:00
crossbeam-rs,0,ok,2026-06-29T23:54:26+00:00
css-modules,0,ok,2026-06-29T23:54:26+00:00
cssnano,0,ok,2026-06-29T23:54:26+00:00
csstools,0,ok,2026-06-29T23:54:27+00:00
csstree,0,ok,2026-06-29T23:54:27+00:00
curl,0,ok,2026-06-29T23:54:27+00:00
cuviper,0,ok,2026-06-29T23:54:27+00:00
cyan4973,0,ok,2026-06-29T23:54:27+00:00
daaku,0,ok,2026-06-29T23:54:27+00:00
dateutil,0,ok,2026-06-29T23:54:27+00:00
davidhalter,0,ok,2026-06-29T23:54:27+00:00
davisjam,0,ok,2026-06-29T23:54:27+00:00
dchest,0,ok,2026-06-29T23:54:27+00:00
dcodeio,0,ok,2026-06-29T23:54:27+00:00
debian,0,ok,2026-07-13T16:59:59+00:00
debug-js,0,ok,2026-06-29T23:54:28+00:00
definitelytyped,0,ok,2026-06-29T23:54:28+00:00
defunctzombie,0,ok,2026-06-29T23:54:28+00:00
django,0,ok,2026-06-29T23:54:28+00:00
djc,0,ok,2026-06-29T23:54:28+00:00
dmitrysoshnikov,0,ok,2026-06-29T23:54:28+00:00
docutils,0,ok,2026-06-29T23:54:28+00:00
dominictarr,0,ok,2026-07-13T16:59:59+00:00
doowb,0,ok,2026-06-29T23:54:28+00:00
douglasdwyer,0,ok,2026-06-29T23:54:28+00:00
dougwilson,0,ok,2026-06-29T23:54:28+00:00
dtolnay,0,ok,2026-06-29T23:54:29+00:00
eemeli,0,ok,2026-06-29T23:54:29+00:00
ehmicky,0,ok,2026-06-29T23:54:29+00:00
eliben,0,ok,2026-06-29T23:54:18+00:00
emotion-js,1,ok,2026-06-29T23:54:18+00:00
enarx,0,ok,2026-07-13T16:59:59+00:00
encode,0,ok,2026-06-29T23:54:18+00:00
epoberezkin,0,ok,2026-06-29T23:54:19+00:00
es-shims,0,ok,2026-06-29T23:54:19+00:00
eslint,0,ok,2026-06-29T23:54:19+00:00
eslint-community,0,ok,2026-06-29T23:54:19+00:00
estools,0,ok,2026-06-29T23:54:19+00:00
ethers-io,0,ok,2026-06-29T23:54:19+00:00
evanw,0,ok,2026-06-29T23:54:19+00:00
eventualbuddha,1,ok,2026-06-29T23:54:19+00:00
executablebooks,0,ok,2026-06-29T23:54:19+00:00
exodusoss,0,ok,2026-06-29T23:54:19+00:00
expressjs,0,ok,2026-06-29T23:54:19+00:00
facebook,0,ok,2026-06-29T23:54:19+00:00
facelessuser,0,ok,2026-06-29T23:54:19+00:00
fastify,0,ok,2026-06-29T23:54:20+00:00
faye,0,ok,2026-06-29T23:54:20+00:00
fb55,0,ok,2026-06-29T23:54:20+00:00
felixge,0,ok,2026-06-29T23:54:20+00:00
feross,0,ok,2026-06-29T23:54:20+00:00
ffmpeg,0,ok,2026-06-29T23:54:20+00:00
firebase,0,ok,2026-06-29T23:54:20+00:00
fitzgen,0,ok,2026-07-13T16:59:59+00:00
floatdrop,0,ok,2026-07-13T16:59:59+00:00
floating-ui,0,ok,2026-06-29T23:54:20+00:00
follow-redirects,0,ok,2026-06-29T23:54:20+00:00
fontconfig,0,ok,2026-05-31T18:21:23+00:00
form-data,0,ok,2026-06-29T23:54:20+00:00
formatjs,0,ok,2026-06-29T23:54:20+00:00
freedesktop,0,ok,2026-05-31T18:21:23+00:00
freedesktop-unofficial-mirror,0,ok,2026-06-29T23:54:20+00:00
freetype,0,ok,2026-06-29T23:54:20+00:00
frenic,0,ok,2026-06-29T23:54:20+00:00
frommi,0,ok,2026-06-29T23:54:21+00:00
fsevents,0,ok,2026-06-29T23:54:21+00:00
fsspec,0,ok,2026-06-29T23:54:21+00:00
