repo_id,git_url,project,year,first_sha,last_sha,commits,fetched_at
gl/code.videolan.org/363,https://code.videolan.org/videolan/libudfread.git,code.videolan.org/videolan/libudfread,2021,,b3e6936a23f8af30a0be63d88f4695bdc0ea26e1,1,2026-07-05T16:21:27Z
gl/code.videolan.org/363,https://code.videolan.org/videolan/libudfread.git,code.videolan.org/videolan/libudfread,2022,,,0,2026-07-05T16:21:29Z
gl/code.videolan.org/363,https://code.videolan.org/videolan/libudfread.git,code.videolan.org/videolan/libudfread,2023,,,0,2026-07-05T16:21:31Z
gl/code.videolan.org/363,https://code.videolan.org/videolan/libudfread.git,code.videolan.org/videolan/libudfread,2024,,,0,2026-07-05T16:21:32Z
gl/code.videolan.org/363,https://code.videolan.org/videolan/libudfread.git,code.videolan.org/videolan/libudfread,2025,,139a2194525f2745b98a98e4d8fa627d07440176,1,2026-07-05T16:21:33Z
gl/code.videolan.org/363,https://code.videolan.org/videolan/libudfread.git,code.videolan.org/videolan/libudfread,2026,,,0,2026-07-05T16:21:33Z
gl/gitlab.cern.ch/84555,https://gitlab.cern.ch/fts/fts-rest-flask.git,gitlab.cern.ch/fts/fts-rest-flask,2021,,a4488b5dfbd1a9632ab1b39b48958f2e7d1645b9,1,2026-07-05T16:21:24Z
gl/gitlab.cern.ch/84555,https://gitlab.cern.ch/fts/fts-rest-flask.git,gitlab.cern.ch/fts/fts-rest-flask,2022,,6abb5fcbf3c19d96754af942975da0880f012091,1,2026-07-05T16:21:24Z
gl/gitlab.cern.ch/84555,https://gitlab.cern.ch/fts/fts-rest-flask.git,gitlab.cern.ch/fts/fts-rest-flask,2023,,b6659d6be3f38079856c6e1542a32f938f567c84,1,2026-07-05T16:21:24Z
gl/gitlab.cern.ch/84555,https://gitlab.cern.ch/fts/fts-rest-flask.git,gitlab.cern.ch/fts/fts-rest-flask,2024,,5fc5bed9b3b4188e80b9bc0a59ea5b010fc849d9,1,2026-07-05T16:21:24Z
gl/gitlab.cern.ch/84555,https://gitlab.cern.ch/fts/fts-rest-flask.git,gitlab.cern.ch/fts/fts-rest-flask,2025,,0caa2af13dcf4ef87082b4cc9f37e00ed721d53b,1,2026-07-05T16:21:24Z
gl/gitlab.cern.ch/84555,https://gitlab.cern.ch/fts/fts-rest-flask.git,gitlab.cern.ch/fts/fts-rest-flask,2026,,28f82f12c2ab9c7d4c7e1de7e3be10e7f1d001cc,1,2026-07-05T16:21:24Z
gl/gitlab.com/222466,https://gitlab.com/accounts-sso/accounts-qml-module.git,gitlab.com/accounts-sso/accounts-qml-module,2021,,,0,2026-07-05T16:21:54Z
gl/gitlab.com/222466,https://gitlab.com/accounts-sso/accounts-qml-module.git,gitlab.com/accounts-sso/accounts-qml-module,2022,,4119d52cb969b57fcab63f6bdf543e73c9c17092,1,2026-07-05T16:21:54Z
gl/gitlab.com/222466,https://gitlab.com/accounts-sso/accounts-qml-module.git,gitlab.com/accounts-sso/accounts-qml-module,2023,,05e79ebbbf3784a87f72b7be571070125c10dfe3,1,2026-07-05T16:21:54Z
gl/gitlab.com/222466,https://gitlab.com/accounts-sso/accounts-qml-module.git,gitlab.com/accounts-sso/accounts-qml-module,2024,,,0,2026-07-05T16:21:55Z
gl/gitlab.com/222466,https://gitlab.com/accounts-sso/accounts-qml-module.git,gitlab.com/accounts-sso/accounts-qml-module,2025,,,0,2026-07-05T16:21:55Z
gl/gitlab.com/222466,https://gitlab.com/accounts-sso/accounts-qml-module.git,gitlab.com/accounts-sso/accounts-qml-module,2026,,,0,2026-07-05T16:21:55Z
