repo,repo_id,year,metric,value,fetched_at
cpython-team/python3-defaults,gl/debian-27547,2021,closed_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2021,opened_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2022,closed_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2022,opened_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2023,closed_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2023,opened_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2024,closed_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2024,opened_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2025,closed_issues,0,2026-07-06T19:00:54+00:00
cpython-team/python3-defaults,gl/debian-27547,2025,opened_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2021,closed_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2021,opened_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2022,closed_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2022,opened_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2023,closed_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2023,opened_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2024,closed_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2024,opened_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2025,closed_issues,0,2026-07-06T19:00:54+00:00
debian/bzip2,gl/debian-9696,2025,opened_issues,0,2026-07-06T19:00:54+00:00
debian/ca-certificates,gl/debian-2995,2021,closed_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2021,opened_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2022,closed_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2022,opened_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2023,closed_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2023,opened_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2024,closed_issues,0,2026-07-06T19:01:11+00:00
debian/ca-certificates,gl/debian-2995,2024,opened_issues,0,2026-07-06T19:01:11+00:00
