namespace,namespace_id,host,kind,name,path,full_path,web_url,description,fetched_at
code.videolan.org/videolan,,code.videolan.org,,,,,,fetch failed: http_401,2026-07-06T18:13:38Z
gitlab.cern.ch/fts,,gitlab.cern.ch,,,,,,fetch failed: http_401,2026-07-06T18:13:38Z
gitlab.com/accounts-sso,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/agerasev,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/alelec,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/antonok,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/aomediacodec,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/apparmor,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/bern-rtos/tools,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/bogofilter,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/boiethios,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/bronsonbdevost,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/bzim,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/cardoe,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/catamphetamine,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/chris-morgan,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/creepyskeleton,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/cryptsetup,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/dajoha,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/davidbittner,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/dns2utf8,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/doctormo,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/drj11,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/drobilla,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/enricoch,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/ericvsmith,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/fast_chemail,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/ferreum,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/flufl,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/gilrs-project,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/gnutls,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
gitlab.com/graphviz,,gitlab.com,,,,,,fetch failed: 404,2026-07-06T18:13:38Z
