project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
code.videolan.org/videolan/libudfread,True,363,gl/code.videolan.org-363,code.videolan.org,Organization,group,videolan,libudfread,videolan/libudfread,UDF reader,https://code.videolan.org/videolan/libudfread,master,lgpl-2.1,,1,4,,,public,2018-11-30T12:08:53.914Z,2025-09-05T13:23:08.290Z,2026-07-05T16:14:38Z
gitlab.cern.ch/fts/fts-rest-flask,True,84555,gl/gitlab.cern.ch-84555,gitlab.cern.ch,Organization,group,fts,fts-rest-flask,fts/fts-rest-flask,fts-rest reimplementation in Flask and Python 3,https://gitlab.cern.ch/fts/fts-rest-flask,3.14.x-release,apache-2.0,,2,8,,,public,2020-01-17T10:27:31.199Z,2026-06-16T08:57:17.475Z,2026-07-05T16:14:35Z
gitlab.com/accounts-sso/accounts-qml-module,True,222466,gl/222466,gitlab.com,Organization,group,accounts-sso,accounts-qml-module,accounts-sso/accounts-qml-module,QML bindings for libaccounts-qt + libsignon-qt,https://gitlab.com/accounts-sso/accounts-qml-module,master,lgpl-2.1,accounts | accounts-sso | authentication | qml,2,5,,,public,2015-04-07T07:36:33.278Z,2026-05-01T14:03:09.449Z,2026-07-05T16:14:35Z
gitlab.com/aomediacodec/svt-av1,True,24327400,gl/24327400,gitlab.com,Organization,group,AOMediaCodec,SVT-AV1,AOMediaCodec/SVT-AV1,Welcome to the Gitlab repo for the SVT-AV1! ,https://gitlab.com/AOMediaCodec/SVT-AV1,master,bsd-3-clause-clear,Software encoding | Video Compression | av1,298,140,,,public,2021-02-10T23:33:47.897Z,2026-07-05T13:43:51.008Z,2026-07-05T16:56:37Z
gitlab.com/catamphetamine/libphonenumber-js,True,17473241,gl/17473241,gitlab.com,User,user,catamphetamine,libphonenumber-js,catamphetamine/libphonenumber-js,"A simpler (and smaller) rewrite of Google Android's libphonenumber library in javascript.
https://catamphetamine.gitlab.io/libphonenumber-js",https://gitlab.com/catamphetamine/libphonenumber-js,master,mit,,341,62,,,public,2020-03-13T18:43:19.440Z,2026-07-03T09:13:31.489Z,2026-07-05T16:56:37Z
gitlab.com/creepyskeleton/proc-macro-error,True,14679541,gl/14679541,gitlab.com,User,user,CreepySkeleton,proc-macro-error,CreepySkeleton/proc-macro-error,Drop-in replacement to panics in proc-macros,https://gitlab.com/CreepySkeleton/proc-macro-error,master,mit,,17,8,,,public,2019-10-06T18:45:48.980Z,2024-09-06T07:02:58.996Z,2026-07-05T16:56:37Z
gitlab.com/cryptsetup/cryptsetup,True,195655,gl/195655,gitlab.com,Organization,group,cryptsetup,cryptsetup,cryptsetup/cryptsetup,Cryptsetup and LUKS - open-source disk encryption,https://gitlab.com/cryptsetup/cryptsetup,main,gpl-2.0+,bitlocker | cryptsetup | filevault | full-disk-encryption | integritysetup | luks | luks2 | truecrypt | veracrypt | veritysetup,849,245,,,public,2015-03-16T13:02:31.754Z,2026-07-04T21:01:10.136Z,2026-07-05T16:56:37Z
gitlab.com/gnutls/gnutls,True,179611,gl/179611,gitlab.com,Organization,group,gnutls,GnuTLS,gnutls/gnutls,"GnuTLS is a secure communications library implementing the SSL, TLS and DTLS protocols and technologies around them. It provides a simple C language API to access the secure communications protocols. https://www.gnutls.org",https://gitlab.com/gnutls/gnutls,master,gpl-3.0+,crypto | ssl | tls,325,372,,,public,2015-03-04T07:55:24.008Z,2026-07-02T10:15:40.426Z,2026-07-05T16:56:37Z
gitlab.com/gnutls/libtasn1,True,919981,gl/919981,gitlab.com,Organization,group,gnutls,libtasn1,gnutls/libtasn1,"The libtasn1 development site and repository
https://www.gnu.org/software/libtasn1/",https://gitlab.com/gnutls/libtasn1,master,gpl-3.0+,asn1 | der,11,30,,,public,2016-02-29T08:29:44.504Z,2026-06-07T15:31:20.754Z,2026-07-05T16:56:37Z
gitlab.com/graphviz/graphviz,True,4207231,gl/4207231,gitlab.com,Organization,group,graphviz,graphviz,graphviz/graphviz,Graph Visualization Tools,https://gitlab.com/graphviz/graphviz,main,epl-2.0,,1464,376,,,public,2017-09-22T03:43:24.544Z,2026-07-05T09:11:00.019Z,2026-07-05T16:56:37Z
gitlab.com/kornelski/dunce,True,4717715,gl/4717715,gitlab.com,User,user,kornelski,dunce,kornelski/dunce,Strip UNC paths when possible,https://gitlab.com/kornelski/dunce,master,cc0-1.0,,20,4,,,public,2017-11-22T13:45:05.200Z,2026-06-21T01:45:19.619Z,2026-07-05T16:56:37Z
