project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,language,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
code.videolan.org/rist/librist,True,816,gl/videolan-816,code.videolan.org,Organization,group,rist,librist,rist/librist,A library that can be used to easily add the RIST protocol to your application.,https://code.videolan.org/rist/librist,master,bsd-2-clause,C,,7,48,,,public,2019-09-19T13:31:52.910Z,2026-07-11T17:57:42.894Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/dav1d,True,198,gl/videolan-198,code.videolan.org,Organization,group,videolan,dav1d,videolan/dav1d,"dav1d is the fastest AV1 decoder on all platforms :)

Targeted to be small, portable and very fast.",https://code.videolan.org/videolan/dav1d,master,bsd-2-clause,Assembly,av1 | codec | decoder | fast,16,169,,,public,2018-07-17T15:32:36.054Z,2026-07-11T19:14:57.716Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/libbluray,True,206,gl/videolan-206,code.videolan.org,Organization,group,videolan,libbluray,videolan/libbluray,Library to access Blu-Ray disks,https://code.videolan.org/videolan/libbluray,master,lgpl-2.1,Java,C | Java | bluray,1,26,,,public,2018-09-07T07:43:24.691Z,2026-06-08T19:31:03.861Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/libdvdcss,True,75,gl/videolan-75,code.videolan.org,Organization,group,videolan,libdvdcss,videolan/libdvdcss,"libDVDcss, decryption of all DVDs",https://code.videolan.org/videolan/libdvdcss,master,gpl-2.0+,C,,0,14,,,public,2016-05-19T20:32:00.119Z,2026-07-04T13:04:20.257Z,2026-07-06T17:11:50Z
code.videolan.org/videolan/libplacebo,True,380,gl/videolan-380,code.videolan.org,Organization,group,videolan,libplacebo,videolan/libplacebo,"Reusable library for GPU-accelerated image/video processing primitives and shaders, as well a batteries-included, extensible, high-quality rendering pipeline (similar to mpv's `vo_gpu`). Supports Vulkan, OpenGL, Metal (via MoltenVK) and Direct3D 11.",https://code.videolan.org/videolan/libplacebo,master,lgpl-2.1,C,,7,46,,,public,2018-12-01T14:09:38.696Z,2026-07-11T16:25:24.400Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/libudfread,True,363,gl/videolan-363,code.videolan.org,Organization,group,videolan,libudfread,videolan/libudfread,UDF reader,https://code.videolan.org/videolan/libudfread,master,lgpl-2.1,C,,1,4,,,public,2018-11-30T12:08:53.914Z,2025-09-05T13:23:08.290Z,2026-07-06T00:20:41Z
code.videolan.org/videolan/x264,True,536,gl/videolan-536,code.videolan.org,Organization,group,videolan,x264,videolan/x264,"x264, the best and fastest H.264 encoder",https://code.videolan.org/videolan/x264,master,gpl-2.0+,C,,3,93,,,public,2019-03-14T09:25:26.328Z,2026-07-13T08:32:40.947Z,2026-07-13T11:15:18Z
gitlab.cern.ch/fts/fts-rest-flask,True,84555,gl/cern-84555,gitlab.cern.ch,Organization,group,fts,fts-rest-flask,fts/fts-rest-flask,fts-rest reimplementation in Flask and Python 3,https://gitlab.cern.ch/fts/fts-rest-flask,3.14.x-release,apache-2.0,Python,,2,8,,,public,2020-01-17T10:27:31.199Z,2026-06-16T08:57:17.475Z,2026-07-06T00:20:11Z
gitlab.com/accounts-sso/accounts-qml-module,True,222466,gl/222466,gitlab.com,Organization,group,accounts-sso,accounts-qml-module,accounts-sso/accounts-qml-module,QML bindings for libaccounts-qt + libsignon-qt,https://gitlab.com/accounts-sso/accounts-qml-module,master,lgpl-2.1,C++,accounts | accounts-sso | authentication | qml,2,5,0,False,public,2015-04-07T07:36:33.278Z,2026-05-01T14:03:09.449Z,2026-07-06T00:20:12Z
gitlab.com/accounts-sso/libaccounts-glib,True,222481,gl/222481,gitlab.com,Organization,group,accounts-sso,libaccounts-glib,accounts-sso/libaccounts-glib,GLib-based client library for the accounts database,https://gitlab.com/accounts-sso/libaccounts-glib,master,lgpl-2.1,C,accounts | accounts-sso,2,14,3,False,public,2015-04-07T07:37:06.771Z,2025-09-16T10:11:02.199Z,2026-07-06T00:20:12Z
gitlab.com/accounts-sso/libaccounts-qt,True,222478,gl/222478,gitlab.com,Organization,group,accounts-sso,libaccounts-qt,accounts-sso/libaccounts-qt,Qt-based client library for the accounts database,https://gitlab.com/accounts-sso/libaccounts-qt,master,lgpl-2.1,C++,Qt | accounts | accounts-sso,3,15,4,False,public,2015-04-07T07:36:56.990Z,2026-04-07T10:54:21.858Z,2026-07-06T00:20:12Z
gitlab.com/accounts-sso/signond,True,222471,gl/222471,gitlab.com,Organization,group,accounts-sso,signond,accounts-sso/signond,SignOn Daemon (Qt),https://gitlab.com/accounts-sso/signond,master,lgpl-2.1,C++,accounts | accounts-sso | authentication,3,17,10,False,public,2015-04-07T07:36:45.174Z,2026-04-06T14:14:58.572Z,2026-07-06T00:20:12Z
gitlab.com/agerasev/lock-free-static,True,48619243,gl/48619243,gitlab.com,User,user,agerasev,lock-free-static,agerasev/lock-free-static,Lock-free static variables,https://gitlab.com/agerasev/lock-free-static,master,apache-2.0,Rust,,0,0,0,False,public,2023-08-19T02:05:51.800Z,2026-01-30T10:17:43.657Z,2026-07-06T00:20:12Z
gitlab.com/alelec/pip-system-certs,True,5823520,gl/5823520,gitlab.com,Organization,group,alelec,pip-system-certs,alelec/pip-system-certs,Live patches pip and requests to use system certs by default,https://gitlab.com/alelec/pip-system-certs,master,bsd-2-clause,Python,,14,6,29,False,public,2018-03-21T04:01:43.731Z,2026-05-16T02:39:27.614Z,2026-07-06T00:20:12Z
gitlab.com/antonok/enum_dispatch,True,9956489,gl/9956489,gitlab.com,User,user,antonok,enum_dispatch,antonok/enum_dispatch,Near drop-in replacement for dynamic-dispatched method calls with up to 10x the speed,https://gitlab.com/antonok/enum_dispatch,master,mit,Rust,,182,53,39,False,public,2018-12-17T04:54:29.940Z,2026-06-05T23:18:31.829Z,2026-07-06T00:20:12Z
gitlab.com/aomediacodec/svt-av1,True,24327400,gl/24327400,gitlab.com,Organization,group,AOMediaCodec,SVT-AV1,AOMediaCodec/SVT-AV1,Welcome to the Gitlab repo for the SVT-AV1! ,https://gitlab.com/AOMediaCodec/SVT-AV1,master,bsd-3-clause-clear,C,Software encoding | Video Compression | av1,298,140,139,False,public,2021-02-10T23:33:47.897Z,2026-07-05T21:50:18.160Z,2026-07-06T00:20:12Z
gitlab.com/apparmor/apparmor,True,4484878,gl/4484878,gitlab.com,Organization,group,apparmor,apparmor,apparmor/apparmor,The AppArmor user space development project.,https://gitlab.com/apparmor/apparmor,master,gpl-2.0+,Python,,202,213,305,False,public,2017-10-25T19:38:49.219Z,2026-07-06T13:11:43.333Z,2026-07-06T17:11:49Z
gitlab.com/bern-rtos/tools/rtos-trace,True,37731968,gl/37731968,gitlab.com,Organization,group,bern-rtos/tools,rtos-trace,bern-rtos/tools/rtos-trace,Rust RTOS tracing trait and implemenations.,https://gitlab.com/bern-rtos/tools/rtos-trace,main,,C,,1,4,1,False,public,2022-07-11T12:44:50.424Z,2025-11-19T08:48:25.909Z,2026-07-06T00:20:12Z
gitlab.com/bogofilter/bogofilter,True,12408342,gl/12408342,gitlab.com,Organization,group,bogofilter,bogofilter,bogofilter/bogofilter,Bogofilter is a fast Bayesian spam filter. For downloads please head over to https://sourceforge.net/projects/bogofilter/files/bogofilter-stable/,https://gitlab.com/bogofilter/bogofilter,main,,C,,8,2,6,False,public,2019-05-19T13:31:39.828Z,2026-07-05T10:59:38.385Z,2026-07-06T17:11:50Z
gitlab.com/boiethios/fluid-rs,True,7575332,gl/7575332,gitlab.com,User,user,Boiethios,fluid-rs,Boiethios/fluid-rs,A framework for human-readable unit tests.,https://gitlab.com/Boiethios/fluid-rs,master,,Rust,,14,1,1,False,public,2018-07-21T07:06:14.124Z,2019-04-08T14:46:20.418Z,2026-07-06T00:20:12Z
gitlab.com/boiethios/radix_fmt_rs,True,6546547,gl/6546547,gitlab.com,User,user,Boiethios,radix_fmt_rs,Boiethios/radix_fmt_rs,"Adds a tool in Rust to format a number in an arbitrary base in the range [2, 36].",https://gitlab.com/Boiethios/radix_fmt_rs,master,apache-2.0,Rust,,0,2,2,False,public,2018-05-31T07:56:31.971Z,2023-07-09T14:44:18.745Z,2026-07-06T00:20:12Z
gitlab.com/bronsonbdevost/next_afterf,True,18012803,gl/18012803,gitlab.com,User,user,bronsonbdevost,float_next_after,bronsonbdevost/next_afterf,A native Rust next float function.,https://gitlab.com/bronsonbdevost/next_afterf,main,mit,Rust,decrement | floating point | increment | rust,0,2,0,False,public,2020-04-08T16:32:52.736Z,2026-02-14T09:37:25.671Z,2026-07-06T00:20:12Z
gitlab.com/bzim/lockfree,True,6681291,gl/6681291,gitlab.com,User,user,bzim,lockfree,bzim/lockfree,Lockfree data structures for Rust,https://gitlab.com/bzim/lockfree,master,mit,Rust,,18,5,5,False,public,2018-06-04T14:59:21.762Z,2024-08-14T17:16:44.364Z,2026-07-06T00:20:12Z
gitlab.com/bzim/owned-alloc,True,9090400,gl/9090400,gitlab.com,User,user,bzim,owned-alloc,bzim/owned-alloc,A owned allocation crate in Rust to help reduce errors with manual memory allocation.,https://gitlab.com/bzim/owned-alloc,master,mit,Rust,,1,1,0,False,public,2018-10-27T22:42:41.605Z,2018-11-06T22:58:24.435Z,2026-07-06T00:20:12Z
gitlab.com/bzip2/bzip2,True,12551088,gl/12551088,gitlab.com,Organization,group,bzip2,bzip2-archived,bzip2/bzip2,"Bzip2/libbz2 is a program and library for lossless, block-sorting data compression. This fork for v1.1+ development is has been archived due to lack of interest, and because there are better options available through the Rust ecosystem.",https://gitlab.com/bzip2/bzip2,master,bzip2-1.0.6,C,compression | core libraries,94,0,35,True,public,2019-05-27T19:16:47.570Z,2026-07-08T15:08:19.853Z,2026-07-12T21:32:49Z
