"package","dependency","type"
"actionlint","shellcheck","runtime"
"adwaita-icon-theme","librsvg","runtime"
"aider","certifi","runtime"
"aider","freetype","runtime"
"aider","gcc","runtime"
"aider","jpeg-turbo","runtime"
"aider","libyaml","runtime"
"aider","openblas","runtime"
"aider","python@3.12","runtime"
"aircrack-ng","openssl@4","runtime"
"aircrack-ng","pcre2","runtime"
"aircrack-ng","sqlite","runtime"
"allure","openjdk","runtime"
"angular-cli","node","runtime"
"ansible","certifi","runtime"
"ansible","cryptography","runtime"
"ansible","libsodium","runtime"
"ansible","libssh","runtime"
"ansible","libyaml","runtime"
"ansible","python@3.14","runtime"
"ansible","tree","runtime"
"ansible-lint","cryptography","runtime"
"ansible-lint","libyaml","runtime"
"ansible-lint","python@3.14","runtime"
"ansible-lint","rpds-py","runtime"
"ant","openjdk","runtime"
"aom","libvmaf","runtime"
"apache-arrow","abseil","runtime"
"apache-arrow","aws-crt-cpp","runtime"
"apache-arrow","aws-sdk-cpp","runtime"
"apache-arrow","brotli","runtime"
"apache-arrow","grpc","runtime"
"apache-arrow","llvm","runtime"
"apache-arrow","lz4","runtime"
"apache-arrow","openssl@3","runtime"
"apache-arrow","protobuf","runtime"
"apache-arrow","re2","runtime"
"apache-arrow","snappy","runtime"
"apache-arrow","thrift","runtime"
"apache-arrow","utf8proc","runtime"
"apache-arrow","zstd","runtime"
"apache-spark","openjdk@21","runtime"
"apktool","openjdk","runtime"
"appstream","gettext","runtime"
"appstream","glib","runtime"
"appstream","libfyaml","runtime"
"appstream","libxmlb","runtime"
"appstream","zstd","runtime"
"apr-util","apr","runtime"
"apr-util","openssl@3","runtime"
"aria2","c-ares","runtime"
"aria2","gettext","runtime"
"aria2","libssh2","runtime"
"aria2","openssl@3","runtime"
"aria2","sqlite","runtime"
"aribb24","libpng","runtime"
"arpack","eigen","runtime"
"arpack","gcc","runtime"
"arpack","open-mpi","runtime"
"arpack","openblas","runtime"
"asciidoc","docbook","runtime"
"asciidoc","python@3.14","runtime"
"asciidoc","source-highlight","runtime"
"asciidoctor","ruby","runtime"
"at-spi2-core","dbus","runtime"
"at-spi2-core","gettext","runtime"
"at-spi2-core","glib","runtime"
"at-spi2-core","libx11","runtime"
"at-spi2-core","libxi","runtime"
"at-spi2-core","libxtst","runtime"
"augeas","readline","runtime"
"autoconf","m4","runtime"
"autoconf-archive","autoconf","runtime"
"autojump","python@3.14","runtime"
"automake","autoconf","runtime"
"avrdude","hidapi","runtime"
"avrdude","libftdi","runtime"
"avrdude","libusb","runtime"
"avrdude","libusb-compat","runtime"
"avro-c","jansson","runtime"
"avro-c","snappy","runtime"
"avro-c","xz","runtime"
"aws-c-auth","aws-c-cal","runtime"
"aws-c-auth","aws-c-common","runtime"
"aws-c-auth","aws-c-http","runtime"
"aws-c-auth","aws-c-io","runtime"
"aws-c-auth","aws-c-sdkutils","runtime"
"aws-c-cal","aws-c-common","runtime"
"aws-c-compression","aws-c-common","runtime"
"aws-c-event-stream","aws-c-common","runtime"
"aws-c-event-stream","aws-c-io","runtime"
"aws-c-event-stream","aws-checksums","runtime"
"aws-c-http","aws-c-cal","runtime"
"aws-c-http","aws-c-common","runtime"
"aws-c-http","aws-c-compression","runtime"
"aws-c-http","aws-c-io","runtime"
"aws-c-io","aws-c-cal","runtime"
"aws-c-io","aws-c-common","runtime"
"aws-c-io","openssl@3","runtime"
"aws-c-io","s2n","runtime"
"aws-c-mqtt","aws-c-common","runtime"
"aws-c-mqtt","aws-c-http","runtime"
"aws-c-mqtt","aws-c-io","runtime"
"aws-c-s3","aws-c-auth","runtime"
"aws-c-s3","aws-c-cal","runtime"
"aws-c-s3","aws-c-common","runtime"
"aws-c-s3","aws-c-http","runtime"
"aws-c-s3","aws-c-io","runtime"
"aws-c-s3","aws-checksums","runtime"
"aws-c-sdkutils","aws-c-common","runtime"
"aws-cdk","node","runtime"
"aws-checksums","aws-c-common","runtime"
"aws-crt-cpp","aws-c-auth","runtime"
"aws-crt-cpp","aws-c-cal","runtime"
"aws-crt-cpp","aws-c-common","runtime"
"aws-crt-cpp","aws-c-event-stream","runtime"
"aws-crt-cpp","aws-c-http","runtime"
"aws-crt-cpp","aws-c-io","runtime"
"aws-crt-cpp","aws-c-mqtt","runtime"
"aws-crt-cpp","aws-c-s3","runtime"
"aws-crt-cpp","aws-c-sdkutils","runtime"
"aws-crt-cpp","aws-checksums","runtime"
"aws-elasticbeanstalk","certifi","runtime"
"aws-elasticbeanstalk","cryptography","runtime"
"aws-elasticbeanstalk","libsodium","runtime"
"aws-elasticbeanstalk","libyaml","runtime"
"aws-elasticbeanstalk","python@3.14","runtime"
"aws-sam-cli","certifi","runtime"
"aws-sam-cli","cryptography","runtime"
"aws-sam-cli","libyaml","runtime"
"aws-sam-cli","openssl@3","runtime"
"aws-sam-cli","pydantic","runtime"
"aws-sam-cli","python@3.14","runtime"
"aws-sam-cli","rpds-py","runtime"
"aws-sdk-cpp","aws-c-auth","runtime"
"aws-sdk-cpp","aws-c-common","runtime"
"aws-sdk-cpp","aws-c-event-stream","runtime"
"aws-sdk-cpp","aws-c-http","runtime"
"aws-sdk-cpp","aws-c-io","runtime"
"aws-sdk-cpp","aws-c-s3","runtime"
"aws-sdk-cpp","aws-crt-cpp","runtime"
"awscli","openssl@3","runtime"
"awscli","python@3.14","runtime"
"azure-cli","libsodium","runtime"
"azure-cli","libyaml","runtime"
"azure-cli","openssl@3","runtime"
"azure-cli","python@3.14","runtime"
"bash","gettext","runtime"
"bash","ncurses","runtime"
"bash","readline","runtime"
"bash-completion@2","bash","runtime"
"bat","libgit2","runtime"
"bat","oniguruma","runtime"
"bazel","openjdk@21","runtime"
"berkeley-db","openssl@3","runtime"
"bind","jemalloc","runtime"
"bind","json-c","runtime"
"bind","libidn2","runtime"
"bind","libnghttp2","runtime"
"bind","libuv","runtime"
"bind","openssl@3","runtime"
"bind","readline","runtime"
"bind","userspace-rcu","runtime"
"binutils","zstd","runtime"
"binwalk","sevenzip","runtime"
"bitwarden-cli","node","runtime"
"black","python@3.14","runtime"
"boost","icu4c@78","runtime"
"boost","xz","runtime"
"boost","zstd","runtime"
"boost-python3","boost","runtime"
"boost-python3","python@3.14","runtime"
"broot","libxcb","runtime"
"bundletool","openjdk","runtime"
"cairo","fontconfig","runtime"
"cairo","freetype","runtime"
