"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"abseil","https://github.com/abseil/abseil-cpp.git","","","","","",""
"ack","","","","","","",""
"acl","","","","","","",""
"act","https://github.com/nektos/act.git","","","","","",""
"actionlint","https://github.com/rhysd/actionlint.git","","","","","",""
"ada-url","https://github.com/ada-url/ada.git","","","","","",""
"adwaita-icon-theme","","","","","","",""
"aften","","","","","","",""
"age","https://github.com/filosottile/age.git","","","","","",""
"aider","","","","","","",""
"aircrack-ng","","","","","","",""
"allure","","","","","","",""
"alsa-lib","","","","","","",""
"ampl-asl","https://github.com/ampl/asl.git","","","","","",""
"angular-cli","","","","","","",""
"ansible","","","","","","",""
"ansible-lint","","","","","","",""
"ant","","","","","","",""
"aom","","","","","","https://aomedia.googlesource.com/aom.git",""
"apache-arrow","","","","","","",""
"apache-serf","","","","","","",""
"apache-spark","","","","","","",""
"apktool","https://github.com/ibotpeaches/apktool.git","","","","","",""
"appstream","https://github.com/ximion/appstream.git","","","","","",""
"apr","","","","","","",""
"apr-util","","","","","","",""
"arduino-cli","https://github.com/arduino/arduino-cli.git","","","","","",""
"argocd","https://github.com/argoproj/argo-cd.git","","","","","",""
"argon2","https://github.com/p-h-c/phc-winner-argon2.git","","","","","",""
"aria2","https://github.com/aria2/aria2.git","","","","","",""
"aribb24","","https://code.videolan.org/jeeb/aribb24.git","","","","",""
"arpack","https://github.com/opencollab/arpack-ng.git","","","","","",""
"asciidoc","","","","","","",""
"asciidoctor","https://github.com/asciidoctor/asciidoctor.git","","","","","",""
"asciinema","https://github.com/asciinema/asciinema.git","","","","","",""
"asdf","https://github.com/asdf-vm/asdf.git","","","","","",""
"aspell","","","","","","",""
"assimp","https://github.com/assimp/assimp.git","","","","","",""
"assimp@5","https://github.com/assimp/assimp.git","","","","","",""
"ast-grep","https://github.com/ast-grep/ast-grep.git","","","","","",""
"at-spi2-core","","","","","","",""
"attr","","","","","","",""
"atuin","https://github.com/atuinsh/atuin.git","","","","","",""
"augeas","https://github.com/hercules-team/augeas.git","","","","","",""
"autoconf","","","","","","",""
"autoconf-archive","","","","","","",""
"autojump","https://github.com/wting/autojump.git","","","","","",""
"automake","","","","","","",""
"avrdude","https://github.com/avrdudes/avrdude.git","","","","","",""
"avro-c","","","","","","",""
"awk","https://github.com/onetrueawk/awk.git","","","","","",""
"aws-c-auth","https://github.com/awslabs/aws-c-auth.git","","","","","",""
"aws-c-cal","https://github.com/awslabs/aws-c-cal.git","","","","","",""
