"package","github_repo"
"abseil","abseil/abseil-cpp"
"act","nektos/act"
"actionlint","rhysd/actionlint"
"ada-url","ada-url/ada"
"age","FiloSottile/age"
"allure","allure-framework/allure2"
"apktool","iBotPeaches/Apktool"
"appstream","ximion/appstream"
"argocd","argoproj/argo-cd"
"argon2","P-H-C/phc-winner-argon2"
"aria2","aria2/aria2"
"arpack","opencollab/arpack-ng"
"asdf","asdf-vm/asdf"
"assimp","assimp/assimp"
"assimp@5","assimp/assimp"
"ast-grep","ast-grep/ast-grep"
"atuin","atuinsh/atuin"
"augeas","hercules-team/augeas"
"autojump","wting/autojump"
"avrdude","avrdudes/avrdude"
"awk","onetrueawk/awk"
"aws-c-auth","awslabs/aws-c-auth"
"aws-c-cal","awslabs/aws-c-cal"
"aws-c-common","awslabs/aws-c-common"
"aws-c-compression","awslabs/aws-c-compression"
"aws-c-event-stream","awslabs/aws-c-event-stream"
"aws-c-http","awslabs/aws-c-http"
"aws-c-io","awslabs/aws-c-io"
"aws-c-mqtt","awslabs/aws-c-mqtt"
"aws-c-s3","awslabs/aws-c-s3"
"aws-c-sdkutils","awslabs/aws-c-sdkutils"
"aws-cdk","aws/aws-cdk"
"aws-checksums","awslabs/aws-checksums"
"aws-crt-cpp","awslabs/aws-crt-cpp"
"aws-iam-authenticator","kubernetes-sigs/aws-iam-authenticator"
"aws-sdk-cpp","aws/aws-sdk-cpp"
"aws-vault","ByteNess/aws-vault"
"awscli","aws/aws-cli"
"azcopy","Azure/azure-storage-azcopy"
"azure-cli","Azure/azure-cli"
"bash-completion@2","scop/bash-completion"
"bat","sharkdp/bat"
"bats-core","bats-core/bats-core"
"bazel","bazelbuild/bazel"
"bazelisk","bazelbuild/bazelisk"
"bdw-gc","bdwgc/bdwgc"
"bear","rizsotto/Bear"
"binwalk","ReFirmLabs/binwalk"
"bitwarden-cli","bitwarden/clients"
"blake3","BLAKE3-team/BLAKE3"
"blueutil","toy/blueutil"
"boost","boostorg/boost"
"boost-python3","boostorg/boost"
"bottom","ClementTsang/bottom"
"broot","Canop/broot"
"brotli","google/brotli"
"btop","aristocratos/btop"
"buf","bufbuild/buf"
"bundletool","google/bundletool"
"c-ares","c-ares/c-ares"
"c-blosc","Blosc/c-blosc"
"caddy","caddyserver/caddy"
"capnp","capnproto/capnproto"
"capstone","capstone-engine/capstone"
"cargo-c","lu-zero/cargo-c"
"carthage","Carthage/Carthage"
"cask","cask/cask"
"ccache","ccache/ccache"
"certifi","certifi/python-certifi"
"cfn-lint","aws-cloudformation/cfn-lint"
"cgal","CGAL/cgal"
"cgif","dloebl/cgif"
"cgns","CGNS/CGNS"
"chezmoi","twpayne/chezmoi"
"chibi-scheme","ashinn/chibi-scheme"
"chruby","postmodern/chruby"
"circleci","CircleCI-Public/circleci-cli"
"cjson","DaveGamble/cJSON"
"clamav","Cisco-Talos/clamav"
"clang-format","llvm/llvm-project"
"cliclick","BlueM/cliclick"
"cloc","AlDanial/cloc"
"clojure","clojure/brew-install"
"cloudflared","cloudflare/cloudflared"
"cmake","Kitware/CMake"
"cmake-docs","Kitware/CMake"
"cmatrix","abishekvashok/cmatrix"
"cocoapods","CocoaPods/CocoaPods"
"colima","abiosoft/colima"
"confuse","libconfuse/libconfuse"
"cookiecutter","cookiecutter/cookiecutter"
"cosign","sigstore/cosign"
"cowsay","cowsay-org/cowsay"
"cppcheck","danmar/cppcheck"
"cppzmq","zeromq/cppzmq"
"cups","OpenPrinting/cups"
"cyrus-sasl","cyrusimap/cyrus-sasl"
"d2","terrastruct/d2"
"deno","denoland/deno"
"dependency-check","dependency-check/DependencyCheck"
"difftastic","Wilfred/difftastic"
"direnv","direnv/direnv"
"dive","wagoodman/dive"
"docbook","docbook/docbook"
"docbook-xsl","docbook/xslt10-stylesheets"
"docker","docker/cli"
"docker-buildx","docker/buildx"
"docker-completion","docker/cli"
"docker-compose","docker/compose"
"docker-credential-helper","docker/docker-credential-helpers"
"docker-credential-helper-ecr","awslabs/amazon-ecr-credential-helper"
"doctl","digitalocean/doctl"
"dotnet","dotnet/dotnet"
"dotnet@8","dotnet/dotnet"
"double-conversion","google/double-conversion"
"duckdb","duckdb/duckdb"
"duktape","svaarala/duktape"
"dust","bootandy/dust"
"edencommon","facebookexperimental/edencommon"
"eksctl","eksctl-io/eksctl"
"elixir","elixir-lang/elixir"
"emscripten","emscripten-core/emscripten"
"enchant","rrthomas/enchant"
"erlang","erlang/otp"
"ethereum","ethereum/go-ethereum"
"exercism","exercism/cli"
"expat","libexpat/libexpat"
"eza","eza-community/eza"
"faac","knik0/faac"
"faad2","knik0/faad2"
"fastfetch","fastfetch-cli/fastfetch"
"fastlane","fastlane/fastlane"
"faudio","FNA-XNA/FAudio"
"fb303","facebook/fb303"
"fbthrift","facebook/fbthrift"
"fd","sharkdp/fd"
"fetch","gruntwork-io/fetch"
