"formula","dep_name","dep_type","fetched_at"
"a2ps","pkgconf","build","2026-07-13 16:56:15.835262"
"a2ps","bdw-gc","runtime","2026-07-13 16:56:15.835262"
"a2ps","libpaper","runtime","2026-07-13 16:56:15.835262"
"a52dec","__none__","","2026-07-13 16:56:15.835262"
"aalib","__none__","","2026-07-13 16:56:15.835262"
"aamath","__none__","","2026-07-13 16:56:15.835262"
"aarch64-elf-binutils","pkgconf","build","2026-07-13 16:56:15.835262"
"aarch64-elf-binutils","texinfo","build","2026-07-13 16:56:15.835262"
"aarch64-elf-binutils","zstd","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gcc","aarch64-elf-binutils","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gcc","gmp","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gcc","isl","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gcc","libmpc","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gcc","mpfr","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gcc","zstd","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","pkgconf","build","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","texinfo","build","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","gmp","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","mpfr","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","ncurses","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","python@3.14","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","readline","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","xz","runtime","2026-07-13 16:56:15.835262"
"aarch64-elf-gdb","zstd","runtime","2026-07-13 16:56:15.835262"
"ab-av1","rust","build","2026-07-13 16:56:15.835262"
"ab-av1","ffmpeg","runtime","2026-07-13 16:56:15.835262"
"abcde","pkgconf","build","2026-07-13 16:56:15.835262"
"abcde","cdrtools","runtime","2026-07-13 16:56:15.835262"
"abcde","eye-d3","runtime","2026-07-13 16:56:15.835262"
"abcde","flac","runtime","2026-07-13 16:56:15.835262"
"abcde","glyr","runtime","2026-07-13 16:56:15.835262"
"abcde","lame","runtime","2026-07-13 16:56:15.835262"
"abcde","libdiscid","runtime","2026-07-13 16:56:15.835262"
"abcde","mkcue","runtime","2026-07-13 16:56:15.835262"
"abcde","perl","runtime","2026-07-13 16:56:15.835262"
"abcde","vorbis-tools","runtime","2026-07-13 16:56:15.835262"
"abcl","ant","build","2026-07-13 16:56:15.835262"
"abcl","openjdk","runtime","2026-07-13 16:56:15.835262"
"abcl","rlwrap","runtime","2026-07-13 16:56:15.835262"
"abcm2ps","coreutils","build","2026-07-13 16:56:15.835262"
"abcm2ps","gnu-sed","build","2026-07-13 16:56:15.835262"
"abcm2ps","pkgconf","build","2026-07-13 16:56:15.835262"
"abcmidi","__none__","","2026-07-13 16:56:15.835262"
"abduco","__none__","","2026-07-13 16:56:15.835262"
"abi-dumper","elfutils","runtime","2026-07-13 16:56:15.835262"
"abi-dumper","perl","runtime","2026-07-13 16:56:15.835262"
"abi-dumper","universal-ctags","runtime","2026-07-13 16:56:15.835262"
"abi-dumper","vtable-dumper","runtime","2026-07-13 16:56:15.835262"
"abi3audit","cmake","build","2026-07-13 16:56:15.835262"
"abi3audit","pkgconf","build","2026-07-13 16:56:15.835262"
"abi3audit","certifi","runtime","2026-07-13 16:56:15.835262"
"abi3audit","python@3.14","runtime","2026-07-13 16:56:15.835262"
"abnfgen","__none__","","2026-07-13 16:56:15.835262"
"abook","autoconf","build","2026-07-13 16:56:15.835262"
"abook","automake","build","2026-07-13 16:56:15.835262"
"abook","gettext","build","2026-07-13 16:56:15.835262"
"abook","gettext","runtime","2026-07-13 16:56:15.835262"
"abook","readline","runtime","2026-07-13 16:56:15.835262"
"abpoa","__none__","","2026-07-13 16:56:15.835262"
"abricate","any2fasta","runtime","2026-07-13 16:56:15.835262"
"abricate","bioperl","runtime","2026-07-13 16:56:15.835262"
"abricate","blast","runtime","2026-07-13 16:56:15.835262"
"abseil","cmake","build","2026-07-13 16:56:15.835262"
"abseil","googletest","build","2026-07-13 16:56:15.835262"
"abyss","boost","build","2026-07-13 16:56:15.835262"
"abyss","google-sparsehash","build","2026-07-13 16:56:15.835262"
"abyss","btllib","runtime","2026-07-13 16:56:15.835262"
"abyss","libomp","runtime","2026-07-13 16:56:15.835262"
"abyss","open-mpi","runtime","2026-07-13 16:56:15.835262"
"ace","__none__","","2026-07-13 16:56:15.835262"
"aces_container","cmake","build","2026-07-13 16:56:15.835262"
"aces_container","pkgconf","build","2026-07-13 16:56:15.835262"
"ack","pod2man","build","2026-07-13 16:56:15.835262"
"acl","attr","build","2026-07-13 16:56:15.835262"
"acl2","sbcl","runtime","2026-07-13 16:56:15.835262"
"acme","__none__","","2026-07-13 16:56:15.835262"
"acme.sh","__none__","","2026-07-13 16:56:15.835262"
"acpica","__none__","","2026-07-13 16:56:15.835262"
"acronym","cmake","build","2026-07-13 16:56:15.835262"
"acronym","meson","build","2026-07-13 16:56:15.835262"
"acronym","ninja","build","2026-07-13 16:56:15.835262"
"acronym","numpy","runtime","2026-07-13 16:56:15.835262"
"acronym","python@3.14","runtime","2026-07-13 16:56:15.835262"
"act","go","build","2026-07-13 16:56:15.835262"
"action-docs","node","runtime","2026-07-13 16:56:15.835262"
"action-validator","rust","build","2026-07-13 16:56:15.835262"
"actionlint","go","build","2026-07-13 16:56:15.835262"
"actionlint","ronn","build","2026-07-13 16:56:15.835262"
"actionlint","shellcheck","runtime","2026-07-13 16:56:15.835262"
"actions-batch","go","build","2026-07-13 16:56:15.835262"
"actions-languageserver","node","runtime","2026-07-13 16:56:15.835262"
"actions-up","node","runtime","2026-07-13 16:56:15.835262"
"activemq","java-service-wrapper","runtime","2026-07-13 16:56:15.835262"
"activemq","openjdk","runtime","2026-07-13 16:56:15.835262"
"activemq-cpp","pkgconf","build","2026-07-13 16:56:15.835262"
"activemq-cpp","apr","runtime","2026-07-13 16:56:15.835262"
"activemq-cpp","openssl@3","runtime","2026-07-13 16:56:15.835262"
"ad","rust","build","2026-07-13 16:56:15.835262"
"ada-url","cmake","build","2026-07-13 16:56:15.835262"
"ada-url","cxxopts","build","2026-07-13 16:56:15.835262"
"ada-url","fmt","runtime","2026-07-13 16:56:15.835262"
"adamstark-audiofile","__none__","","2026-07-13 16:56:15.835262"
"adapterremoval","meson","build","2026-07-13 16:56:15.835262"
"adapterremoval","ninja","build","2026-07-13 16:56:15.835262"
"adapterremoval","pkgconf","build","2026-07-13 16:56:15.835262"
"adapterremoval","sphinx-doc","build","2026-07-13 16:56:15.835262"
"adapterremoval","isa-l","runtime","2026-07-13 16:56:15.835262"
"adapterremoval","libdeflate","runtime","2026-07-13 16:56:15.835262"
"adaptivecpp","cmake","build","2026-07-13 16:56:15.835262"
"adaptivecpp","libomp","runtime","2026-07-13 16:56:15.835262"
"adb-enhanced","python@3.14","runtime","2026-07-13 16:56:15.835262"
"add-determinism","pkgconf","build","2026-07-13 16:56:15.835262"
"add-determinism","rust","build","2026-07-13 16:56:15.835262"
"addlicense","go","build","2026-07-13 16:56:15.835262"
"addons-linter","node","runtime","2026-07-13 16:56:15.835262"
"adios2","cmake","build","2026-07-13 16:56:15.835262"
"adios2","nlohmann-json","build","2026-07-13 16:56:15.835262"
"adios2","pybind11","build","2026-07-13 16:56:15.835262"
"adios2","c-blosc2","runtime","2026-07-13 16:56:15.835262"
"adios2","gcc","runtime","2026-07-13 16:56:15.835262"
"adios2","libfabric","runtime","2026-07-13 16:56:15.835262"
"adios2","libpng","runtime","2026-07-13 16:56:15.835262"
"adios2","libsodium","runtime","2026-07-13 16:56:15.835262"
"adios2","lz4","runtime","2026-07-13 16:56:15.835262"
"adios2","mpi4py","runtime","2026-07-13 16:56:15.835262"
"adios2","nanobind","runtime","2026-07-13 16:56:15.835262"
"adios2","numpy","runtime","2026-07-13 16:56:15.835262"
"adios2","open-mpi","runtime","2026-07-13 16:56:15.835262"
"adios2","openssl@3","runtime","2026-07-13 16:56:15.835262"
"adios2","pugixml","runtime","2026-07-13 16:56:15.835262"
"adios2","python@3.14","runtime","2026-07-13 16:56:15.835262"
"adios2","sqlite","runtime","2026-07-13 16:56:15.835262"
"adios2","yaml-cpp","runtime","2026-07-13 16:56:15.835262"
"adios2","zeromq","runtime","2026-07-13 16:56:15.835262"
"adios2","zstd","runtime","2026-07-13 16:56:15.835262"
"admesh","__none__","","2026-07-13 16:56:15.835262"
"adns","__none__","","2026-07-13 16:56:15.835262"
"adplay","libtool","build","2026-07-13 16:56:15.835262"
"adplay","pkgconf","build","2026-07-13 16:56:15.835262"
"adplay","adplug","runtime","2026-07-13 16:56:15.835262"
"adplay","libbinio","runtime","2026-07-13 16:56:15.835262"
"adplay","sdl2-compat","runtime","2026-07-13 16:56:15.835262"
"adplug","pkgconf","build","2026-07-13 16:56:15.835262"
"adplug","texinfo","build","2026-07-13 16:56:15.835262"
"adplug","libbinio","runtime","2026-07-13 16:56:15.835262"
"adr-tools","__none__","","2026-07-13 16:56:15.835262"
"adr-viewer","python@3.14","runtime","2026-07-13 16:56:15.835262"
"adrs","rust","build","2026-07-13 16:56:15.835262"
"advancecomp","autoconf","build","2026-07-13 16:56:15.835262"
"advancecomp","automake","build","2026-07-13 16:56:15.835262"
"advancecomp","libtool","build","2026-07-13 16:56:15.835262"
"advancescan","__none__","","2026-07-13 16:56:15.835262"
"adwaita-icon-theme","gtk4","build","2026-07-13 16:56:15.835262"
"adwaita-icon-theme","meson","build","2026-07-13 16:56:15.835262"
"adwaita-icon-theme","ninja","build","2026-07-13 16:56:15.835262"
"adwaita-icon-theme","pkgconf","build","2026-07-13 16:56:15.835262"
"adwaita-icon-theme","librsvg","runtime","2026-07-13 16:56:15.835262"
"aerc","go","build","2026-07-13 16:56:15.835262"
"aerc","scdoc","build","2026-07-13 16:56:15.835262"
"aerc","notmuch","runtime","2026-07-13 16:56:15.835262"
"aerleon","libyaml","runtime","2026-07-13 16:56:15.835262"
"aerleon","python@3.14","runtime","2026-07-13 16:56:15.835262"
"aescrypt","__none__","","2026-07-13 16:56:15.835262"
"aescrypt-packetizer","__none__","","2026-07-13 16:56:15.835262"
"aespipe","__none__","","2026-07-13 16:56:15.835262"
"afflib","autoconf","build","2026-07-13 16:56:15.835262"
"afflib","automake","build","2026-07-13 16:56:15.835262"
"afflib","libtool","build","2026-07-13 16:56:15.835262"
"afflib","pkgconf","build","2026-07-13 16:56:15.835262"
"afflib","python@3.14","build","2026-07-13 16:56:15.835262"
"afflib","openssl@3","runtime","2026-07-13 16:56:15.835262"
"afio","__none__","","2026-07-13 16:56:15.835262"
"afl++","coreutils","build","2026-07-13 16:56:15.835262"
"afl++","lld","runtime","2026-07-13 16:56:15.835262"
"afl++","llvm","runtime","2026-07-13 16:56:15.835262"
"afl++","python@3.14","runtime","2026-07-13 16:56:15.835262"
"afsctool","cmake","build","2026-07-13 16:56:15.835262"
"afsctool","google-sparsehash","build","2026-07-13 16:56:15.835262"
"afsctool","pkgconf","build","2026-07-13 16:56:15.835262"
"aften","cmake","build","2026-07-13 16:56:15.835262"
"aftman","pkgconf","build","2026-07-13 16:56:15.835262"
"aftman","rust","build","2026-07-13 16:56:15.835262"
"afuse","autoconf","build","2026-07-13 16:56:15.835262"
"afuse","automake","build","2026-07-13 16:56:15.835262"
"afuse","pkgconf","build","2026-07-13 16:56:15.835262"
"afuse","libfuse@2","runtime","2026-07-13 16:56:15.835262"
"agda","cabal-install","build","2026-07-13 16:56:15.835262"
"agda","emacs","build","2026-07-13 16:56:15.835262"
"agda","pkgconf","build","2026-07-13 16:56:15.835262"
"agda","ghc@9.12","runtime","2026-07-13 16:56:15.835262"
"agda","gmp","runtime","2026-07-13 16:56:15.835262"
"agda","icu4c@78","runtime","2026-07-13 16:56:15.835262"
"age","go","build","2026-07-13 16:56:15.835262"
"age-plugin-se","scdoc","build","2026-07-13 16:56:15.835262"
"age-plugin-yubikey","pkgconf","build","2026-07-13 16:56:15.835262"
"age-plugin-yubikey","rust","build","2026-07-13 16:56:15.835262"
"agedu","cmake","build","2026-07-13 16:56:15.835262"
"agent-browser","rust","build","2026-07-13 16:56:15.835262"
"agent-browser","node","runtime","2026-07-13 16:56:15.835262"
"agg","rust","build","2026-07-13 16:56:15.835262"
"aha","__none__","","2026-07-13 16:56:15.835262"
"ahcpd","__none__","","2026-07-13 16:56:15.835262"
"ahoy","go","build","2026-07-13 16:56:15.835262"
"ai-cli","node","runtime","2026-07-13 16:56:15.835262"
"aiac","go","build","2026-07-13 16:56:15.835262"
"aichat","rust","build","2026-07-13 16:56:15.835262"
"aicommit","go","build","2026-07-13 16:56:15.835262"
"aicommit2","node","runtime","2026-07-13 16:56:15.835262"
"aicommits","node","runtime","2026-07-13 16:56:15.835262"
"aide","pkgconf","build","2026-07-13 16:56:15.835262"
"aide","libgcrypt","runtime","2026-07-13 16:56:15.835262"
"aide","libgpg-error","runtime","2026-07-13 16:56:15.835262"
"aide","pcre2","runtime","2026-07-13 16:56:15.835262"
"aider","ninja","build","2026-07-13 16:56:15.835262"
"aider","pkgconf","build","2026-07-13 16:56:15.835262"
"aider","rust","build","2026-07-13 16:56:15.835262"
"aider","certifi","runtime","2026-07-13 16:56:15.835262"
"aider","freetype","runtime","2026-07-13 16:56:15.835262"
"aider","gcc","runtime","2026-07-13 16:56:15.835262"
"aider","jpeg-turbo","runtime","2026-07-13 16:56:15.835262"
"aider","libyaml","runtime","2026-07-13 16:56:15.835262"
"aider","openblas","runtime","2026-07-13 16:56:15.835262"
"aider","python@3.12","runtime","2026-07-13 16:56:15.835262"
"aiken","pkgconf","build","2026-07-13 16:56:15.835262"
"aiken","rust","build","2026-07-13 16:56:15.835262"
"ain","go","build","2026-07-13 16:56:15.835262"
"air","rust","build","2026-07-13 16:56:15.835262"
"aircrack-ng","autoconf","build","2026-07-13 16:56:15.835262"
"aircrack-ng","automake","build","2026-07-13 16:56:15.835262"
"aircrack-ng","libtool","build","2026-07-13 16:56:15.835262"
"aircrack-ng","pkgconf","build","2026-07-13 16:56:15.835262"
"aircrack-ng","openssl@4","runtime","2026-07-13 16:56:15.835262"
"aircrack-ng","pcre2","runtime","2026-07-13 16:56:15.835262"
"aircrack-ng","sqlite","runtime","2026-07-13 16:56:15.835262"
"airshare","certifi","runtime","2026-07-13 16:56:15.835262"
"airshare","python@3.14","runtime","2026-07-13 16:56:15.835262"
"airspy","cmake","build","2026-07-13 16:56:15.835262"
"airspy","pkgconf","build","2026-07-13 16:56:15.835262"
"airspy","libusb","runtime","2026-07-13 16:56:15.835262"
"airspyhf","cmake","build","2026-07-13 16:56:15.835262"
"airspyhf","pkgconf","build","2026-07-13 16:56:15.835262"
"airspyhf","libusb","runtime","2026-07-13 16:56:15.835262"
"airtable-mcp-server","node","runtime","2026-07-13 16:56:15.835262"
"aiven-client","certifi","runtime","2026-07-13 16:56:15.835262"
"aiven-client","python@3.14","runtime","2026-07-13 16:56:15.835262"
"akamai","go","build","2026-07-13 16:56:15.835262"
"akku","pkgconf","build","2026-07-13 16:56:15.835262"
"akku","guile","runtime","2026-07-13 16:56:15.835262"
"aklomp-base64","cmake","build","2026-07-13 16:56:15.835262"
"alass","rust","build","2026-07-13 16:56:15.835262"
"alda","go","build","2026-07-13 16:56:15.835262"
"alda","gradle@8","build","2026-07-13 16:56:15.835262"
"alda","openjdk","runtime","2026-07-13 16:56:15.835262"
"aldo","libao","runtime","2026-07-13 16:56:15.835262"
"alejandra","rust","build","2026-07-13 16:56:15.835262"
"alembic","cmake","build","2026-07-13 16:56:15.835262"
