package,license,fetched_at
abseil,apache-2.0,2026-07-21T21:08:14Z
ack,artistic-2.0,2026-07-21T21:08:14Z
acl,gpl-2.0-or-later and lgpl-2.1-or-later,2026-07-21T21:08:14Z
act,mit,2026-07-21T21:08:14Z
actionlint,mit,2026-07-21T21:08:14Z
ada-url,apache-2.0 or mit,2026-07-21T21:08:14Z
adwaita-icon-theme,lgpl-3.0-or-later or cc-by-sa-3.0,2026-07-21T21:08:14Z
aften,lgpl-2.1-or-later,2026-07-21T21:08:14Z
age,bsd-3-clause,2026-07-21T21:08:14Z
aider,apache-2.0,2026-07-21T21:08:14Z
aircrack-ng,bsd-3-clause and gpl-2.0-or-later and (gpl-2.0-or-later with cryptsetup-openssl-exception),2026-07-21T21:08:14Z
allure,apache-2.0,2026-07-21T21:08:14Z
alsa-lib,lgpl-2.1-or-later and gpl-2.0-or-later,2026-07-21T21:08:14Z
ampl-asl,bsd-3-clause,2026-07-21T21:08:14Z
angular-cli,mit,2026-07-21T21:08:14Z
ansible,gpl-3.0-or-later,2026-07-21T21:08:14Z
ansible-lint,mit and gpl-3.0-or-later,2026-07-21T21:08:14Z
ant,apache-2.0,2026-07-21T21:08:14Z
aom,bsd-2-clause,2026-07-21T21:08:14Z
apache-arrow,apache-2.0,2026-07-21T21:08:14Z
apache-serf,apache-2.0,2026-07-21T21:08:14Z
apache-spark,apache-2.0,2026-07-21T21:08:14Z
apktool,apache-2.0,2026-07-21T21:08:14Z
appstream,lgpl-2.1-or-later,2026-07-21T21:08:14Z
apr,apache-2.0,2026-07-21T21:08:14Z
apr-util,apache-2.0,2026-07-21T21:08:14Z
arduino-cli,gpl-3.0-only,2026-07-21T21:08:14Z
argocd,apache-2.0,2026-07-21T21:08:14Z
argon2,cc0-1.0 or apache-2.0,2026-07-21T21:08:14Z
aria2,gpl-2.0-or-later,2026-07-21T21:08:14Z
aribb24,lgpl-3.0-only,2026-07-21T21:08:14Z
arpack,bsd-3-clause,2026-07-21T21:08:14Z
asciidoc,gpl-2.0-or-later,2026-07-21T21:08:14Z
asciidoctor,mit,2026-07-21T21:08:14Z
