"package","avg_downloads","2021","2022","2023","2024","2025"
"ca-certificates","4731609","0","8734994","1721992","3966910","4502542"
"xz","3855986","0","7326733","1629556","3493594","2974062"
"sqlite","3691987","0","7562921","1353064","2871217","2980746"
"openssl@3","3498788","0","2100095","1795303","4905531","5194224"
"glib","3003625","0","4791098","1269551","3033701","2920150"
"node","2773602","0","4407780","1234539","2731937","2720152"
"readline","2631392","0","5191787","665401","2456947","2211435"
"libnghttp2","2517924","0","5553844","986427","1820241","1711187"
"harfbuzz","2501400","0","3837193","1083475","2459080","2625854"
"gettext","2480985","0","4265090","701391","2220924","2736538"
"pcre2","2306580","0","4286414","671861","2047268","2220778"
"python@3.12","2224521","0","0","0","3179114","1269929"
"python@3.13","2079405","0","0","0","960477","3198334"
"zstd","1911802","0","2946779","1064703","1751958","1883768"
"libpng","1910764","0","3503512","630113","1627097","1882337"
"python@3.10","1879644","0","5377075","825213","766344","549945"
"libx11","1837738","0","3334845","706571","1740696","1568841"
"git","1832306","0","3237461","801310","1676551","1613902"
"lz4","1828779","0","3628846","659985","1550195","1476092"
"jpeg-turbo","1803821","0","3312104","684691","1731951","1486539"
"awscli","1751886","0","2312196","733314","1857487","2104550"
"libidn2","1650326","0","4059043","474703","1160992","906567"
"libtiff","1648669","0","3174425","870050","1294255","1255948"
"unbound","1640424","0","3188288","591969","1594030","1187409"
"fontconfig","1634403","0","3303064","529345","1195013","1510190"
"jpeg-xl","1621571","0","2723239","726189","1688932","1347926"
"libunistring","1618694","0","2796245","466641","1522437","1689455"
"icu4c@77","1587966","0","0","0","0","1587966"
"gnutls","1550257","0","3035146","588528","1337885","1239471"
"freetype","1502390","0","3104900","749086","1081373","1074204"
"mpdecimal","1496913","0","2181341","473486","1701150","1631676"
"python@3.9","1488713","0","4272653","527040","680302","474857"
"aom","1485175","0","2836709","539345","1426260","1138387"
"little-cms2","1458510","0","2584332","797492","1181801","1270416"
"webp","1453192","0","2845391","692419","1129068","1145893"
"python@3.11","1359832","0","1683606","1571411","1430574","753739"
"gmp","1358823","0","2003502","572324","1480374","1379094"
"cmake","1332849","0","1440694","723699","1597582","1569424"
"pyenv","1267218","0","1768041","579765","1395998","1325068"
"ffmpeg","1266137","0","1646538","425058","1479516","1513437"
"c-ares","1237988","0","1950818","480268","1555096","965772"
"libuv","1232141","0","2613970","484926","953721","875949"
"libxcb","1227499","0","2232254","567648","1270725","839370"
"xorgproto","1206438","0","2372469","547794","1104491","801000"
"openjdk","1196957","0","2087942","510361","1194346","995182"
"openexr","1181137","0","1651312","694632","1129313","1249294"
"gh","1169690","0","1189319","394493","1302431","1792519"
"brotli","1156315","0","2082845","465859","967575","1108984"
"pango","1136114","0","1547861","314801","1251704","1430092"
"libxau","1129290","0","2490547","346525","714089","965999"
"pixman","1123316","0","2084098","345727","795323","1268116"
"gcc","1109102","0","1129140","631285","1587961","1088022"
"curl","1060193","0","1728841","561696","1022060","928175"
"krb5","1056264","0","1889031","617691","913225","805112"
"libxext","1047804","0","2029432","349622","1044767","767397"
"go","1047691","0","1392512","513029","1056974","1228249"
"nettle","1036662","0","2115504","436424","762564","832156"
"libtool","1032999","0","2371853","257223","773274","729646"
"cairo","1015615","0","1412118","314265","1139310","1196769"
"imath","1008002","0","2215311","400554","798337","617807"
"protobuf","1003974","0","1720022","347527","999370","948979"
"libxdmcp","978297","0","1965048","348725","922472","676945"
"gdbm","968923","0","2610600","191758","552646","520690"
"p11-kit","965128","0","1869734","366660","884433","739688"
"ncurses","964676","0","1321218","373546","965738","1198202"
"giflib","963324","0","1745645","321574","1042336","743741"
"imagemagick","945142","0","1573486","452619","912693","841772"
"libxrender","944970","0","1919330","337371","646979","876200"
"wget","939560","0","1349795","556948","1137063","714436"
"m4","926897","0","2208119","254136","484105","761228"
"tesseract","913768","0","1155915","423580","1101000","974577"
"highway","912315","0","1811891","502613","779193","555564"
"zlib","890331","0","1142506","479277","999206","940336"
"sdl2","865257","0","1628834","318053","807025","707119"
"libevent","850595","0","1493998","465102","768326","674956"
"ruby-build","846438","0","1827694","233082","759227","565752"
"libpq","836096","0","1620325","375222","739242","609598"
"ruby","802348","0","1362620","350990","769299","726483"
"libtasn1","796456","0","1861107","206521","434319","683879"
"openjpeg","783774","0","1345543","331967","733360","724229"
"libvmaf","782731","0","1631132","204109","725839","569844"
"gnupg","759991","0","915044","277128","972906","874887"
"guile","759055","0","2544603","83747","299488","108384"
"fribidi","737907","0","1253493","297730","835076","565329"
"libavif","720852","0","1643271","189758","564943","485439"
"icu4c@76","717527","0","0","0","668916","766139"
"graphite2","710634","0","1313322","277270","611513","640434"
"autoconf","707705","0","1420819","194673","792412","422916"
"lzo","700894","0","1474981","266928","519068","542601"
"openldap","697337","0","1260672","372145","665088","491444"
"libarchive","696702","0","994020","269225","758878","764688"
"oniguruma","696339","0","1316356","191075","589415","688510"
"php","694800","0","1215858","339546","674686","549111"
"jasper","691511","0","1617689","135907","563820","448629"
"coreutils","687007","0","836564","368299","656056","887112"
"libomp","686364","0","1191879","263821","615592","674166"
"libffi","677552","0","1511038","182403","431956","584813"
"boost","676969","0","1186242","266155","699669","555812"
"certifi","666535","0","0","0","595710","737361"
"kubernetes-cli","644483","0","1129092","289445","582207","577188"
"mpfr","638726","0","1016267","499170","540738","498732"
"libssh2","621327","0","982403","376427","585136","541342"
"librsvg","615170","0","981650","277157","660658","541215"
"pkgconf","612084","0","985","807","452193","1994354"
"libheif","608208","0","988958","246537","635644","561696"
"libgpg-error","603556","0","984663","198754","646215","584592"
"libsodium","600436","0","1030897","182642","683730","504476"
