repo,value_class,host,creators,origin,known_funders,repo_tm,repo_tm_owner,repo_tm_owner_domain,repo_tm_owner_type,repo_confidence,repo_reason,user,user_name,user_type,user_owner,user_owner_name,user_owner_domain,user_owner_type,user_tm,user_tm_owner,user_tm_owner_domain,user_tm_owner_type,user_confidence,user_reason,checked_at
01org/opa-psm2,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),01org,,,,,,,,,,,,,2026-04-27T23:00:00Z
02strich/pykerberos,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),02strich,,,,,,,,,,,,,2026-04-27T23:00:00Z
0no-co/graphql.web,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),0no-co,,,,,,,,,,,,,2026-04-27T23:00:00Z
0no-co/wonka,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),0no-co,,,,,,,,,,,,,2026-04-27T23:00:00Z
0x20f/paris,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),0x20f,,,,,,,,,,,,,2026-04-27T23:00:00Z
101arrowz/fflate,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),101arrowz,,,,,,,,,,,,,2026-04-27T23:00:00Z
10der/homeassistant-custom_components-awtrix,B,,Andrei Lebedev,,,,,,individual,60,inherited from owner mapping (10der),10der,,,10der,Andrei Lebedev,,individual,,,,individual,60,solo maintainer,2026-04-27T22:41:10Z
10xgenomics/lz4-rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),10xgenomics,,,,,,,,,,,,,2026-04-27T23:00:00Z
197g/static-alloc,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),197g,,,,,,,,,,,,,2026-04-27T23:00:00Z
19h/zuse,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),19h,,,,,,,,,,,,,2026-04-27T23:00:00Z
1aim/rust-regex-cache,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),1aim,,,,,,,,,,,,,2026-04-27T23:00:00Z
1password/arboard,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),1password,,,,,,,,,,,,,2026-04-27T23:00:00Z
1password/password-rules-parser,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),1password,,,,,,,,,,,,,2026-04-27T23:00:00Z
1password/sys-locale,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),1password,,,,,,,,,,,,,2026-04-27T23:00:00Z
1password/typeshare,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),1password,,,,,,,,,,,,,2026-04-27T23:00:00Z
23andme/yamale,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),23andme,,,,,,,,,,,,,2026-04-27T23:00:00Z
2dav/crabgrind,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),2dav,,,,,,,,,,,,,2026-04-27T23:00:00Z
3hren/msgpack-rust,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3hren,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/colorspace,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/diagnostics,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/enabled,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/env-variable,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/find-package-json,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/fn.name,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/kuler,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/one-time,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/text-hex,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
3rd-eden/useragent,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),3rd-eden,,,,,,,,,,,,,2026-04-27T23:00:00Z
43081j/fast-wrap-ansi,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),43081j,,,,,,,,,,,,,2026-04-27T23:00:00Z
4creators/jxrlib,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),4creators,,,,,,,,,,,,,2026-04-27T23:00:00Z
4ldo2/ioslice-rs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),4ldo2,,,,,,,,,,,,,2026-04-27T23:00:00Z
56quarters/cadence,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),56quarters,,,,,,,,,,,,,2026-04-27T23:00:00Z
59naga/babel-plugin-add-module-exports,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),59naga,,,,,,,,,,,,,2026-04-27T23:00:00Z
6d7a/xml-no-std,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),6d7a,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/array-back,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/byte-size,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/command-line-args,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/command-line-usage,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/find-replace,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/reduce-flatten,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/table-layout,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/typical,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
75lb/wordwrapjs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),75lb,,,,,,,,,,,,,2026-04-27T23:00:00Z
7rulnik/source-map-js,B,,Valentin Semirulnik,,,,,,individual,90,inherited from owner mapping (7rulnik),7rulnik,Valentin Semirulnik,User,7rulnik,Valentin Semirulnik,,individual,,,,individual,90,solo maintainer (npm utility libs),2026-04-27T22:41:10Z
823984418/const_soft_float,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),823984418,,,,,,,,,,,,,2026-04-27T23:00:00Z
a-kenji/tui-term,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a-kenji,,,,,,,,,,,,,2026-04-27T23:00:00Z
a11yance/aria-query,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a11yance,,,,,,,,,,,,,2026-04-27T23:00:00Z
a11yance/axobject-query,C,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a11yance,,,,,,,,,,,,,2026-04-27T23:00:00Z
a1ien/rusb,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a1ien,,,,,,,,,,,,,2026-04-27T23:00:00Z
a1phyr/eazip,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a1phyr,,,,,,,,,,,,,2026-04-27T23:00:00Z
a1phyr/sync_file,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a1phyr,,,,,,,,,,,,,2026-04-27T23:00:00Z
a8m/pb,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),a8m,,,,,,,,,,,,,2026-04-27T23:00:00Z
aa-turner/roman-numerals,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aa-turner,,,,,,,,,,,,,2026-04-27T23:00:00Z
aackerman/circular-dependency-plugin,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aackerman,,,,,,,,,,,,,2026-04-27T23:00:00Z
aaronabramov/k9,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aaronabramov,,,,,,,,,,,,,2026-04-27T23:00:00Z
aaronmansfield5/humanisejs,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),aaronmansfield5,,,,,,,,,,,,,2026-04-27T23:00:00Z
abakay/irx-config,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abakay,,,,,,,,,,,,,2026-04-27T23:00:00Z
abaumhauer/eui48,D,,,,,,,,,0,owner not in claude-github-users.csv (likely C/D class),abaumhauer,,,,,,,,,,,,,2026-04-27T23:00:00Z
