repo,repo_id,package,has_npm_funding,npm_funding_url,fetched_at,status
7rulnik/source-map-js,330043541,source-map-js,False,,2026-06-29T23:54:29+00:00,ok
acornjs/acorn,5932749,acorn,False,,2026-06-29T23:54:29+00:00,ok
acornjs/acorn-jsx,22187098,acorn-jsx,False,,2026-06-29T23:54:29+00:00,ok
adobe/react-spectrum,208362715,@react-types/shared,False,,2026-06-29T23:54:29+00:00,ok
ai/nanoid,99401299,nanoid,True,https://github.com/sponsors/ai,2026-06-29T23:54:29+00:00,ok
ajv-validator/ajv,35914020,ajv,True,https://github.com/sponsors/epoberezkin,2026-06-29T23:54:29+00:00,ok
ajv-validator/ajv-formats,281084700,ajv-formats,False,,2026-06-29T23:54:29+00:00,ok
ajv-validator/ajv-keywords,60477053,ajv-keywords,False,,2026-06-29T23:54:29+00:00,ok
alexei/sprintf.js,9175790,sprintf-js,False,,2026-06-29T23:54:29+00:00,ok
alexeyraspopov/picocolors,410740124,picocolors,False,,2026-06-29T23:54:29+00:00,ok
alexindigo/asynckit,59087459,asynckit,False,,2026-06-29T23:54:29+00:00,ok
andrewrk/node-pend,11836813,pend,False,,2026-06-29T23:54:29+00:00,ok
andyperlitch/jsbn,9710533,jsbn,False,,2026-06-29T23:54:29+00:00,ok
angular/angular-cli,36891867,@angular-devkit/core,False,,2026-06-29T23:54:29+00:00,error
antonk52/lilconfig,238967485,lilconfig,True,https://github.com/sponsors/antonk52,2026-06-29T23:54:29+00:00,ok
ardatan/graphql-tools,54432168,@graphql-tools/utils,False,,2026-06-29T23:54:29+00:00,ok
ardatan/whatwg-node,429511342,@whatwg-node/promise-helpers,False,,2026-06-29T23:54:29+00:00,ok
auth0/node-jwa,8116861,jwa,False,,2026-06-29T23:54:29+00:00,ok
aws/aws-sdk-js-crypto-helpers,149673986,@aws-crypto/util,False,,2026-06-29T23:54:29+00:00,ok
aws/aws-sdk-js-v3,87228090,@aws-sdk/types,False,,2026-06-29T23:54:29+00:00,ok
axios/axios,23088740,axios,False,,2026-06-29T23:54:29+00:00,ok
azure/azure-sdk-for-js,108311273,@azure/abort-controller,False,,2026-06-29T23:54:29+00:00,ok
babel/babel,24560307,@babel/helper-plugin-utils,False,,2026-06-29T23:54:29+00:00,ok
babel/babel-polyfills,190579283,@babel/helper-define-polyfill-provider,False,,2026-06-29T23:54:29+00:00,ok
babel/minify,55723051,babel-helper-evaluate-path,False,,2026-06-29T23:54:29+00:00,error
beatgammit/base64-js,2853282,base64-js,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
blakeembrey/array-flatten,17789771,array-flatten,False,,2026-06-29T23:54:29+00:00,ok
blakeembrey/change-case,9440238,no-case,False,,2026-06-29T23:54:29+00:00,ok
brianc/node-postgres,991475,pg-protocol,False,,2026-06-29T23:54:29+00:00,ok
broofa/mime,534940,mime,True,https://github.com/sponsors/broofa,2026-06-29T23:54:29+00:00,ok
browserify/events,1649251,events,False,,2026-06-29T23:54:29+00:00,ok
browserify/node-util,14568009,util,False,,2026-06-29T23:54:29+00:00,ok
browserify/randombytes,29300004,randombytes,False,,2026-06-29T23:54:29+00:00,ok
browserify/resolve,1915099,resolve,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
browserslist/browserslist,27971466,browserslist,True,https://opencollective.com/browserslist,2026-06-29T23:54:29+00:00,ok
browserslist/caniuse-lite,80221890,caniuse-lite,True,https://opencollective.com/browserslist,2026-06-29T23:54:29+00:00,ok
browserslist/update-db,505548145,update-browserslist-db,True,https://opencollective.com/browserslist,2026-06-29T23:54:29+00:00,ok
calvinmetcalf/minimalistic-assert,29144257,minimalistic-assert,False,,2026-06-29T23:54:29+00:00,ok
