"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"2-thenable","https://github.com/medikoo/2-thenable.git","","","","","",""
"@0no-co/graphql.web","https://github.com/0no-co/graphql.web.git","","","","","",""
"@actions/core","https://github.com/actions/toolkit.git","","","","","",""
"@actions/exec","https://github.com/actions/toolkit.git","","","","","",""
"@actions/github","https://github.com/actions/toolkit.git","","","","","",""
"@actions/http-client","https://github.com/actions/toolkit.git","","","","","",""
"@actions/io","https://github.com/actions/toolkit.git","","","","","",""
"@adobe/css-tools","https://github.com/adobe/css-tools.git","","","","","",""
"@adraffy/ens-normalize","https://github.com/adraffy/ens-normalize.js.git","","","","","",""
"@ai-sdk/gateway","https://github.com/vercel/ai.git","","","","","",""
"@ai-sdk/provider","https://github.com/vercel/ai.git","","","","","",""
"@ai-sdk/provider-utils","https://github.com/vercel/ai.git","","","","","",""
"@algolia/abtesting","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-abtesting","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-analytics","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-common","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-insights","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-personalization","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-query-suggestions","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/client-search","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/ingestion","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/monitoring","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/recommend","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/requester-browser-xhr","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/requester-fetch","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@algolia/requester-node-http","https://github.com/algolia/algoliasearch-client-javascript.git","","","","","",""
"@alloc/quick-lru","https://github.com/sindresorhus/quick-lru.git","","","","","",""
"@ampproject/remapping","https://github.com/ampproject/remapping.git","","","","","",""
"@angular-devkit/architect","https://github.com/angular/angular-cli.git","","","","","",""
"@angular-devkit/core","https://github.com/angular/angular-cli.git","","","","","",""
"@angular-devkit/schematics","https://github.com/angular/angular-cli.git","","","","","",""
"@angular-eslint/builder","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular-eslint/bundled-angular-compiler","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular-eslint/eslint-plugin","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular-eslint/eslint-plugin-template","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular-eslint/schematics","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular-eslint/template-parser","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular-eslint/utils","https://github.com/angular-eslint/angular-eslint.git","","","","","",""
"@angular/cdk","https://github.com/angular/components.git","","","","","",""
"@angular/compiler","https://github.com/angular/angular.git","","","","","",""
"@angular/core","https://github.com/angular/angular.git","","","","","",""
"@ant-design/colors","https://github.com/ant-design/ant-design-colors.git","","","","","",""
"@ant-design/cssinjs","https://github.com/ant-design/cssinjs.git","","","","","",""
"@ant-design/cssinjs-utils","https://github.com/ant-design/cssinjs-util.git","","","","","",""
"@ant-design/fast-color","https://github.com/ant-design/fast-color.git","","","","","",""
"@ant-design/icons","https://github.com/ant-design/ant-design-icons.git","","","","","",""
"@ant-design/icons-svg","https://github.com/ant-design/ant-design-icons.git","","","","","",""
"@ant-design/react-slick","https://github.com/ant-design/react-slick.git","","","","","",""
"@antfu/install-pkg","https://github.com/antfu/install-pkg.git","","","","","",""
"@antfu/utils","https://github.com/antfu/utils.git","","","","","",""
"@anthropic-ai/sdk","https://github.com/anthropics/anthropic-sdk-typescript.git","","","","","",""
"@apideck/better-ajv-errors","https://github.com/apideck-libraries/better-ajv-errors.git","","","","","",""
"@apidevtools/json-schema-ref-parser","https://github.com/apidevtools/json-schema-ref-parser.git","","","","","",""
"@apidevtools/openapi-schemas","https://github.com/apidevtools/openapi-schemas.git","","","","","",""
"@apidevtools/swagger-methods","https://github.com/apidevtools/swagger-methods.git","","","","","",""
"@apidevtools/swagger-parser","https://github.com/apidevtools/swagger-parser.git","","","","","",""
"@apm-js-collab/code-transformer","https://github.com/nodejs/orchestrion-js.git","","","","","",""
"@apm-js-collab/tracing-hooks","https://github.com/apm-js-collab/tracing-hooks.git","","","","","",""
"@apollo/cache-control-types","https://github.com/apollographql/apollo-server.git","","","","","",""
"@apollo/client","https://github.com/apollographql/apollo-client.git","","","","","",""
"@apollo/protobufjs","https://github.com/apollographql/protobuf.js.git","","","","","",""
"@apollo/usage-reporting-protobuf","https://github.com/apollographql/apollo-server.git","","","","","",""
