"package","github_repo","repo_url"
"semver","npm/node-semver","https://github.com/npm/node-semver"
"ansi-styles","chalk/ansi-styles","https://github.com/chalk/ansi-styles"
"supports-color","chalk/supports-color","https://github.com/chalk/supports-color"
"debug","debug-js/debug","https://github.com/debug-js/debug"
"chalk","chalk/chalk","https://github.com/chalk/chalk"
"ms","vercel/ms","https://github.com/vercel/ms"
"tslib","Microsoft/tslib","https://github.com/Microsoft/tslib"
"has-flag","sindresorhus/has-flag","https://github.com/sindresorhus/has-flag"
"color-convert","Qix-/color-convert","https://github.com/Qix-/color-convert"
"color-name","colorjs/color-name","https://github.com/colorjs/color-name"
"strip-ansi","chalk/strip-ansi","https://github.com/chalk/strip-ansi"
"source-map","mozilla/source-map","https://github.com/mozilla/source-map"
"ansi-regex","chalk/ansi-regex","https://github.com/chalk/ansi-regex"
"minimatch","isaacs/minimatch","https://github.com/isaacs/minimatch"
"type-fest","sindresorhus/type-fest","https://github.com/sindresorhus/type-fest"
"lru-cache","isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache"
"readable-stream","nodejs/readable-stream","https://github.com/nodejs/readable-stream"
"string-width","sindresorhus/string-width","https://github.com/sindresorhus/string-width"
"commander","tj/commander.js","https://github.com/tj/commander.js"
"kind-of","jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of"
"glob","isaacs/node-glob","https://github.com/isaacs/node-glob"
"find-up","sindresorhus/find-up","https://github.com/sindresorhus/find-up"
"escape-string-regexp","sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp"
"p-locate","sindresorhus/p-locate","https://github.com/sindresorhus/p-locate"
"locate-path","sindresorhus/locate-path","https://github.com/sindresorhus/locate-path"
"yallist","isaacs/yallist","https://github.com/isaacs/yallist"
"wrap-ansi","chalk/wrap-ansi","https://github.com/chalk/wrap-ansi"
"safe-buffer","feross/safe-buffer","https://github.com/feross/safe-buffer"
"p-limit","sindresorhus/p-limit","https://github.com/sindresorhus/p-limit"
"brace-expansion","juliangruber/brace-expansion","https://github.com/juliangruber/brace-expansion"
"emoji-regex","mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex"
"uuid","uuidjs/uuid","https://github.com/uuidjs/uuid"
"string_decoder","nodejs/string_decoder","https://github.com/nodejs/string_decoder"
"ajv","ajv-validator/ajv","https://github.com/ajv-validator/ajv"
"is-fullwidth-code-point","sindresorhus/is-fullwidth-code-point","https://github.com/sindresorhus/is-fullwidth-code-point"
"yargs-parser","yargs/yargs-parser","https://github.com/yargs/yargs-parser"
"isarray","juliangruber/isarray","https://github.com/juliangruber/isarray"
"yargs","yargs/yargs","https://github.com/yargs/yargs"
"acorn","acornjs/acorn","https://github.com/acornjs/acorn"
"get-stream","sindresorhus/get-stream","https://github.com/sindresorhus/get-stream"
"glob-parent","gulpjs/glob-parent","https://github.com/gulpjs/glob-parent"
"fs-extra","jprichardson/node-fs-extra","https://github.com/jprichardson/node-fs-extra"
"camelcase","sindresorhus/camelcase","https://github.com/sindresorhus/camelcase"
"json-schema-traverse","epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse"
"react-is","facebook/react","https://github.com/facebook/react"
"rimraf","isaacs/rimraf","https://github.com/isaacs/rimraf"
"which","npm/node-which","https://github.com/npm/node-which"
"path-exists","sindresorhus/path-exists","https://github.com/sindresorhus/path-exists"
"estraverse","estools/estraverse","https://github.com/estools/estraverse"
"resolve-from","sindresorhus/resolve-from","https://github.com/sindresorhus/resolve-from"
"punycode","mathiasbynens/punycode.js","https://github.com/mathiasbynens/punycode.js"
"inherits","isaacs/inherits","https://github.com/isaacs/inherits"
"schema-utils","webpack/schema-utils","https://github.com/webpack/schema-utils"
"cliui","yargs/cliui","https://github.com/yargs/cliui"
"globals","sindresorhus/globals","https://github.com/sindresorhus/globals"
"qs","ljharb/qs","https://github.com/ljharb/qs"
"resolve","browserify/resolve","https://github.com/browserify/resolve"
"js-yaml","nodeca/js-yaml","https://github.com/nodeca/js-yaml"
"mkdirp","isaacs/node-mkdirp","https://github.com/isaacs/node-mkdirp"
"ws","websockets/ws","https://github.com/websockets/ws"
"postcss","postcss/postcss","https://github.com/postcss/postcss"
