"package","dep_name","dep_version","fetched_at"
"-","__none__","","2026-03-30 09:39:21.767485"
"0.","request","^2.79.0","2026-03-29 14:17:16.075019"
"0.0.1","express","^4.13.3","2026-03-29 14:18:32.12071"
"00.24mrscurrency-converter","@types/inquirer","^9.0.7","2026-03-29 14:18:34.199455"
"00.24mrscurrency-converter","inquirer","^9.2.18","2026-03-29 14:18:34.199455"
"000-sahar-simple-atm","inquirer","^9.2.16","2026-03-29 14:18:30.985207"
"000-simple-calculator","inquirer","^9.2.16","2026-03-29 14:18:31.895299"
"000-webpack","express","^4.14.1","2026-03-29 14:18:31.962843"
"000-webpack","mysql","^2.13.0","2026-03-29 14:18:31.962843"
"0000000conv","inquirer","^9.2.20","2026-03-29 14:17:16.143661"
"0000000r34api","request","^2.88.2","2026-03-29 14:17:16.210889"
"0000000r34api","request-promise-native","^1.0.9","2026-03-29 14:17:16.210889"
"00001-tu","react","^19.0.0","2026-03-29 14:17:16.295112"
"00001-tu","react-dom","^19.0.0","2026-03-29 14:17:16.295112"
"0000lqb","moment","^2.29.4","2026-03-29 14:17:16.380091"
"0000lqb1","moment","^2.29.4","2026-03-29 14:17:16.678127"
"0000simple-calculator-hussain","inquirer","^9.2.16","2026-03-29 14:17:16.610835"
"0001atm","inquirer","^9.2.16","2026-03-29 14:17:16.454981"
"0001atm","undici-types","^5.26.5","2026-03-29 14:17:16.454981"
"0002039atm","inquirer","^9.2.20","2026-03-29 14:17:16.540584"
"000atm","inquirer","^9.3.1","2026-03-29 14:18:29.726435"
"000calculator","inquirer","^9.2.16","2026-03-29 14:18:31.054977"
"000demo","jquery","^2.2.4","2026-03-29 14:18:29.659193"
"000guess","ansi-escapes","^4.3.2","2026-03-29 14:18:29.79416"
"000guess","ansi-regex","^5.0.1","2026-03-29 14:18:29.79416"
"000guess","ansi-styles","^4.3.0","2026-03-29 14:18:29.79416"
"000guess","base64-js","^1.5.1","2026-03-29 14:18:29.79416"
"000guess","bl","^4.1.0","2026-03-29 14:18:29.79416"
"000guess","buffer","^5.7.1","2026-03-29 14:18:29.79416"
"000guess","call-bind","^1.0.7","2026-03-29 14:18:29.79416"
"000guess","chalk","^5.3.0","2026-03-29 14:18:29.79416"
"000guess","chardet","^0.7.0","2026-03-29 14:18:29.79416"
"000guess","cli-cursor","^3.1.0","2026-03-29 14:18:29.79416"
"000guess","cli-spinners","^2.9.2","2026-03-29 14:18:29.79416"
"000guess","cli-width","^4.1.0","2026-03-29 14:18:29.79416"
