"package","year","downloads"
"-","2021","0"
"-","2022","1105610"
"-","2023","2090078"
"-","2024","2908539"
"-","2025","3933504"
"001-mypackage","2021","456"
"001-mypackage","2022","2695"
"001-mypackage","2023","650"
"001-mypackage","2024","748"
"001-mypackage","2025","2190"
"0x","2021","677103"
"0x","2022","1350222"
"0x","2023","1625007"
"0x","2024","1867499"
"0x","2025","3325999"
"101","2021","5547161"
"101","2022","5502083"
"101","2023","3454701"
"101","2024","1720129"
"101","2025","1613497"
"2-thenable","2021","26131793"
"2-thenable","2022","38477556"
"2-thenable","2023","46892887"
"2-thenable","2024","47482314"
"2-thenable","2025","43121707"
"2captcha","2021","77222"
"2captcha","2022","229290"
"2captcha","2023","658287"
"2captcha","2024","3302617"
"2captcha","2025","736021"
"3d-view","2021","5285522"
"3d-view","2022","4378987"
"3d-view","2023","3460908"
"3d-view","2024","2053426"
"3d-view","2025","1224052"
"7zip","2021","1196778"
"7zip","2022","1627995"
"7zip","2023","1006751"
"7zip","2024","828275"
"7zip","2025","1192743"
"7zip-bin","2021","10370540"
"7zip-bin","2022","15058969"
"7zip-bin","2023","15192631"
"7zip-bin","2024","15711102"
"7zip-bin","2025","30116462"
"@-xun/debug","2021","0"
"@-xun/debug","2022","0"
"@-xun/debug","2023","0"
"@-xun/debug","2024","0"
"@-xun/debug","2025","120547"
"@-xun/fs","2021","0"
"@-xun/fs","2022","0"
"@-xun/fs","2023","0"
"@-xun/fs","2024","0"
"@-xun/fs","2025","99795"
"@000alen/knex","2021","0"
"@000alen/knex","2022","0"
"@000alen/knex","2023","0"
"@000alen/knex","2024","162"
"@000alen/knex","2025","221"
"@0no-co/graphql.web","2021","0"
"@0no-co/graphql.web","2022","0"
"@0no-co/graphql.web","2023","10103612"
"@0no-co/graphql.web","2024","31169250"
"@0no-co/graphql.web","2025","96879880"
"@0no-co/graphqlsp","2021","0"
"@0no-co/graphqlsp","2022","0"
"@0no-co/graphqlsp","2023","15467"
"@0no-co/graphqlsp","2024","4088640"
"@0no-co/graphqlsp","2025","17929730"
"@1natsu/wait-element","2021","1976"
"@1natsu/wait-element","2022","867"
"@1natsu/wait-element","2023","2142"
"@1natsu/wait-element","2024","10812"
"@1natsu/wait-element","2025","1697768"
"@1password/connect","2021","26611"
"@1password/connect","2022","811439"
"@1password/connect","2023","826323"
"@1password/connect","2024","626071"
"@1password/connect","2025","934870"
"@47ng/cloak","2021","2842"
"@47ng/cloak","2022","74410"
"@47ng/cloak","2023","320707"
"@47ng/cloak","2024","720025"
"@47ng/cloak","2025","1205365"
"@47ng/codec","2021","22381"
"@47ng/codec","2022","81424"
"@47ng/codec","2023","336346"
"@47ng/codec","2024","736609"
"@47ng/codec","2025","1203735"
"@75lb/deep-merge","2021","259166"
"@75lb/deep-merge","2022","893125"
"@75lb/deep-merge","2023","4984079"
"@75lb/deep-merge","2024","16581312"
"@75lb/deep-merge","2025","18102230"
"@a2a-js/sdk","2021","0"
"@a2a-js/sdk","2022","0"
"@a2a-js/sdk","2023","0"
"@a2a-js/sdk","2024","0"
"@a2a-js/sdk","2025","3908399"
"@ably/msgpack-js","2021","0"
"@ably/msgpack-js","2022","2642707"
"@ably/msgpack-js","2023","0"
"@ably/msgpack-js","2024","4672958"
"@ably/msgpack-js","2025","8804637"
"@actions/core","2021","0"
"@actions/core","2022","56113172"
"@actions/core","2023","0"
"@actions/core","2024","111633190"
"@actions/core","2025","0"
"@actions/exec","2021","0"
"@actions/exec","2022","9763852"
"@actions/exec","2023","0"
"@actions/exec","2024","32832887"
"@actions/exec","2025","0"
"@actions/github","2021","0"
"@actions/github","2022","40769601"
"@actions/github","2023","0"
"@actions/github","2024","65823257"
"@actions/github","2025","0"
"@actions/http-client","2021","23484831"
"@actions/http-client","2022","59052388"
"@actions/http-client","2023","87272842"
"@actions/http-client","2024","143265337"
"@actions/http-client","2025","234957944"
"@actions/io","2021","3980243"
"@actions/io","2022","10162386"
"@actions/io","2023","16172309"
"@actions/io","2024","33424094"
"@actions/io","2025","0"
"@adminjs/design-system","2021","40334"
"@adminjs/design-system","2022","404648"
"@adminjs/design-system","2023","889111"
"@adminjs/design-system","2024","1138147"
"@adminjs/design-system","2025","0"
"@adobe/css-tools","2021","0"
"@adobe/css-tools","2022","57741183"
"@adobe/css-tools","2023","307714999"
"@adobe/css-tools","2024","497610798"
"@adobe/css-tools","2025","822299907"
"@adobe/fetch","2021","4297"
"@adobe/fetch","2022","36624"
"@adobe/fetch","2023","323080"
"@adobe/fetch","2024","1104016"
"@adobe/fetch","2025","2563398"
"@adraffy/ens-normalize","2021","1351"
"@adraffy/ens-normalize","2022","4708"
"@adraffy/ens-normalize","2023","10125706"
"@adraffy/ens-normalize","2024","38578380"
