"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"tslib","microsoft/tslib","9293397240","3205547007","6587973684","11156680193","12308407203","13208378117","True","0.01550115","A","https://github.com/microsoft/tslib.git","eco","gh/34414315","","0bsd"
"@babel/helper-plugin-utils","babel/babel","2335528923","1504224577","2272691623","2394127277","2358417529","3148183613","True","0.01431538","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"@babel/types","babel/babel","3144196272","2086196296","3073122068","2873817679","3146295833","4541549486","True","0.00730475","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"ms","vercel/ms","9905364995","4847731788","8292321479","10374149336","11672731532","14339890844","True","0.00716277","A","https://github.com/vercel/ms.git","eco","gh/3655872","","mit"
"es-errors","ljharb/es-errors","2148077856","0","0","0","1334179349","2961976363","True","0.00631700","A","https://github.com/ljharb/es-errors.git","eco","gh/752160492","","mit"
"debug","debug-js/debug","12000607765","5994491887","9706166665","11725976788","13592255513","18984147972","True","0.00549878","A","https://github.com/debug-js/debug.git","eco","gh/2871998","","mit"
"ansi-regex","chalk/ansi-regex","7681148861","4462174584","6300372972","6950920701","8265538418","12426737631","True","0.00544558","A","https://github.com/chalk/ansi-regex.git","eco","gh/20451415","","mit"
"semver","npm/node-semver","13596078097","5948102006","10113171406","13976578613","16558352576","21384185884","True","0.00518110","A","https://github.com/npm/node-semver.git","eco","gh/1357199","","isc"
"function-bind","raynos/function-bind","2293277136","1164203647","1587780586","2054423622","2688056798","3971921030","True","0.00489366","A","https://github.com/raynos/function-bind.git","eco","gh/10727014","","mit"
"safe-buffer","feross/safe-buffer","5259817949","2911571709","4375823265","5326125119","5981820675","7703748980","True","0.00470340","A","https://github.com/feross/safe-buffer.git","eco","gh/49538897","","mit"
"@types/node","definitelytyped/definitelytyped","4889826581","2539778678","3713134045","4650086316","5703662383","7842471485","True","0.00467093","A","https://github.com/definitelytyped/definitelytyped.git","eco","gh/6093316","","mit"
"@babel/helper-validator-identifier","babel/babel","2561177505","1537160819","2169773348","2401243778","2731315822","3966393759","True","0.00456592","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"undici-types","nodejs/undici","2126866054","0","0","210131330","1897047542","4273419291","True","0.00445925","A","https://github.com/nodejs/undici.git","eco","gh/133092972","","mit"
"chalk","chalk/chalk","11942068661","5118697781","9617116738","13033130790","15490045290","16451352710","True","0.00421359","A","https://github.com/chalk/chalk.git","eco","gh/11855195","","mit"
"strip-ansi","chalk/strip-ansi","8055174764","4446643049","6290920929","7085685035","8909457732","13543167077","True","0.00419311","A","https://github.com/chalk/strip-ansi.git","eco","gh/15014856","","mit"
"call-bound","ljharb/call-bound","2181729364","0","0","0","0","2181729364","True","0.00416041","A","https://github.com/ljharb/call-bound.git","eco","gh/898125972","","mit"
"ansi-styles","chalk/ansi-styles","13234069830","4466564792","9392132888","14135622519","18009805466","20166223485","True","0.00410582","A","https://github.com/chalk/ansi-styles.git","eco","gh/11803168","","mit"
"color-name","colorjs/color-name","8442877283","3202549085","6833064752","9872805787","11377436289","10928530503","True","0.00395386","A","https://github.com/colorjs/color-name.git","eco","gh/27038309","","mit"
"balanced-match","juliangruber/balanced-match","2552334078","1465171399","2101460577","2422727104","2803233075","3969078235","True","0.00393095","A","https://github.com/juliangruber/balanced-match.git","eco","gh/13538817","","mit"
"@smithy/types","smithy-lang/smithy-typescript","1603381405","0","0","352805036","1453196492","3004142687","True","0.00392876","A","https://github.com/smithy-lang/smithy-typescript.git","eco","gh/208319207","","apache-2.0"
"brace-expansion","juliangruber/brace-expansion","5100304690","1232598721","2311897629","4121747835","6818199260","11017080005","True","0.00391902","A","https://github.com/juliangruber/brace-expansion.git","eco","gh/13539234","","mit"
"get-intrinsic","ljharb/get-intrinsic","2277469716","934572342","1547454136","2212933954","2652442062","4039946089","True","0.00376510","A","https://github.com/ljharb/get-intrinsic.git","eco","gh/308516559","","mit"
"p-limit","sindresorhus/p-limit","5132425966","2706436709","3976283078","5064350669","5960729356","7954330021","True","0.00369102","A","https://github.com/sindresorhus/p-limit.git","eco","gh/71542716","","mit"
"minipass","isaacs/minipass","3597497870","916517586","1175723838","2997636177","5421852808","7475758942","True","0.00365618","A","https://github.com/isaacs/minipass.git","eco","gh/84886212","","blueoak-1.0.0"
"yocto-queue","sindresorhus/yocto-queue","1760800050","481154439","870326561","1564337194","2363424576","3524757480","True","0.00352566","A","https://github.com/sindresorhus/yocto-queue.git","eco","gh/315531538","","mit"
"@babel/helper-string-parser","babel/babel","1691355156","0","290305942","1357321681","2026179722","3091613279","True","0.00345752","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"minimatch","isaacs/minimatch","7061853919","1382313553","3232290344","5955360805","9766581495","14972723400","True","0.00325841","A","https://github.com/isaacs/minimatch.git","eco","gh/2056549","","blueoak-1.0.0"
"supports-color","chalk/supports-color","12580987113","5947496082","10460483543","14010061878","16183420830","16303473235","True","0.00321744","A","https://github.com/chalk/supports-color.git","eco","gh/11855007","","mit"
"string-width","sindresorhus/string-width","6518495817","3861532398","4795300352","5408365300","7157220560","11370060477","True","0.00320376","A","https://github.com/sindresorhus/string-width.git","eco","gh/39222730","","mit"
"call-bind-apply-helpers","ljharb/call-bind-apply-helpers","1322503033","0","0","0","50805630","2594200437","True","0.00313948","A","https://github.com/ljharb/call-bind-apply-helpers.git","eco","gh/898190951","","mit"
"hasown","inspect-js/hasown","1120107699","316420","375422","215748980","1984119221","3399978453","True","0.00309271","A","https://github.com/inspect-js/hasown.git","eco","gh/703350811","","mit"
"readable-stream","nodejs/readable-stream","6622597296","3744688099","5408400238","6921831659","7625443828","9412622658","True","0.00298744","A","https://github.com/nodejs/readable-stream.git","eco","gh/5187096","","mit"
"lru-cache","isaacs/node-lru-cache","6907666200","2542264666","3836494454","7234513547","9539451064","11385607273","True","0.00288896","A","https://github.com/isaacs/node-lru-cache.git","eco","gh/679662","","blueoak-1.0.0"
"type-fest","sindresorhus/type-fest","7045036875","3407933901","5258588366","6972072916","8624743786","10961845408","True","0.00286330","A","https://github.com/sindresorhus/type-fest.git","eco","gh/175398594","","(mit or cc0-1.0)"
"p-locate","sindresorhus/p-locate","5442206167","2974937692","4450721005","5491941745","6205682256","8087748141","True","0.00286176","A","https://github.com/sindresorhus/p-locate.git","eco","gh/74265632","","mit"
"kind-of","jonschlinkert/kind-of","6107198344","4687411064","7243188295","7299485838","5648151742","5657754785","True","0.00285787","A","https://github.com/jonschlinkert/kind-of.git","eco","gh/24491562","","mit"
"@babel/traverse","babel/babel","2406651455","1544189651","2054472631","2321077995","2463602016","3649914984","True","0.00276396","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"gopd","ljharb/gopd","1617818206","0","53788835","1106035295","1904713842","3406734852","True","0.00275923","A","https://github.com/ljharb/gopd.git","eco","gh/560708130","","mit"
"postcss-value-parser","postcss/postcss-value-parser","2420239645","2544358822","2642188169","2341391655","2061660998","2511598581","True","0.00272272","A","https://github.com/postcss/postcss-value-parser.git","eco","gh/40920306","","mit"
"is-number","jonschlinkert/is-number","3584882786","2436282874","3407954947","3690145615","3680309465","4709721030","True","0.00270005","A","https://github.com/jonschlinkert/is-number.git","eco","gh/24313173","","mit"
