slug,raised_2021,raised_2022,raised_2023,raised_2024,raised_2025,currency,oc_status,fetched_at
aio-libs,0,0,0,0,54316.44,EUR,ok,2026-05-31T15:59:33+00:00
aiohttp,0,0,0,0,70,EUR,ok,2026-05-31T15:59:33+00:00
ajv,6829.57,13134,14146,10141.23,7715,USD,ok,2026-05-31T15:57:15+00:00
axios,1811,5317.19,10156.22,49394.41,93477.75,USD,ok,2026-05-31T15:57:15+00:00
browserslist,3929,3404.98,3487,7628.42,3052,USD,ok,2026-05-31T15:57:15+00:00
cheerio,12088,17538.03,14773,15979.67,8515,USD,ok,2026-05-31T15:59:34+00:00
clap,1451.12,2882.14,2756.83,2512.03,4886.35,USD,ok,2026-05-31T16:01:05+00:00
core-js,13080.50,11376.76,81482.70,37771.19,28938.31,USD,ok,2026-05-31T16:01:05+00:00
create-react-app,494,226,122.01,120,54,USD,ok,2026-05-31T16:01:06+00:00
cssnano,206.88,810.13,584.39,10.10,1478.09,USD,ok,2026-05-31T16:01:06+00:00
csstools,0,0,775.05,1605.46,3455.51,USD,ok,2026-05-31T15:57:15+00:00
csstree,0,0,0,260,1130,USD,ok,2026-05-31T15:57:15+00:00
emotion,9288.20,17064.66,16610.77,14604.15,15315.41,USD,ok,2026-05-31T15:57:15+00:00
eslint-plugin-import,500,1710,1800,2011.42,2230.59,USD,ok,2026-05-31T16:02:38+00:00
floating-ui,2320,11794.89,10575.41,17543.72,9790.06,USD,ok,2026-05-31T15:59:33+00:00
gitoxide,0,0,0,10,20610,USD,ok,2026-05-31T15:59:33+00:00
jest,11130,13789.83,13981,12340.19,10590.43,USD,ok,2026-05-31T15:59:34+00:00
node-fetch,481.32,1528.15,1829.99,596.25,215.63,USD,ok,2026-05-31T16:01:05+00:00
node-ignore,0,2,1,181.42,10,USD,ok,2026-05-31T15:57:15+00:00
oauthlib,0,0,0,0,0,USD,ok,2026-05-31T15:57:15+00:00
parse5,0,45,60,60,60,USD,ok,2026-05-31T16:01:05+00:00
pest,0,171.01,164.25,2202.55,360.22,USD,ok,2026-05-31T16:01:06+00:00
pkgconf,0,0,0,0,0,USD,ok,2026-05-31T16:02:37+00:00
postcss,12542,4846,9036,6304.42,5323,USD,ok,2026-05-31T16:02:38+00:00
psutil,30,10,0,56.84,317.78,USD,ok,2026-05-31T15:59:33+00:00
puzrin,646,816.34,33,201.42,2190,USD,ok,2026-05-31T15:57:15+00:00
pytest,8479.92,20017.42,7918.41,19000.48,13412.25,USD,ok,2026-05-31T15:57:15+00:00
react-router,2062,13685.53,2110,8201,7406,USD,ok,2026-05-31T15:59:33+00:00
rollup,3832,18559.28,8355,13876.50,14619.76,USD,ok,2026-05-31T15:59:34+00:00
servo,0,0,0,36570.80,59430.02,USD,ok,2026-05-31T16:01:05+00:00
storybook,44334,40468.38,18450,24193,20456.36,USD,ok,2026-05-31T16:01:06+00:00
svgr,422,318,285,347,623.04,USD,ok,2026-05-31T16:01:06+00:00
swc,3494.62,19537.31,17976.77,20442.38,19218.67,USD,ok,2026-05-31T16:02:37+00:00
terser,15246,1321,5617,1876.96,2434,USD,ok,2026-05-31T16:02:38+00:00
typescript-eslint,8158,22715.44,35983,32849.63,28026.46,USD,ok,2026-05-31T15:57:15+00:00
urllib3,18273.20,14932.55,2330.42,13051.92,13527.90,USD,ok,2026-05-31T15:57:15+00:00
vitest,0,0,465.52,10543.45,14549.12,USD,ok,2026-05-31T15:59:33+00:00
vuejs,122518.63,122135.39,128343.53,142152.65,149151.77,USD,ok,2026-05-31T15:52:40+00:00
